iso3,country_name,year,start_date,start_date_accuracy,end_date,end_date_accuracy,event_name,hazard_category,hazard_category_name,hazard_sub_category,hazard_sub_category_name,hazard_type,hazard_type_name,hazard_sub_type,hazard_subtype_name,new_displacement,new_displacement_rounded,total_displacement,total_displacement_rounded,event_codes
#country+code,#country+name,#date+year,#date+start,#accuracy+date+start,#date+end,#accuracy+date+end,#event+name,#crisis+category+code,#crisis+category+name,#crisis+subcategory+code,#crisis+subcategory+name,#crisis+type+code,#crisis+type+name,#crisis+subtype+code,#crisis+subtype+name,#affected+idps+ind+new+disaster,,#affected+idps+ind+total+disaster,,#crisis+code
PHL,Philippines,2008,2008-01-01,Month,2008-06-23,Day,Philippines: Storm - 01/01/2008,2,Weather related,4,Meteorological,14,Storm,21,,2039155,2039000,,,[]
IDN,Indonesia,2008,2008-01-02,Day,2008-02-06,Day,Indonesia: Flood - 02/01/2008,2,Weather related,3,Hydrological,10,Flood,13,,49653,50000,,,[]
TGO,Togo,2008,2008-01-07,Day,2008-08-08,Day,Togo: Flood - 07/01/2008,2,Weather related,3,Hydrological,10,Flood,13,,2000,2000,,,[]
TUR,Türkiye,2008,2008-01-08,Day,2008-08-05,Day,Türkiye: Wildfire - 08/01/2008,2,Weather related,2,Climatological,9,Wildfire,11,,300,300,,,[]
USA,United States of America,2008,2008-01-09,Day,2008-09-01,Day,United States: Storm - 09/01/2008,2,Weather related,4,Meteorological,14,Storm,21,,1900000,1900000,,,[]
MOZ,Mozambique,2008,2008-01-09,Day,2008-09-02,Day,Mozambique: Wildfire - 09/01/2008,2,Weather related,2,Climatological,9,Wildfire,11,,3000,3000,,,[]
RWA,Rwanda,2008,2008-01-10,Day,2008-10-06,Day,Rwanda: Flood - 10/01/2008,2,Weather related,3,Hydrological,10,Flood,13,,5000,5000,,,[]
GTM,Guatemala,2008,2008-01-12,Day,2008-01-12,Day,Guatemala: Cold wave - 12/01/2008,2,Weather related,4,Meteorological,13,Extreme Temperature,17,,2241,2200,,,[]
PHL,Philippines,2008,2008-01-12,Day,2008-12-04,Day,Philippines: Flood - 12/01/2008,2,Weather related,3,Hydrological,10,Flood,13,,51222,51000,,,[]
COL,Colombia,2008,2008-01-17,Day,2008-01-17,Day,Colombia: Volcanic activity - 17/01/2008,1,Geophysical,1,Geophysical,3,Volcanic activity,5,,8000,8000,,,[]
MDG,Madagascar,2008,2008-01-27,Day,2008-01-27,Day,Madagascar: Storm - 27/01/2008,2,Weather related,4,Meteorological,14,Storm,21,,3156,3200,,,[]
FIN,Finland,2008,2008-01-28,Day,2008-01-29,Day,Finland: Storm - 28/01/2008,2,Weather related,4,Meteorological,14,Storm,21,,20,20,,,[]
ARG,Argentina,2008,2008-01-28,Day,2008-03-30,Day,Argentina: Flood - 28/01/2008,2,Weather related,3,Hydrological,10,Flood,13,,635,640,,,[]
IDN,Indonesia,2008,2008-01-30,Day,2008-01-31,Day,Indonesia: Flood - 30/01/2008,2,Weather related,3,Hydrological,10,Flood,13,,40000,40000,,,[]
ECU,Ecuador,2008,2008-01-30,Day,2008-03-03,Day,Ecuador: Flood - 30/01/2008,2,Weather related,3,Hydrological,10,Flood,13,,13871,14000,,,[]
