iso3,year,Gender Inequality Index,Gross National Income Per Capita,Income Inequality,Life Expectancy at Birth,Country,population_density,infant_mortality_rate,employment_rate,total_displacement,Drought,Earthquake,Erosion,Extreme Temperature,Flood,Mass Movement,Storm,Volcanic activity,Wave action,Wildfire,total_events,log_population_density,log_infant_mortality_rate,log_Gross National Income Per Capita,log_total_displacement
BGD,2013,0.578,4932.186405,30.74995804,69.487,Bangladesh,1202.52086502266,32.7,54.649,1159829.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,7.093006594025614,3.517497837358316,8.50374038787031,13.963784000618656
BGD,2014,0.569,5205.479375,30.74995804,70.016,Bangladesh,1213.52791733886,31.4,54.308,543000.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,7.102110734871212,3.4781584227982836,8.557659162567694,13.204866440535003
BGD,2015,0.563,5582.619597,30.74995804,70.543,Bangladesh,1224.42328493508,30.0,53.972,531099.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,7.111041602016586,3.4339872044851463,8.627592518375263,13.18270560641049
BGD,2016,0.557,5987.015851,35.71949768,71.075,Bangladesh,1235.3993393255,28.6,53.65,613710.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,7.119958675904454,3.3877743613300146,8.697515392663604,13.327279412283689
BGD,2017,0.541,6228.122571,35.71949768,71.606,Bangladesh,1245.95641852962,27.4,55.778,946119.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.12846099601527,3.3463891451671604,8.736990762536866,13.76012468988354
BGD,2018,0.532,6641.699214,35.71949768,72.122,Bangladesh,1256.22726434662,26.3,56.339,77788.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,11.0,7.136663991250957,3.3068867021909143,8.801273668000963,11.261755311995426
BGD,2019,0.52,7092.492311,35.71949768,72.625,Bangladesh,1266.90523930245,25.4,56.868,4083940.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,8.0,7.145121399793248,3.2733640101522705,8.866933066801357,15.22257301154138
BGD,2020,0.5,7256.570492,35.71949768,71.421,Bangladesh,1277.54493354844,24.9,56.598,4443088.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,0.0,0.0,0.0,12.0,7.153477939634528,3.254242968705492,8.88980040883818,15.306860413227659
BGD,2021,0.494,7754.226262,35.71949768,71.103,Bangladesh,1287.99918568026,24.5,57.925,98770.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,0.0,0.0,0.0,13.0,7.16162137119365,3.2386784521643803,8.956122251458392,11.500559318382662
BGD,2022,0.487,8114.366836,35.94155502,74.265,Bangladesh,1300.36002610164,24.4,59.031,1523951.0,0.0,0.0,6.0,0.0,8.0,7.0,3.0,0.0,0.0,0.0,24.0,7.171165170515399,3.2347491740244907,9.001514683609678,14.236817518669724
