"code","iso","country","BCA.ind.1995","BCA.ind.1996","BCA.ind.1997","BCA.ind.1998","BCA.ind.1999","BCA.ind.2000","BCA.ind.2001","BCA.ind.2002","BCA.ind.2003","BCA.ind.2004","BCA.ind.2005","BCA.ind.2006","BCA.ind.2007","BCA.ind.2008","BCA.ind.2009","BCA.ind.2010","BCA.ind.2011","BCA.ind.2012","BCA.ind.2013","BCA.ind.2014","BCA.ind.2015","BCA.ind.2016","BCA.ind.2017","BCA.ind.2018","BCA.ind.2019","BCA.ind.2020","BCA.ind.2021","BCA.ind.2022","BCA.ind.2023","BCA.ind.2024"
4,"AFG","Afghanistan",42.4,42.4,42.4,42.4,42.4,42.1,41.9,41.6,41.4,41.1,40.8,40.6,40.3,40,22.1,15.6,9.5,5.5,1.2,0,2.3,8,16.9,24.8,29.5,34.2,36.2,39.3,39.3,39.3
8,"ALB","Albania",89.8,89.8,89.8,89.8,89.8,30,0,0,0,0,0,0,7.7,40.3,38.4,42.3,45.4,59.3,65.5,73.5,83,100,100,100,100,100,100,100,100,100
12,"DZA","Algeria",31.1,31.1,31.1,31.1,31.1,34.6,44.8,54.2,56.3,58.6,57.3,50.7,43.7,35.2,24.5,15,16.4,8.8,3.8,1.8,2.6,8.7,13.5,19.6,24.4,36.2,51.9,59.8,59.8,59.8
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",30.3,30.3,30.3,30.3,30.3,37,39.4,38.9,39.8,40.3,41,37,31.2,24.8,16.8,12.1,9.6,9.1,5.8,5.9,10.9,17.8,28.8,37.2,40.1,50.8,51.5,52.5,52.5,52.5
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",29.4,29.4,29.4,29.4,29.4,31.3,34.5,47.7,60.5,77.1,85.5,89.9,79.8,60,42,31.3,41,51,57.2,64.8,72.5,85.3,89.6,88.4,71.7,56.2,62.8,59.9,59.9,59.9
32,"ARG","Argentina",51.4,51.4,51.4,51.4,51.4,70.2,92.2,95.1,93,81.8,67.1,56.2,50.2,35.2,28.9,25.2,28,39.3,41.7,47.7,52,58.3,56.1,54.3,56.9,56,55.1,54.3,54.3,54.3
51,"ARM","Armenia",100,100,100,100,100,100,100,100,100,88.5,73.1,57.6,45.7,33.8,28.5,27.1,28.8,32.6,36,38.6,25.7,13.9,18,11.7,14.7,35.3,54.2,74.4,74.4,74.4
533,"ABW","Aruba",52.2,52.2,52.2,52.2,52.2,42.5,29.3,40,50.6,66.8,78.5,87.2,86.3,77.1,67.6,51.7,62.8,72.6,84.6,99.1,100,100,100,100,93.6,63,76.6,76.6,76.6,76.6
36,"AUS","Australia",54.5,54.5,54.5,54.5,54.5,64.5,77.6,85.4,77,71.6,61.3,53.8,47,41.2,40.2,41.4,44.6,44.2,41.7,41.5,42.3,45.1,45.4,42.3,43.3,46.5,48.8,49.6,49.6,49.6
40,"AUT","Austria",29.2,29.2,29.2,29.2,29.2,48.6,59.3,74.8,82.7,89.9,94.6,75.9,63,51.2,48.4,57.1,70,90.6,100,100,100,100,100,100,100,100,100,100,100,100
31,"AZE","Azerbaijan",76.2,76.2,76.2,76.2,76.2,79.4,91.8,90.6,76.2,51.3,36.7,29.5,30.9,29,37.8,34.2,32.1,30.4,28.3,23.6,22.7,28.4,35.6,34.3,40.3,47.8,50.9,50.7,50.7,50.7
44,"BHS","Bahamas",61.9,61.9,61.9,61.9,61.9,62,64.3,82.6,100,100,100,100,100,100,85.2,42.2,47,56,70.5,76.6,84.4,94.8,100,100,94.5,57.7,55.8,58.5,58.5,58.5
48,"BHR","Bahrain",62.8,62.8,62.8,62.8,62.8,65,75.7,54.3,41.6,29.7,4.6,0,0,0,0,0,21.1,53.5,100,100,100,100,100,100,100,100,100,100,100,100
50,"BGD","Bangladesh",32.3,32.3,32.3,32.3,32.3,31.9,30.4,28.5,27.7,26.7,24.3,25.5,26.3,28.3,31,33.9,33.8,34.2,36.4,38.6,39.6,40.5,41.1,42.2,44.5,47.9,47.8,46.9,46.9,46.9
52,"BRB","Barbados",52.1,52.1,52.1,52.1,52.1,51.5,43.4,51.1,52.1,69.3,83.7,93.8,94.8,70.9,48.4,40.3,47.7,52.5,55.1,55.9,58.9,68.1,77.3,82,75.2,58.4,58.2,54.8,54.8,54.8
