"code","iso","country","BER.ind.1995","BER.ind.1996","BER.ind.1997","BER.ind.1998","BER.ind.1999","BER.ind.2000","BER.ind.2001","BER.ind.2002","BER.ind.2003","BER.ind.2004","BER.ind.2005","BER.ind.2006","BER.ind.2007","BER.ind.2008","BER.ind.2009","BER.ind.2010","BER.ind.2011","BER.ind.2012","BER.ind.2013","BER.ind.2014","BER.ind.2015","BER.ind.2016","BER.ind.2017","BER.ind.2018","BER.ind.2019","BER.ind.2020","BER.ind.2021","BER.ind.2022","BER.ind.2023","BER.ind.2024"
4,"AFG","Afghanistan",37.9,37.9,37.9,37.9,37.9,37.9,37.4,36.9,36.4,35.9,35.4,35.4,35.4,35.4,35.3,35.3,35.4,35.4,35.5,35.5,35.5,35.6,35.6,35.7,35.7,35.7,35.7,35.7,35.7,35.7
8,"ALB","Albania",29.1,29.1,29.1,29.1,29.1,29.1,29,28.9,28.8,28.7,28.5,28.5,28.4,28.3,28.3,28.2,28.2,28.1,28.1,28.1,28,28.2,28.4,28.6,28.8,28.9,28.9,28.9,28.9,28.9
12,"DZA","Algeria",55.1,55.1,55.1,55.1,55.1,55.1,55,54.9,54.8,54.7,54.6,54.5,54.5,54.4,54.3,54.2,54.1,54.1,54,54,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9
20,"AND","Andorra",70.9,70.9,70.9,70.9,70.9,70.9,70.9,71,71,71.1,71.2,71,70.8,70.6,70.4,70.2,70.6,71,71.4,71.7,72.1,72.4,72.8,73.1,73.4,73.7,73.7,73.7,73.7,73.7
24,"AGO","Angola",61.5,61.5,61.5,61.5,61.5,61.5,61.1,60.6,60.1,59.6,59.2,59,58.9,58.7,58.6,58.4,58.1,57.7,57.3,56.9,56.5,56.4,56.3,56.2,56.1,56,56,56,56,56
660,"AIA","Anguilla",78.3,78.3,78.3,78.3,78.3,78.3,77.4,76.6,75.7,74.8,73.9,73.5,73,72.5,72.1,71.6,71.5,71.4,71.3,71.2,71.1,70.9,70.8,70.7,70.5,70.4,70.4,70.4,70.4,70.4
28,"ATG","Antigua and Barbuda",87.7,87.7,87.7,87.7,87.7,87.7,87.8,87.9,88,88.1,88.2,87.4,86.6,85.8,85,84.2,83.7,83.3,82.8,82.4,81.9,81.7,81.5,81.3,81.1,80.9,80.9,80.9,80.9,80.9
32,"ARG","Argentina",29.3,29.3,29.3,29.3,29.3,29.3,29,28.6,28.2,27.8,27.4,27.1,26.8,26.4,26.1,25.8,25.6,25.5,25.3,25.2,25,25.1,25.1,25.1,25.1,25.2,25.2,25.2,25.2,25.2
51,"ARM","Armenia",49.4,49.4,49.4,49.4,49.4,49.4,49.3,49.3,49.2,49.1,49.1,48.8,48.5,48.2,48,47.7,47.5,47.4,47.2,47.1,46.9,47.5,48.1,48.6,49.2,49.8,49.8,49.8,49.8,49.8
533,"ABW","Aruba",72.8,72.8,72.8,72.8,72.8,72.8,73,73.2,73.3,73.5,73.7,73.7,73.7,73.6,73.6,73.6,71.8,70,68.3,66.5,64.7,64.8,64.9,65,65.1,65.2,65.2,65.2,65.2,65.2
