"code","iso","country","BTO.ind.1995","BTO.ind.1996","BTO.ind.1997","BTO.ind.1998","BTO.ind.1999","BTO.ind.2000","BTO.ind.2001","BTO.ind.2002","BTO.ind.2003","BTO.ind.2004","BTO.ind.2005","BTO.ind.2006","BTO.ind.2007","BTO.ind.2008","BTO.ind.2009","BTO.ind.2010","BTO.ind.2011","BTO.ind.2012","BTO.ind.2013","BTO.ind.2014","BTO.ind.2015","BTO.ind.2016","BTO.ind.2017","BTO.ind.2018","BTO.ind.2019","BTO.ind.2020","BTO.ind.2021","BTO.ind.2022","BTO.ind.2023","BTO.ind.2024"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",6.9,6.5,7,5.8,5.8,5.6,7.3,6.3,6.3,6.1,5.7,5.7,5.5,5.5,5.6,5.6,5.6,5.6,5.6,8.7,5.2,7.5,8.5,7.7,7.8,7.8,7.8,7.8,7.8,7.8
12,"DZA","Algeria",44.4,42.7,41.9,41,41.3,39.6,41,42.3,43.9,46,45.8,45.6,45.8,45.2,45.2,45.3,49.6,50,51.1,51.3,51.4,52.5,51.2,50.1,50.1,50.1,50.1,50.1,50.1,50.1
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",38,30.4,32.5,33.2,33.7,41.5,31,33.4,36.7,36,32.7,31.2,32.3,32.2,36.1,38.5,35.4,35.4,33.3,32.4,44.7,39.7,37.9,39,43.4,43.4,43.4,43.4,43.4,43.4
660,"AIA","Anguilla",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
28,"ATG","Antigua and Barbuda",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
32,"ARG","Argentina",11.6,14.5,18.1,15.9,20.9,21.4,17.2,14.4,14,11.1,15.8,21.9,19.5,19.4,14.9,15.8,16.5,16.3,19.5,16.9,45.9,21.7,22.9,24.9,24.6,24.6,24.6,24.6,24.6,24.6
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
36,"AUS","Australia",28.3,29.8,30.6,30.2,29.7,33.6,31.3,39.5,40.4,43.3,46.1,46.3,49.8,49.2,46.5,49,49.8,50.8,50.4,51.9,53.8,54,53.6,54.3,53.3,53.3,53.3,53.3,53.3,53.3
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"BHS","Bahamas",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
48,"BHR","Bahrain",17.7,17.2,18.8,21.4,50.7,49.7,49.8,50.9,53.4,55.8,56.9,59.6,65.4,62,69.5,65.5,63.6,73.7,67.1,67.7,67.3,66.9,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6
50,"BGD","Bangladesh",59.4,59.7,60.4,59.6,60.7,61.9,63.9,65.3,65.1,67,68.9,63.1,63.3,64.3,67.5,71.2,66.2,56.8,58.2,59.5,59.5,58.7,60.7,60.7,60.4,60.4,60.4,60.4,60.4,60.4
52,"BRB","Barbados",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"BEL","Belgium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,3.2,3.2,3.2,3.2,3.2,3.2
84,"BLZ","Belize",91.5,95.7,99.2,98.1,96,95,97.6,99.6,99.2,97.5,99.7,99.8,99.9,99.9,99.8,99.7,98.2,100,100,100,100,100,100,100,100,100,100,100,100,100
204,"BEN","Benin",93.6,93.7,93.5,93.8,94.2,95,95.3,95.8,94.7,93.8,93.1,91.4,90.2,92,93.7,97.4,98.3,85.4,83.7,94,96.6,99.3,99.7,98.9,97.9,97.9,97.9,97.9,97.9,97.9
60,"BMU","Bermuda",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
64,"BTN","Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"BOL","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"BIH","Bosnia and Herzegovina",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
72,"BWA","Botswana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"BRA","Brazil",53.6,59.3,62,57.8,59.9,54,58.7,56.3,56.7,60.7,61,59.3,57.2,57.9,60.2,61,54.4,58,58.9,56,56.5,55.9,57.3,55.7,56.8,56.8,56.8,56.8,56.8,56.8
92,"VGB","British Virgin Islands",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
96,"BRN","Brunei Darussalam",19.4,14.9,8.9,18.8,28.5,16.7,26.8,41.5,41.9,44.1,42.3,48.1,38.4,38.6,42.4,31.7,34.8,34.8,34.9,34.4,47.7,44.2,62.1,44.2,48.7,48.7,48.7,48.7,48.7,48.7
100,"BGR","Bulgaria",7.4,8.8,8.1,15.5,8.7,8.8,3.8,24.9,19.6,14,13.1,12,3,8.6,13.1,16.5,24.2,18.5,15.6,12.4,6.1,6.3,6.2,8.5,8.8,8.8,8.8,8.8,8.8,8.8
854,"BFA","Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"BDI","Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"CPV","Cabo Verde",100,100,100,100,100,49.6,83.8,100,73.3,100,100,89.3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
116,"KHM","Cambodia",26,25,24.2,26.1,21.8,21.9,18.5,17.8,16.7,17.1,15.5,15.3,15.2,18,15.5,15.4,16.2,15.8,15.7,13.5,14.9,14.9,14.9,15.6,15.4,15.4,15.4,15.4,15.4,15.4
120,"CMR","Cameroon",51.4,53.2,55.5,55.4,53,52.6,54.2,60.2,62.8,60.4,67.7,74.1,62.7,62.8,71.1,75,75.6,82.1,82.1,82.6,83.2,74.3,86.6,87.3,88,88,88,88,88,88
124,"CAN","Canada",39.5,41.6,39,38.6,37.5,32.8,34.6,33.7,33.9,35,34.8,33.9,33.4,33,35.6,35.9,34.5,34.4,34.6,34.8,30.5,30.6,29.1,34,34,34,34,34,34,34
136,"CYM","Cayman Islands",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
140,"CAF","Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,"TCD","Chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,"CHL","Chile",93.6,93.9,93.3,91,94.5,94.7,94.9,95.6,96.1,96.6,96.8,96.5,96.1,96.6,96.6,96.5,97.2,95.4,94.3,95.2,96,95.5,98.7,97.3,94.3,94.3,94.3,94.3,94.3,94.3
156,"CHN","China",23.3,24.1,27.4,26.3,25.3,25.6,26.4,26.9,29.2,28.4,28.5,27.9,28.8,29.1,28.5,28.7,28.1,30.1,29.5,24.2,24.3,23.2,23,22.9,24.1,24.1,24.1,24.1,24.1,24.1
170,"COL","Colombia",55.4,51.3,48.5,37.3,42.9,42.7,49.8,78.2,48.1,40.3,64.7,55.9,58,48.1,41.3,66.1,74.1,73.1,67,71.1,67.4,77.1,60.7,73.4,62.9,62.9,62.9,62.9,62.9,62.9
174,"COM","Comoros",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
184,"COK","Cook Islands",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,18.6,100,100,100,100,100,100,100,100,100,100,100,100,100,100
188,"CRI","Costa Rica",10.8,13.7,28.2,29.7,33.7,39.2,56.3,53.5,45.8,38.8,39.5,38.9,40,50.8,56.4,51.4,53.5,58.9,55.3,57.6,57.9,57.3,48.7,50.8,50.2,50.2,50.2,50.2,50.2,50.2
384,"CIV","Cote d'Ivoire",44.9,43.8,46.2,48.6,51.7,54.2,55.2,54.6,70.2,70.5,54.4,72.6,72.6,75.2,73.3,73.9,73.9,77.3,74.8,64,64.1,63.2,69.2,56.3,69.2,69.2,69.2,69.2,69.2,69.2
191,"HRV","Croatia",35.7,39.4,41.9,42.5,46.6,48.6,47.9,52.8,49.4,47.8,45.8,41.6,42.8,43.3,47.6,47.8,56.1,54.8,56,54.3,56.8,57.7,63.4,64.4,63,63,63,63,63,63
192,"CUB","Cuba",30.2,31.5,45.6,58.2,62,87.1,88.2,84.4,83.6,83,80.4,80.8,93,92,91.2,87.9,69.9,73.7,89.2,89.1,89.2,90.4,90.5,86,89.8,89.8,89.8,89.8,89.8,89.8
531,"CUW","Curacao",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,89.6,90.7,90.9,23.5,35.6,24.1,29.6,33,39.2,25.1,25.1,25.1,25.1,25.1,25.1
196,"CYP","Cyprus",84.4,89.3,87.4,96.4,96.5,97.4,97.2,98.3,97.8,98.6,98,96.7,97.7,98.1,98.4,98.6,88.4,52.5,48.2,49.7,51.8,47.3,45.6,50.3,51.3,51.3,51.3,51.3,51.3,51.3
