"code","iso","country","BTZ.ind.1995","BTZ.ind.1996","BTZ.ind.1997","BTZ.ind.1998","BTZ.ind.1999","BTZ.ind.2000","BTZ.ind.2001","BTZ.ind.2002","BTZ.ind.2003","BTZ.ind.2004","BTZ.ind.2005","BTZ.ind.2006","BTZ.ind.2007","BTZ.ind.2008","BTZ.ind.2009","BTZ.ind.2010","BTZ.ind.2011","BTZ.ind.2012","BTZ.ind.2013","BTZ.ind.2014","BTZ.ind.2015","BTZ.ind.2016","BTZ.ind.2017","BTZ.ind.2018","BTZ.ind.2019","BTZ.ind.2020","BTZ.ind.2021","BTZ.ind.2022","BTZ.ind.2023","BTZ.ind.2024"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",33.6,52.3,42.8,32.6,23.9,19.5,46.5,2.4,12.3,6.3,8.6,9.4,6.8,11.7,5.3,9,1.2,1.2,1.2,4.5,0.9,3.2,3.9,3.5,3.5,3.5,3.5,3.5,3.5,3.5
12,"DZA","Algeria",41.9,40.2,39.7,38.8,39.1,37.3,38.7,40,41.8,44,44.9,44.9,45.2,44.9,45.4,44.8,50.4,50.4,51.8,51.9,49.8,48.9,50.5,49,49.2,49.2,49.2,49.2,49.2,49.2
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",47.7,41,39.4,40.6,39.6,44.3,34.3,35.7,38.1,36.2,23.7,22.8,23.1,23.3,25.6,27.2,25.7,25.4,24.5,24.6,31.8,29.3,27.8,28.8,26.9,26.9,26.9,26.9,26.9,26.9
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
32,"ARG","Argentina",7.5,11.2,14.7,13.3,19.3,20.9,17.1,13,12,8.5,12.8,20,19.4,19.4,12.5,12.8,12.7,16.7,21.7,25.2,52.5,20.5,24.7,26.9,26.8,26.8,26.8,26.8,26.8,26.8
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",15.6,20.9,27.4,25.5,25.4,30,20.5,28.2,35.1,40.5,41,43.6,46.2,46.5,44.3,46.3,47.3,48.1,47.9,49.8,51.4,51.2,51.4,51.7,51.1,51.1,51.1,51.1,51.1,51.1
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"BHS","Bahamas",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
48,"BHR","Bahrain",21.2,19.2,22.7,27.4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
50,"BGD","Bangladesh",56.7,57,57.8,56.9,58.2,59.5,61.6,63.1,62.9,64.7,66.6,61,61.2,62.5,65.8,69.8,64.6,54.8,56.4,57.6,57.7,56.9,59,58.9,58.6,58.6,58.6,58.6,58.6,58.6
52,"BRB","Barbados",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"BEL","Belgium",0,0,2.7,0,0,0,0,0,0,0,0,2.2,2.2,0,0,0,1.3,0,0,0,3.9,0,0.9,0,0,0,0,0,0,0
84,"BLZ","Belize",85.9,87.1,80.7,89,88.7,88,84,81,78.4,73.2,87.3,91.5,94.8,93,87.8,75.1,100,100,100,100,100,100,100,100,100,100,100,100,100,100
204,"BEN","Benin",85,85.5,85.2,81.3,78.4,77,73.9,71.7,72.9,75.3,78,77.9,80.2,74.7,70.6,72.7,73.9,75.1,74,74.5,77.2,78.1,78.1,77.4,77.2,77.2,77.2,77.2,77.2,77.2
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"BOL","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"BIH","Bosnia and Herzegovina",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
72,"BWA","Botswana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"BRA","Brazil",51.3,57.3,60,55.5,57.7,51.3,56.3,53.9,54.2,58.7,58.3,57.1,54.9,55.7,58.2,59,51.9,56,56.9,53.9,54.4,53.2,54.6,53,54.2,54.2,54.2,54.2,54.2,54.2
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",13.8,9.5,3.4,13.2,22.6,10.6,20.9,35.5,35.8,37.9,35.5,43.8,34.3,34.1,38.4,24.8,27.8,27.9,28,27.6,37.4,34.3,47.3,34.3,34.2,34.2,34.2,34.2,34.2,34.2
100,"BGR","Bulgaria",3.3,4.7,3.8,3.3,4.4,2.8,0,21.5,15.9,10.1,9.1,7.9,0,4.3,8.7,12.1,19.6,13.9,11.2,7.9,1.5,1.4,1.5,3.9,4.3,4.3,4.3,4.3,4.3,4.3
854,"BFA","Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"BDI","Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"CPV","Cabo Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"KHM","Cambodia",22.6,22.5,22.3,23.4,23.7,24.2,21.9,21.8,20.8,21.1,20.5,20,19.7,13.2,10.6,15.5,13.9,14.2,12.5,11.9,11.9,11.1,11.2,11.5,12,12,12,12,12,12
120,"CMR","Cameroon",50.9,51.2,52.5,53.1,51.6,52.6,52.8,53.1,53.4,50.2,59.9,65.8,54.1,54.3,55,56.8,56.1,55.3,54.5,54.3,53.8,62.9,74.3,75.5,76.5,76.5,76.5,76.5,76.5,76.5
124,"CAN","Canada",38.1,38.1,34.1,33.6,32.4,27.1,28.7,27.9,28.1,30.4,30.3,29.7,29.1,28.8,31.4,31.1,29.1,29.5,29.9,30.3,26.8,25.7,24.5,29.2,29,29,29,29,29,29
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,"TCD","Chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,"CHL","Chile",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
156,"CHN","China",23.8,24,28,26.3,26.5,27.4,27.3,27.8,29.4,28.9,29.1,28.3,29.4,29.8,29.1,29.6,29.8,31.1,31.5,25.4,26.1,25.7,25.3,25.1,26.3,26.3,26.3,26.3,26.3,26.3
170,"COL","Colombia",47.7,45.1,41.5,34.9,42.9,41.6,45.3,72.9,37.7,42.5,70,59.4,61.1,52.4,46.5,52.6,58,52.8,50.5,62.2,57.3,58.5,47.6,55.7,51.3,51.3,51.3,51.3,51.3,51.3
174,"COM","Comoros",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",20.7,26.2,25.1,34.4,45.1,51.4,60.4,57.6,54,46.8,50,47.1,44.8,55.5,63.6,57.9,58,62.4,62.7,57.1,58.9,60.2,46.9,49,47.4,47.4,47.4,47.4,47.4,47.4
384,"CIV","Cote d'Ivoire",32.7,29.3,30.2,27.8,30.5,27.8,28.2,20.3,24.6,21.1,18,18.2,18.1,18.1,14.9,17.7,16.4,16.1,14.3,15.9,16,17.1,14.4,16,15.9,15.9,15.9,15.9,15.9,15.9
