"code","iso","country","CDF.ind.1995","CDF.ind.1996","CDF.ind.1997","CDF.ind.1998","CDF.ind.1999","CDF.ind.2000","CDF.ind.2001","CDF.ind.2002","CDF.ind.2003","CDF.ind.2004","CDF.ind.2005","CDF.ind.2006","CDF.ind.2007","CDF.ind.2008","CDF.ind.2009","CDF.ind.2010","CDF.ind.2011","CDF.ind.2012","CDF.ind.2013","CDF.ind.2014","CDF.ind.2015","CDF.ind.2016","CDF.ind.2017","CDF.ind.2018","CDF.ind.2019","CDF.ind.2020","CDF.ind.2021","CDF.ind.2022","CDF.ind.2023","CDF.ind.2024"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,52.3,96.6,100,100,100,100,100,100,100
8,"ALB","Albania",100,100,100,100,100,85.9,46.3,22.3,0,0,0,0,18.7,41,45.8,50,51.3,53.1,47.5,40.2,44.2,53.7,59,64.8,72.2,76.3,74,77.2,77.2,77.2
12,"DZA","Algeria",26.9,26.9,26.9,26.9,26.9,33.9,39.9,44.7,48.6,51.8,42.8,36.6,34.6,26.2,22,22.8,23.5,22.4,21.3,22,16.7,16.5,16.3,17.6,17.8,23.1,26.7,30.4,30.4,30.4
20,"AND","Andorra",42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,44.1,50,56.2,56.2,56.2
24,"AGO","Angola",0,0,0,0,0,0,25.2,61.7,98.3,100,100,100,100,100,100,99.5,93.3,85.8,78.8,78.8,85.7,95.5,100,100,100,100,100,100,100,100
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",11.8,11.8,11.8,11.8,11.8,9.5,7.4,5.2,3.6,2.4,2.4,1.5,0.8,2.4,4,8.2,14.1,18.4,22.8,26.5,28.6,28.5,27.6,26.8,24.4,24.5,26.9,28.8,28.8,28.8
32,"ARG","Argentina",26.5,26.5,26.5,26.5,26.5,27.2,29.8,34.7,38.4,37.8,36,31.6,27.8,22.4,18.5,15.8,17,23.7,30.7,34.1,37.2,38.6,41.4,42.8,45.2,47.1,46.7,44.8,44.8,44.8
51,"ARM","Armenia",85.9,85.9,85.9,85.9,85.9,76.7,62.7,42.1,46.6,48.2,36.2,39.4,29.9,18.4,25.6,30.3,30.3,34,38.9,44.2,46.2,51.5,49.4,42.2,43.5,46,44,41.9,41.9,41.9
533,"ABW","Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,26.1,30.2,35.9,47.8,61.1,84.8,100,100,100,100,84.9,46.9,46.9,46.9,46.9
36,"AUS","Australia",10.4,10.4,10.4,10.4,10.4,9.3,8.9,9,9.6,10.2,10.9,11.9,12.8,13.4,13.9,15,16.4,18,20.1,21.8,22.9,23.1,22.6,21.9,21.1,21.8,23.3,24,24,24
40,"AUT","Austria",28.2,28.2,28.2,28.2,28.2,28.3,25,24.6,22.9,22.5,21.4,20.7,22.2,24.7,31.2,35.6,41.6,50.5,50.8,52.8,49.4,45.1,39.2,36.5,36.5,36.4,34.6,36.9,36.9,36.9
31,"AZE","Azerbaijan",61.1,61.1,61.1,61.1,61.1,70.1,86,90.3,72.9,50.8,42.1,36.9,39.1,35.5,40.4,45.9,50.4,52.4,50.5,46.2,40.5,34.4,34.1,31,30.6,35.8,37.2,37.3,37.3,37.3
44,"BHS","Bahamas",40.2,40.2,40.2,40.2,40.2,34.9,30.9,27.8,27.4,28.1,30.6,34.8,45.4,47.6,40.9,35.5,34.8,33.8,32.6,30.1,29.1,30.8,29.3,30.2,27.6,28.5,32.5,37.3,37.3,37.3
48,"BHR","Bahrain",0,0,0,0,0,0,0.1,14.2,13.4,15.9,16.1,16,5.7,0,0,0,0,0,0,0,1.8,11,11.2,9.4,6.2,3.7,2.9,5.8,5.8,5.8
50,"BGD","Bangladesh",59.1,59.1,59.1,59.1,59.1,59.5,56.6,57.4,61.1,64,62.1,60.3,60,63,64.6,65.7,63.3,62,63.7,64.7,64.6,63.7,65,68.2,64.2,65.4,67.2,69.1,69.1,69.1
52,"BRB","Barbados",26.3,26.3,26.3,26.3,26.3,20.5,14.5,11.3,17.7,24.4,29.2,34.3,35.3,31.9,29.9,29.6,30.4,34.6,38.1,43.2,46.6,48.5,53.3,56.7,57.3,64.2,61.1,56.4,56.4,56.4
112,"BLR","Belarus",51.1,51.1,51.1,51.1,51.1,61.1,70.7,68.8,57.8,47.2,41.5,34.4,30.5,26.1,24.4,24.2,26.1,28.3,29.9,30.7,33.8,35.1,36.4,35.2,35.4,35.5,35.8,35.5,35.5,35.5
56,"BEL","Belgium",28.1,28.1,28.1,28.1,28.1,28.9,29.3,29.9,30.7,30.8,31.4,31.5,34.9,35.3,43.8,46.5,53.2,58.6,59.9,61.4,58.6,54.8,50.8,43.7,42,39.8,38.5,41,41,41
84,"BLZ","Belize",68.2,68.2,68.2,68.2,68.2,71.6,59.8,56.4,51.8,52.5,50.5,56.8,52.8,56.1,57.1,54,46.8,50.7,55.9,63.2,57.1,52.9,49,51.9,43.9,41.9,34.6,37.7,37.7,37.7
204,"BEN","Benin",31,31,31,31,31,34.5,37.4,35.9,30,24.6,29.1,17.7,7.5,15,16.6,23.8,37.1,48.5,58.5,68.2,81.3,77.5,69.5,63.1,60.8,54.3,52.1,56.2,56.2,56.2
60,"BMU","Bermuda",31,31,31,31,31,32.3,30.5,32.7,30.2,27.3,25.1,20.2,13.5,13.1,24.2,27,34.4,36.1,37.6,41.6,42.6,37.8,23.8,9.6,12.6,15.8,30.2,45.4,45.4,45.4
64,"BTN","Bhutan",7.3,7.3,7.3,7.3,7.3,5.5,12.1,14.6,35.7,63,75.4,83.3,81.1,77.5,77.2,66.9,43.8,16.3,0,0,0,0,0,0,0,39.1,58.2,58.2,58.2,58.2
68,"BOL","Bolivia",65,65,65,65,65,76.4,86,78.7,67.7,66.2,64.7,61,50.6,41.9,34,36.9,39.8,36,33.7,30.9,27.9,26.5,26.7,30.1,36.1,50.5,56.4,60.8,60.8,60.8
70,"BIH","Bosnia and Herzegovina",0,0,0,0,0,0,0,0,0,0,0,0,1.7,1.8,6.4,3.8,1.8,3.7,8.8,17.8,28.2,31.3,35.2,35.6,38,39.6,36.6,36,36,36
72,"BWA","Botswana",43.5,43.5,43.5,43.5,43.5,38.1,35.9,33.1,28.5,26.9,25.3,30.2,36.7,36.5,46.6,44.7,47.7,41.6,35.1,24,23.7,19.4,13.6,7,15.3,28.1,43.7,45.7,45.7,45.7
76,"BRA","Brazil",29.5,29.5,29.5,29.5,29.5,29.4,30.1,33.2,37.9,41.8,45.8,48.5,48.4,46.9,48.1,44.7,40.7,36.1,32.4,28.4,29.6,35.9,41.6,48.2,58.7,63.4,64.1,66.8,66.8,66.8
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",25.3,25.3,25.3,25.3,25.3,39.2,36.5,37.6,29.5,29.5,28,16.8,4.3,0,0,0,0,0,0,2.1,19,22.7,21.8,17.3,13.3,9.2,0.7,0,0,0
100,"BGR","Bulgaria",34.6,34.6,34.6,34.6,34.6,34.5,34.6,38.7,38.4,38.8,37.1,33.5,26.3,21.2,26.5,31.1,30,34.6,41.7,47.6,47,48,40.1,38,44.8,54.5,47.5,38.4,38.4,38.4
854,"BFA","Burkina Faso",100,100,100,100,100,100,99.2,98.2,99.1,100,100,100,100,97.4,90.2,78.3,73.6,66.5,61.2,64.3,64.9,64.5,59.2,55,54.4,62.3,71.5,78.6,78.6,78.6
108,"BDI","Burundi",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
132,"CPV","Cabo Verde",52.7,52.7,52.7,52.7,52.7,42.2,34,24.5,20.8,23.3,25.9,27.3,33,46.2,51.9,58.8,59.2,68.7,77,86.2,93.8,98.2,98.7,100,97.1,94.4,83.3,80.5,80.5,80.5
116,"KHM","Cambodia",44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,45,42.4,39.4,38.4,28.5,19.7,12.3,5.4,5.3,9.6,12.4,9.8,2.1,0,0,0,0,0,0,0,0
