"code","iso","country","CHA.ind.1995","CHA.ind.1996","CHA.ind.1997","CHA.ind.1998","CHA.ind.1999","CHA.ind.2000","CHA.ind.2001","CHA.ind.2002","CHA.ind.2003","CHA.ind.2004","CHA.ind.2005","CHA.ind.2006","CHA.ind.2007","CHA.ind.2008","CHA.ind.2009","CHA.ind.2010","CHA.ind.2011","CHA.ind.2012","CHA.ind.2013","CHA.ind.2014","CHA.ind.2015","CHA.ind.2016","CHA.ind.2017","CHA.ind.2018","CHA.ind.2019","CHA.ind.2020","CHA.ind.2021","CHA.ind.2022","CHA.ind.2023","CHA.ind.2024"
4,"AFG","Afghanistan",6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,4.4,4.2,6.6,13.7,22.9,33.6,39.8,46.5,49.1,48,48,48,48
8,"ALB","Albania",59.8,59.8,59.8,59.8,59.8,58.6,53.9,68.1,81.8,75.6,67.4,61.8,64.5,77.9,89.2,92.6,95.8,92.2,82.4,69.9,57.9,50.2,45.5,43.7,49.3,57.7,72.3,87.6,87.6,87.6
12,"DZA","Algeria",30.2,30.2,30.2,30.2,30.2,29.1,37.9,49.5,52.2,61.4,57.5,49.2,49.4,48.5,50.6,44,45,48.4,48,47.8,46.4,39.6,37.1,33.1,37.3,41.3,41.5,40.5,40.5,40.5
20,"AND","Andorra",63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,58.4,57.2,60.5,60.5,60.5
24,"AGO","Angola",0,0,0,0,0,0,0,2.4,27.8,35.8,40.4,48.8,57.6,58.6,61.1,56.1,57.1,58.2,55.5,49.1,39.4,39.5,41.6,48,54.7,55.1,56,54.7,54.7,54.7
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",41.5,41.5,41.5,41.5,41.5,42.3,43,44.4,45.1,45.2,45.4,46,46.6,47.5,49.1,56.5,62.9,67.7,67.9,59.5,54.2,53.2,53.1,52,49.8,52.2,55.2,57.4,57.4,57.4
32,"ARG","Argentina",48,48,48,48,48,47.2,47.7,46.1,41.7,37,33.3,31.6,32.6,37.4,43.7,54.4,71.9,86.8,87.6,83.1,75.1,63.3,50.6,42.9,38.5,39.8,43.9,46.6,46.6,46.6
51,"ARM","Armenia",89.4,89.4,89.4,89.4,89.4,87.7,75.5,53.5,46.9,40.6,36,30.9,31.6,35.2,42.9,50.7,60.4,65.7,60.3,52.8,45.5,35.2,32.2,33.3,41.9,50.9,63.9,79.3,79.3,79.3
533,"ABW","Aruba",13.9,13.9,13.9,13.9,13.9,0,0,0,0,0,0,0,0,18.5,100,100,100,96.2,69.3,56.9,54.5,53.2,45.4,33.8,26.2,32,31.4,31.4,31.4,31.4
