"code","iso","country","COE.ind.1995","COE.ind.1996","COE.ind.1997","COE.ind.1998","COE.ind.1999","COE.ind.2000","COE.ind.2001","COE.ind.2002","COE.ind.2003","COE.ind.2004","COE.ind.2005","COE.ind.2006","COE.ind.2007","COE.ind.2008","COE.ind.2009","COE.ind.2010","COE.ind.2011","COE.ind.2012","COE.ind.2013","COE.ind.2014","COE.ind.2015","COE.ind.2016","COE.ind.2017","COE.ind.2018","COE.ind.2019","COE.ind.2020","COE.ind.2021","COE.ind.2022","COE.ind.2023","COE.ind.2024"
4,"AFG","Afghanistan",52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,53.4,51,51.8,50.4,52.1,52.3,52.8,53.9,50,51,52.2,51.3,50.8,50,52.3,49.4,48.4,49.8,50.2,50.2,50.2
8,"ALB","Albania",49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7,53.6,52.7,54,48.9,56.5,58.2,58.3,55.3,53,59.6,60.7,58.3,61.5,60,62.5,63.4,63.2,61.7,64.4,64.4,64.4
12,"DZA","Algeria",54.9,54.9,54.9,54.9,54.9,54.9,54.9,54.9,54.9,55.3,54.8,54.6,51.3,55.4,55.5,55.6,53.5,44.5,54,50.2,47.1,46.3,44.7,48.5,47.5,42.4,41.9,42.7,42.7,42.7
20,"AND","Andorra",49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,52,52.6,53,53.7,55.5,57.1,57.1,57.6,57.2,58.7,59.5,58.6,59.4,59.3,60.5,61.2,61.1,60.1,61.2,61.2,61.2
24,"AGO","Angola",33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.7,33.4,35.2,33.6,34.5,36.9,34.8,33.5,38.1,37.5,40.8,36.4,36.9,42.4,43.3,40.3,41.3,43.1,43.2,43.2,43.2
660,"AIA","Anguilla",76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,78.9,78.5,78.9,80.1,80.8,83.1,80.8,83.2,82.1,82.9,84.6,83.7,84.1,84.3,85.2,86.2,84.4,83.5,86.1,86.1,86.1
28,"ATG","Antigua and Barbuda",72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,78.9,77.7,72.8,78.7,80.7,81.3,78.5,82.6,81.8,82.6,84.2,83,83.2,84.2,84.8,85.8,83.9,83.1,85.8,85.8,85.8
32,"ARG","Argentina",60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,63.6,64.9,62.3,61,62.6,65.5,66.8,68.1,65.4,66.4,68.2,67.1,68.5,67.6,68.1,66.7,61.8,67.4,64.5,64.5,64.5
51,"ARM","Armenia",54,54,54,54,54,54,54,54,54,55.7,55,55.5,56.2,57.3,59.3,57,58.8,57.1,58.4,58.9,57.9,57.3,56.9,58.9,57.4,58.1,57.4,59.7,59.7,59.7
533,"ABW","Aruba",77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,78.7,76.8,79.7,78.7,80.9,82.6,78.6,80.8,81.2,80.9,83.3,81.3,80.5,79.4,82.3,81.8,79.5,81.1,82,82,82
36,"AUS","Australia",69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,71.8,71.9,71.1,74.2,78.4,76.8,78.5,79.1,80,77.5,79.5,79.6,79.5,81.3,81.8,62.4,76.7,85.1,86.5,86.5,86.5
40,"AUT","Austria",41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,45.1,45.2,45.6,48.3,49.2,49.9,49.1,50.6,52,51.7,52.1,51.6,53.7,54.5,55.4,56.9,56.2,54.9,57.4,57.4,57.4
31,"AZE","Azerbaijan",56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,58.2,58.4,58.1,58.8,60.8,61.6,58.2,61,59.2,60.9,61.7,60.2,61.4,61.4,62.6,61.7,61.5,60.1,63.1,63.1,63.1
44,"BHS","Bahamas",71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,72,72.1,72.4,73.3,75.4,77.6,74.2,75.9,76.5,78,77.5,78.6,77.3,79.4,81.2,81.8,80.1,79.5,83,83,83
48,"BHR","Bahrain",45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,44.7,44.7,44.2,42.9,45.8,48,41.8,47.1,45,45.5,45.5,44.4,42.3,39.2,41,41.3,39.9,39.5,37.5,37.5,37.5
