"code","iso","country","FCL.ind.1995","FCL.ind.1996","FCL.ind.1997","FCL.ind.1998","FCL.ind.1999","FCL.ind.2000","FCL.ind.2001","FCL.ind.2002","FCL.ind.2003","FCL.ind.2004","FCL.ind.2005","FCL.ind.2006","FCL.ind.2007","FCL.ind.2008","FCL.ind.2009","FCL.ind.2010","FCL.ind.2011","FCL.ind.2012","FCL.ind.2013","FCL.ind.2014","FCL.ind.2015","FCL.ind.2016","FCL.ind.2017","FCL.ind.2018","FCL.ind.2019","FCL.ind.2020","FCL.ind.2021","FCL.ind.2022","FCL.ind.2023","FCL.ind.2024"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",68.4,68.4,68.4,68.4,68.4,68.4,68.4,68.4,68.4,68.4,68.4,75.8,65.8,57.2,59.9,59.6,59.8,59.6,65,64.2,65.4,65.6,75.3,76.8,76.3,74.6,72.6,71.7,71.7,71.7
12,"DZA","Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"AND","Andorra",93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,94.2,92.9,92.4,96.1,96.1,97.8,95.7,95.7,96.5,97.3,97.1,97.8,95.3,91,88.6,88.5,83.8,83.8,83.8
24,"AGO","Angola",75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,76.5,72.7,70.6,67,64.6,61.2,60.2,58.1,56.7,56.8,55.7,53.1,51.5,52.4,50.3,48.8,49.1,49.1,49.1
660,"AIA","Anguilla",66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,69.4,59.5,51.2,57.2,60.4,60.7,68.6,83.3,86.5,86.7,87,87.2,91.6,92,92.5,88.9,91.8,91.8,91.8
28,"ATG","Antigua and Barbuda",73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,67.7,66.2,63.5,60.7,63.7,68.2,68.1,70.6,75.9,77.7,79.4,74.1,59.2,59.6,57.1,56.2,59,59,59
32,"ARG","Argentina",34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,32.6,25.1,19.7,21.9,20.4,17.1,17.2,21.4,22.3,26.4,31.6,36.9,41.1,44.1,43.7,44.8,44.2,44.2,44.2
51,"ARM","Armenia",89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,88.1,88.5,93.2,92,91.1,90.9,89.4,88.8,92.2,94.3,94.5,97.2,98.1,98.4,98.3,99,99.3,99.3,99.3
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
