"code","iso","country","FGA.ind.1995","FGA.ind.1996","FGA.ind.1997","FGA.ind.1998","FGA.ind.1999","FGA.ind.2000","FGA.ind.2001","FGA.ind.2002","FGA.ind.2003","FGA.ind.2004","FGA.ind.2005","FGA.ind.2006","FGA.ind.2007","FGA.ind.2008","FGA.ind.2009","FGA.ind.2010","FGA.ind.2011","FGA.ind.2012","FGA.ind.2013","FGA.ind.2014","FGA.ind.2015","FGA.ind.2016","FGA.ind.2017","FGA.ind.2018","FGA.ind.2019","FGA.ind.2020","FGA.ind.2021","FGA.ind.2022","FGA.ind.2023","FGA.ind.2024"
4,"AFG","Afghanistan",19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,29.4,36.8,39.6,37.4,32.5,26.8,19.8,12.8,7.6,4.3,4.3,4.3,4.3
8,"ALB","Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,18.9,29.4,36.8,39.7,37.4,32.5,26.8,19.8,12.8,7.6,4.4,3.8,3.8,3.8
12,"DZA","Algeria",39.4,39.4,39.4,39.4,39.4,4.6,0,0,0,0,0,0,0,0,9.4,17.1,24,29.9,34.3,36.1,34.9,31.8,28.1,23.4,18.7,15.2,13,12.6,12.6,12.6
20,"AND","Andorra",64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,69.5,72.3,75.3,75.3,75.3
24,"AGO","Angola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,18.9,29.5,36.8,39.7,37.5,32.6,26.9,19.9,12.8,7.6,4.3,3.7,3.7,3.7
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",74.8,74.8,74.8,74.8,74.8,20.5,0,0,0,0,0,0,0,0,0,4,20.7,33.8,42.6,44.6,41.5,35.3,28.1,20.3,13.2,8.3,6,6.8,6.8,6.8
51,"ARM","Armenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,18.9,29.5,36.7,39.7,37.6,32.7,26.9,19.8,12.8,7.6,4.3,3.8,3.8,3.8
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",71.1,71.1,71.1,71.1,71.1,62,50.6,35,20.7,9.1,9,9.8,11,16.3,18.9,24.5,30.5,36.7,39.8,39.7,36.5,34.5,31.8,33.5,31.3,30.9,29.6,31.9,31.9,31.9
40,"AUT","Austria",10.6,10.6,10.6,10.6,10.6,21.7,27.5,37.9,43.9,46.5,45.5,43.3,39.9,39.3,43.4,47.8,49,48.4,47.1,44.7,41.9,39.4,36.4,34.1,36.2,37.3,39.3,40.4,40.4,40.4
31,"AZE","Azerbaijan",51.6,51.6,51.6,51.6,51.6,21.3,0,0,0,0,0,0,5.2,6.2,6.6,4.7,11,17.1,23,27.2,30.4,33.4,33,30.4,28,24.1,25.5,25.8,25.8,25.8
44,"BHS","Bahamas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"BHR","Bahrain",100,100,100,100,100,56.3,58.5,51.1,29.2,2.6,0.4,0,0,2.5,13.2,22,31.5,40.9,48.3,52.7,51.8,46.8,36.1,28.2,21.8,16.4,11.7,10.2,10.2,10.2
50,"BGD","Bangladesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,18.7,29.2,36.7,39.7,37.5,32.7,27,20,13,7.8,4.3,3.7,3.7,3.7
52,"BRB","Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"BLR","Belarus",23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,17.9,13.7,10.4,8.7,8.1,6.1,4.7,2.4,2,0,0,0,3.6,9.5,15.8,20.9,26.6,30.1,30.1,30.1
56,"BEL","Belgium",22.7,22.7,22.7,22.7,22.7,27.8,39,38.4,36.3,31.7,27.9,24.6,25.3,21.8,20.2,19.9,22.1,26.1,28.6,30.5,34.7,39.1,43.6,45.4,48.3,53.6,57.5,60.5,60.5,60.5
84,"BLZ","Belize",47.1,47.1,47.1,47.1,47.1,47.1,47.2,47.3,47.2,47.2,47.2,47.3,47.3,47.3,47.3,47.3,47.4,47.4,44.1,39.4,34.5,30.4,27.6,25,23.5,23.4,25.1,28.6,28.6,28.6
204,"BEN","Benin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,19,29.5,36.8,39.7,37.5,32.6,26.9,19.9,12.9,7.6,4.3,3.8,3.8,3.8
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"BOL","Bolivia",80,80,80,80,80,93.6,94.4,85.3,69.7,47.4,26.3,9,0,0,3.5,9.4,11.9,10.4,10,9.6,11.4,15.1,16.9,19.4,23.2,23.3,23.9,24.3,24.3,24.3
70,"BIH","Bosnia and Herzegovina",0,0,0,0,0,0,0,0,0,0,0,0,13.5,42.9,61,71.7,86,90.8,100,100,100,100,89.7,79,73.2,64.8,53.9,43.3,43.3,43.3
72,"BWA","Botswana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,18.8,29.3,36.6,39.6,37.5,32.7,26.9,19.9,12.9,7.6,4.3,3.7,3.7,3.7
76,"BRA","Brazil",75.9,75.9,75.9,75.9,75.9,84.2,89.3,85.2,75.3,59.1,46.2,33,17.1,10.6,0,0,3.2,7.8,12,14.6,20.1,21,21.9,21.7,23.5,22.3,24.6,26.6,26.6,26.6
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,18.9,29.5,36.8,39.7,37.5,32.6,26.8,19.8,12.8,7.6,4.4,3.9,3.9,3.9
100,"BGR","Bulgaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,7.9,7.9,7.9
854,"BFA","Burkina Faso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,18.9,29.3,36.7,39.6,37.4,32.6,26.9,20,12.9,7.6,4.4,3.7,3.7,3.7
108,"BDI","Burundi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,18.9,29.4,36.7,39.7,37.5,32.6,26.9,19.9,12.8,7.6,4.3,3.8,3.8,3.8
132,"CPV","Cabo Verde",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,11.9,15.4,16.6,19.2,21.3,21.3,21.3
116,"KHM","Cambodia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,18.9,29.5,36.8,39.8,37.6,32.7,26.9,19.9,12.9,7.6,4.3,3.8,3.8,3.8
