"code","iso","country","FSS.ind.1995","FSS.ind.1996","FSS.ind.1997","FSS.ind.1998","FSS.ind.1999","FSS.ind.2000","FSS.ind.2001","FSS.ind.2002","FSS.ind.2003","FSS.ind.2004","FSS.ind.2005","FSS.ind.2006","FSS.ind.2007","FSS.ind.2008","FSS.ind.2009","FSS.ind.2010","FSS.ind.2011","FSS.ind.2012","FSS.ind.2013","FSS.ind.2014","FSS.ind.2015","FSS.ind.2016","FSS.ind.2017","FSS.ind.2018","FSS.ind.2019","FSS.ind.2020","FSS.ind.2021","FSS.ind.2022","FSS.ind.2023","FSS.ind.2024"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"DZA","Algeria",86.6,87.6,88.6,89.7,88.6,88.6,88.6,89.7,92.1,93.5,96.5,93.5,89.7,85.6,83.9,85.6,82.3,79.4,78.7,80.1,82.3,82.3,75.2,73.6,75.7,75.7,75.7,75.7,75.7,75.7
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",34.5,37.9,41.6,41.4,37.9,36.3,34.1,28.2,27,29.4,40.9,47.6,40.6,24.4,19.9,21,23.4,22.4,24.9,24.1,22.6,17.2,18.1,20.4,29,29,29,29,29,29
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",73.6,69.6,74.7,78.1,66.3,100,56.6,100,100,100,68.5,100,100,80.1,80.8,81.5,83.9,100,100,100,100,100,100,100,100,100,100,100,100,100
32,"ARG","Argentina",79.4,79.4,76.9,72.7,72.2,71.8,73.2,75.2,80.1,74.1,72.7,73.6,78.7,78.7,78.1,77.5,75.7,74.7,73.2,74.7,65.6,62.9,62.6,69.6,70.5,70.5,70.5,70.5,70.5,70.5
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",65.4,61.6,56.1,55.6,51.1,52.5,45,44.3,41.7,35.3,30.6,27.2,27.6,28.7,28.8,29.4,29.7,28.5,26.9,26.1,26.8,28,28.6,28.9,28.6,28.6,28.6,28.6,28.6,28.6
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
