"code","iso","country","GHA.ind.1995","GHA.ind.1996","GHA.ind.1997","GHA.ind.1998","GHA.ind.1999","GHA.ind.2000","GHA.ind.2001","GHA.ind.2002","GHA.ind.2003","GHA.ind.2004","GHA.ind.2005","GHA.ind.2006","GHA.ind.2007","GHA.ind.2008","GHA.ind.2009","GHA.ind.2010","GHA.ind.2011","GHA.ind.2012","GHA.ind.2013","GHA.ind.2014","GHA.ind.2015","GHA.ind.2016","GHA.ind.2017","GHA.ind.2018","GHA.ind.2019","GHA.ind.2020","GHA.ind.2021","GHA.ind.2022","GHA.ind.2023","GHA.ind.2024"
4,"AFG","Afghanistan",9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,6.8,7.1,11.2,16.8,25.8,35.2,41.5,46.2,47.2,44,44,44,44
8,"ALB","Albania",63.4,63.4,63.4,63.4,63.4,54.6,44.7,40.8,36.2,32.2,28.5,29.3,36,43.2,46.2,48,48.6,48.8,45.8,41.7,41.8,43.7,44.5,46.7,50.6,53.3,55.1,57.7,57.7,57.7
12,"DZA","Algeria",37.6,37.6,37.6,37.6,37.6,40.2,44.7,49.3,51.1,53.2,49.5,45.5,44.7,40.7,39.2,37.9,38.2,38.3,37.6,37.6,34.7,33.3,32.7,32.5,33.4,36.7,38.6,40.4,40.4,40.4
20,"AND","Andorra",52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,53.6,58.3,62.9,62.9,62.9
24,"AGO","Angola",7.6,7.6,7.6,7.6,7.6,10.6,17.7,28.2,38.2,41,43.3,46.6,48.9,48.7,48.5,47.2,47.2,46.8,45.1,43.1,40.3,41.8,44.1,48.9,52.5,53.7,55,53.5,53.5,53.5
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",33.6,33.6,33.6,33.6,33.6,32.2,30.9,29.5,28.3,27.4,27.2,26.3,25.7,26.6,27.6,31.7,36.8,40.5,44,46.8,48.1,47.6,46.5,45.2,42.4,42.7,44.7,46.2,46.2,46.2
32,"ARG","Argentina",42.9,42.9,42.9,42.9,42.9,42.6,43.4,44.7,44.8,43.1,41.4,39.1,37.7,36.7,37.2,38.6,41.6,45.9,48.7,49.6,50.2,49.2,48,46.6,47,48.6,48.3,47.7,47.7,47.7
51,"ARM","Armenia",66.7,66.7,66.7,66.7,66.7,61.2,53.2,41.5,41.9,41.2,34.3,33.5,28.1,22.5,27.3,31.3,32.9,34.8,37.1,39.6,40.1,39.4,37.7,34.2,36,39,39.7,39.8,39.8,39.8
533,"ABW","Aruba",20.3,20.3,20.3,20.3,20.3,0,0,0,0,0,0,0,0,10.4,43,46.9,50.1,54.4,63.5,77.4,98.3,100,100,100,100,83.6,60.7,60.7,60.7,60.7
36,"AUS","Australia",42.8,42.8,42.8,42.8,42.8,39.8,36.6,35.1,38.2,39,42.1,44,46.5,49.9,50.9,51.8,46.8,42.5,46.5,47.1,49.3,50.6,49.6,50.2,51.8,56.6,56,53.5,53.5,53.5
40,"AUT","Austria",47.9,47.9,47.9,47.9,47.9,48.1,45.6,45.1,43.5,43.3,42.5,42.1,43.2,45.1,50,53.2,55.7,58.3,58.1,58.8,57.3,55.5,53.2,51.8,52.2,52.6,51.7,53.3,53.3,53.3
