"code","iso","country","GHI.ind.1995","GHI.ind.1996","GHI.ind.1997","GHI.ind.1998","GHI.ind.1999","GHI.ind.2000","GHI.ind.2001","GHI.ind.2002","GHI.ind.2003","GHI.ind.2004","GHI.ind.2005","GHI.ind.2006","GHI.ind.2007","GHI.ind.2008","GHI.ind.2009","GHI.ind.2010","GHI.ind.2011","GHI.ind.2012","GHI.ind.2013","GHI.ind.2014","GHI.ind.2015","GHI.ind.2016","GHI.ind.2017","GHI.ind.2018","GHI.ind.2019","GHI.ind.2020","GHI.ind.2021","GHI.ind.2022","GHI.ind.2023","GHI.ind.2024"
4,"AFG","Afghanistan",44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,45.1,45.9,46.8,47.5,49.4,47,48.8,48.4,45.4,49.6,51.4,51.5,51.8,52.8,52.6,51.9,52.7,52,45.9,45.9,45.9,45.9
8,"ALB","Albania",49.1,52.5,52.7,54.2,52.6,53.7,55.1,54.4,54.1,55.9,56.9,59.2,60.7,61.7,62.7,62.4,61.8,63,62.2,60.8,63.9,64.7,64.1,65.9,66.9,66.3,68.7,69.7,69.7,69.7
12,"DZA","Algeria",38.6,38.8,41.4,40.2,42.6,43.6,45.4,46.7,46.8,48.4,47.1,47.6,48.3,48.4,48.5,48.8,48.8,48.1,48.4,47.9,47.8,48.3,48,47.6,47.4,47.3,46.5,47.4,47.4,47.4
20,"AND","Andorra",73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,74.1,73.4,73,74,74.2,74.6,74.9,74.3,75.1,76.4,78,79.4,79.4,79.4
24,"AGO","Angola",25.4,26.5,27.7,26.8,27.8,29.6,30.9,33.6,33.1,34.5,38.4,43.3,46.1,48.4,48.4,47.3,48.3,49.8,50.6,52.3,51.5,51.4,51.8,53.2,53.1,53.3,53.9,55.5,55.5,55.5
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",58.1,58.4,58.3,58.7,58.3,59.2,57.4,56,56.3,56.6,56.8,58.1,59.4,59.3,55.9,55.1,54.8,55.1,54.9,55.4,55.7,56.4,57,58.1,58.2,54.7,56.8,58.4,58.4,58.4
32,"ARG","Argentina",51,52,53.3,54.2,52.4,52.3,51.9,49.7,49.9,50,51.8,52.4,54.5,54.8,54.7,56.9,57.9,57.4,57.9,57.3,57.6,56.9,57.2,57,56.6,54.9,55.8,56.6,56.6,56.6
51,"ARM","Armenia",48.4,53.9,50.9,52.1,54.6,53.7,55.4,59.5,60.5,61.4,61.7,63.1,64.3,64.4,64.9,65.8,64.5,63.3,64.1,64.7,65.2,64.6,66.2,66.8,67.4,64.7,65.2,68.8,68.8,68.8
533,"ABW","Aruba",63.4,63.2,63.6,62.8,62.9,40.2,40.9,40.3,39.4,40.5,39.5,40.1,39.9,41.8,39.1,39.6,40.5,54.6,64.6,64.4,64.6,65.3,66.2,67.6,67.4,63.3,67.2,67.2,67.2,67.2
