"code","iso","country","GHP.ind.1995","GHP.ind.1996","GHP.ind.1997","GHP.ind.1998","GHP.ind.1999","GHP.ind.2000","GHP.ind.2001","GHP.ind.2002","GHP.ind.2003","GHP.ind.2004","GHP.ind.2005","GHP.ind.2006","GHP.ind.2007","GHP.ind.2008","GHP.ind.2009","GHP.ind.2010","GHP.ind.2011","GHP.ind.2012","GHP.ind.2013","GHP.ind.2014","GHP.ind.2015","GHP.ind.2016","GHP.ind.2017","GHP.ind.2018","GHP.ind.2019","GHP.ind.2020","GHP.ind.2021","GHP.ind.2022","GHP.ind.2023","GHP.ind.2024"
4,"AFG","Afghanistan",85.3,84.8,84.5,84.3,84.1,85.4,86.6,85.4,85.7,86.3,86,86.2,85.8,84.5,83.6,82.1,80.9,82.2,82.8,83,83.4,83.9,83.9,83.7,84,84.3,84.3,84.6,84.6,84.6
8,"ALB","Albania",71.1,71.9,73.8,73.4,70.2,69.8,69.4,68,66.7,67.2,66.9,67.6,67.7,67.2,67.3,66.4,65.3,66,65.1,63.6,65.9,66,64.7,65.6,66.1,66.1,66.6,66.4,66.4,66.4
12,"DZA","Algeria",52.4,52.1,54.3,52.6,54.2,54.6,55.7,56,54.9,55.7,53.8,54.2,54.4,54.3,54.5,54.4,54.2,53.4,53.5,52.7,52.3,52.4,52.3,52.2,52.2,53.4,52.5,52.9,52.9,52.9
20,"AND","Andorra",43.8,43,42.9,42.8,42.6,42.4,42.9,43.4,44.1,44,44.3,45.3,45,44.5,44.8,44.1,44.9,45.1,45.7,46.3,46.3,46.4,46.9,46.3,47.1,51.6,52.3,52.7,52.7,52.7
24,"AGO","Angola",55.2,54.1,54.4,53.4,54.4,55.8,56.6,56.9,56.5,56.3,57.2,59.7,60.1,60.6,61.1,60.1,60.9,61.3,61.7,62.9,62.8,63.8,64.8,66.7,67.4,69.1,69.9,71,71,71
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",55.5,54.9,54.2,54,53.3,53.2,52.8,51.6,50.8,50.2,49.4,48.4,48.1,48.3,48,49.3,49.6,49.5,49.6,49.4,49.2,48.8,48.8,48.6,48,48.8,49.6,49.5,49.5,49.5
32,"ARG","Argentina",47.2,47.3,47.1,47.3,46.6,46.9,47.8,48.3,47,45.6,45.6,44.8,45.1,44.7,46.1,46.2,46.2,46.2,46.4,46.5,46.5,46.5,46.5,47,47.2,48,47,46.9,46.9,46.9
51,"ARM","Armenia",77.2,79.6,77.3,76.8,77.8,76.2,75.8,76.6,75.3,74.3,72.4,71.4,70.1,68.9,71.8,72.1,70.2,67.9,67.9,67.7,67.6,66.9,67,66.5,65.7,64.5,63.8,65,65,65
533,"ABW","Aruba",43.9,44,43.7,43,43.6,21,21.1,21.1,20.2,19.9,19.3,19.8,19.2,20.9,21.4,22.7,23,36.4,45.2,45.1,44.7,45.1,45.1,45.6,45.3,45.4,46.1,45.9,45.9,45.9
36,"AUS","Australia",19.7,20.1,19.9,19.2,17.9,17.3,16.5,17.1,19.9,18.1,19.6,18.4,18.8,20.2,20.2,21.4,18.3,18.6,22.1,21.9,22,23.3,22.1,22.4,23.7,25.7,25.5,25.4,25.4,25.4
40,"AUT","Austria",42.1,41.3,41.4,41.6,42,42,41.1,40.7,39.5,39.9,39.8,40.4,41.2,41.4,43.1,41.9,42.5,43.3,43.3,44.4,44.2,44.1,43.6,44.6,44.4,46.1,45.1,46.5,46.5,46.5
31,"AZE","Azerbaijan",54.7,55.9,56.7,55.8,56.9,56.6,57.2,57.3,56.3,55.6,54.5,54.1,54.4,52.7,55.1,55.8,55.1,54.2,54,53.8,53.7,54,54.4,54.3,52.7,53.1,51.8,51.7,51.7,51.7
44,"BHS","Bahamas",49.9,50.4,52.8,49.3,49.2,49.6,50.6,50,50.1,50.3,51.9,52.6,52.5,52.3,50.8,50.4,51.4,52.1,52.4,51.8,51.1,51.5,49.4,50.2,50.1,52.1,52.8,52.8,52.8,52.8
48,"BHR","Bahrain",5.4,4.9,6.5,6.1,5.6,5.6,8.2,9.2,10,10.9,11.3,13.3,10.5,9.8,11.6,12.1,12.3,12.1,9.9,10.6,10.8,11.9,12.3,12.8,10.7,10.4,9.7,9.8,9.8,9.8
50,"BGD","Bangladesh",83.1,83.2,83.2,83.4,83.1,83,82.7,82.7,82.7,82.6,82.4,82,82,81.4,81.1,80.7,80.6,80.4,80.4,80.1,79.7,79.7,79.3,79.3,78.3,78.8,78.5,78.4,78.4,78.4
52,"BRB","Barbados",53.4,52.7,50.4,50.1,49.2,48.2,49.4,49.7,49.3,49,48.8,48.9,48.7,46.1,47,48.5,47.6,49,48.9,50.3,50.4,50.4,50.9,50.9,50.8,55.9,56,55.9,55.9,55.9
112,"BLR","Belarus",45.2,45.1,45.1,45.4,45.8,46.7,46.8,46.9,46.4,45.3,45,44.1,44.4,43.4,43.8,43.2,40.5,40.2,39.9,40,41,41.3,40.9,40.3,40.3,40.8,40.2,40.4,40.4,40.4
56,"BEL","Belgium",34.2,33.7,34.6,33.7,34.5,34.4,34.6,34.5,34.6,34.6,35.2,35.6,36.1,36.3,38.4,37.4,39.2,39.8,39.9,41,40.5,40.9,41.2,41.2,41.5,43.2,42.5,43.9,43.9,43.9
84,"BLZ","Belize",63.5,65.9,64,64.7,65.4,64.9,64,63.5,62.7,66.4,65.9,64.9,64.2,65.1,63.5,63.8,62.9,65.5,64.7,65.1,62.7,63.1,63.8,64,62.7,64.1,63,62.8,62.8,62.8
204,"BEN","Benin",82.4,80.8,80.7,80.8,80.6,80.3,81.7,80.5,80.7,80.8,80.2,79.8,79.2,79.9,79.6,79.1,79.3,79.6,79.3,79.4,79.1,78,78.1,77.4,77.6,77.4,77.3,77.4,77.4,77.4
60,"BMU","Bermuda",45.4,45.7,46,46.3,46.7,46.7,46.5,45.5,45.5,44.9,45,42.8,40.5,43.1,49.6,44.4,50.7,54.6,47,42.4,47,43.9,43.2,41.2,44.5,49.9,50.6,50.3,50.3,50.3
64,"BTN","Bhutan",70.1,69.4,68.7,69.2,69,69.7,70.7,70.7,71.5,72.7,71,70.9,70.9,70.5,71.5,70.5,68.2,67.5,66.5,65.6,65.5,63.8,63.2,62.3,62.4,63.3,65.5,65.6,65.6,65.6
68,"BOL","Bolivia",59.3,59.4,57.3,59,59.1,61,61.6,59.8,59.8,59,58,58.5,58.6,58.6,58.8,57,57.2,56.5,56.2,56.1,56,55.6,55.8,56.1,56,57.5,56.4,56.6,56.6,56.6
