"code","iso","country","GIB.ind.1995","GIB.ind.1996","GIB.ind.1997","GIB.ind.1998","GIB.ind.1999","GIB.ind.2000","GIB.ind.2001","GIB.ind.2002","GIB.ind.2003","GIB.ind.2004","GIB.ind.2005","GIB.ind.2006","GIB.ind.2007","GIB.ind.2008","GIB.ind.2009","GIB.ind.2010","GIB.ind.2011","GIB.ind.2012","GIB.ind.2013","GIB.ind.2014","GIB.ind.2015","GIB.ind.2016","GIB.ind.2017","GIB.ind.2018","GIB.ind.2019","GIB.ind.2020","GIB.ind.2021","GIB.ind.2022","GIB.ind.2023","GIB.ind.2024"
4,"AFG","Afghanistan",56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,55.8,57.3,58.3,59.5,61.6,64.8,63,63.4,61.3,47.2,47.2,47.2,47.2
8,"ALB","Albania",83.5,83.5,83.5,83.5,83.5,82.8,75.2,70.4,65.4,61.1,59.2,62.7,66.5,71.6,73.7,74.3,73.8,72.1,66.4,59.5,56.6,56.3,55.8,58.4,62.6,64.4,67.4,71.4,71.4,71.4
12,"DZA","Algeria",46,46,46,46,46,51.5,58,65.3,69.5,72.7,70.7,67.7,66.6,62.3,59.4,56.6,54.9,53.4,51.9,51.7,49.7,48.8,48.4,47.7,47.2,47.2,46.7,46.9,46.9,46.9
20,"AND","Andorra",55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,57.6,63.1,68.1,68.1,68.1
24,"AGO","Angola",16.2,16.2,16.2,16.2,16.2,27.2,42.5,61.4,69.2,69.8,73.7,81,88.9,94,95.4,93.1,89.5,86.8,80.6,73.8,66.7,62.7,60.9,62.4,62.7,60.4,58.6,59.4,59.4,59.4
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",50.8,50.8,50.8,50.8,50.8,51.2,49,45.4,43.7,44,43.4,45.3,48.7,52.2,50.8,50.4,48.1,44.7,41.7,40.2,39.8,42.4,48.3,55.9,58.9,55.8,54.9,55.8,55.8,55.8
32,"ARG","Argentina",65.5,65.5,65.5,65.5,65.5,60.2,55.2,48.5,45,43.5,42.7,43.9,49.4,56.1,59.9,65.4,70.6,70.4,69,65.1,62.1,57.7,55.4,52.4,48.2,44.7,44.4,45,45,45
51,"ARM","Armenia",78.1,78.1,78.1,78.1,78.1,77.5,78.4,71,75.1,78.4,77,81.5,81.1,78.7,77.2,72.9,65.9,60.7,57.1,54.4,52,50.1,51.9,54,57,57.2,56.2,58.1,58.1,58.1
533,"ABW","Aruba",44.6,44.6,44.6,44.6,44.6,16.7,0,0,0,0,0,0,0,23.1,49.5,48.8,50.2,67.1,90.5,100,100,100,100,100,100,91.6,68.4,68.4,68.4,68.4
36,"AUS","Australia",59.8,59.8,59.8,59.8,59.8,59,56.6,54.8,57.4,57.8,60.3,61.5,63.2,66.2,66.9,67.4,61.7,57.1,60.6,60.9,62.6,63.5,62.4,63.2,64.6,68.3,66.7,64.1,64.1,64.1
40,"AUT","Austria",59.5,59.5,59.5,59.5,59.5,60.3,58.5,58.3,56.1,55.3,54.1,53.5,54.5,56.3,59.8,62.1,64,65.8,64.2,63.6,61.1,59.2,58,58.3,58.9,57.5,56.5,58.9,58.9,58.9
31,"AZE","Azerbaijan",39.6,39.6,39.6,39.6,39.6,54.8,74,84.3,89.2,88.9,90.7,96.5,100,100,100,100,100,100,95.4,82,68.8,59.1,54.5,48.6,46.1,45.4,43.9,42.7,42.7,42.7
44,"BHS","Bahamas",60.2,60.2,60.2,60.2,60.2,61,61.3,60,58.9,57.3,57.5,59,64.5,60.5,54.5,49.4,47.4,46.8,44.6,41.9,41.5,43.8,44.8,47,45.1,38.3,39.3,46,46,46
