"code","iso","country","GTI.ind.1995","GTI.ind.1996","GTI.ind.1997","GTI.ind.1998","GTI.ind.1999","GTI.ind.2000","GTI.ind.2001","GTI.ind.2002","GTI.ind.2003","GTI.ind.2004","GTI.ind.2005","GTI.ind.2006","GTI.ind.2007","GTI.ind.2008","GTI.ind.2009","GTI.ind.2010","GTI.ind.2011","GTI.ind.2012","GTI.ind.2013","GTI.ind.2014","GTI.ind.2015","GTI.ind.2016","GTI.ind.2017","GTI.ind.2018","GTI.ind.2019","GTI.ind.2020","GTI.ind.2021","GTI.ind.2022","GTI.ind.2023","GTI.ind.2024"
4,"AFG","Afghanistan",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0,0.7,4.8,10.6,20.1,29.4,35.4,40.4,41.1,35,35,35,35
8,"ALB","Albania",57.5,57.5,57.5,57.5,57.5,49.2,39.8,35.7,31,27.7,24.3,25.9,33.1,40.6,43.9,45.6,46,46.5,43.3,38.8,39.7,41.9,42.6,45.2,49.2,51.8,54.1,56.9,56.9,56.9
12,"DZA","Algeria",26.7,26.7,26.7,26.7,26.7,29.9,35.4,40.6,42.5,45.4,41,37.3,36.8,32.9,31.4,30.3,30.6,30.4,29.8,29.5,26.6,25.4,24.7,24.3,25.1,28.3,29.8,32.1,32.1,32.1
20,"AND","Andorra",51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,53.5,58.3,62.9,62.9,62.9
24,"AGO","Angola",0,0,0,0,0,0,0,11.4,21,24.9,29.8,36,40,40.9,40.7,38.9,39.4,39.7,38.3,37.1,34,35.4,37.9,43.2,46.9,48.1,49.7,48.8,48.8,48.8
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",29.9,29.9,29.9,29.9,29.9,28.8,26.9,25,23.9,23.1,23,22.6,22.3,23.3,23.1,26.8,31.8,35.7,39.1,42,43.5,43.2,42.3,41.4,38.7,37.7,40.5,42.6,42.6,42.6
32,"ARG","Argentina",36.9,36.9,36.9,36.9,36.9,36.6,37.2,37.5,37.7,36.1,35.2,33.2,32.6,31.7,32.1,34.4,37.8,41.9,44.9,45.6,46.3,45,44,42.5,42.7,43.7,43.8,43.4,43.4,43.4
51,"ARM","Armenia",61.6,61.6,61.6,61.6,61.6,55.8,48.4,38.2,38.9,38.5,31.7,31.3,26.2,20.6,25.5,29.8,31.1,32.6,35.1,37.7,38.4,37.5,36.3,32.9,34.8,37.2,38,38.9,38.9,38.9
533,"ABW","Aruba",18.1,18.1,18.1,18.1,18.1,0,0,0,0,0,0,0,0,0,29.9,34.1,37.9,49.4,61.7,75.5,96.4,98.3,98.5,98.8,98.8,81.4,59.4,59.4,59.4,59.4
36,"AUS","Australia",28.2,28.2,28.2,28.2,28.2,25.2,21.6,20.9,26.4,26.4,30.8,32.1,35.1,39.7,40.6,42.4,35.6,31.7,38,38.6,40.9,43,41.5,42.4,44.8,50.4,49.8,47.5,47.5,47.5
40,"AUT","Austria",46.4,46.4,46.4,46.4,46.4,46.7,44.1,43.6,41.7,41.7,41,40.8,42.2,44.1,49.2,52.2,54.9,57.6,57.4,58.2,56.7,54.9,52.6,51.3,51.7,52.2,51.2,53,53,53
31,"AZE","Azerbaijan",35.1,35.1,35.1,35.1,35.1,39.1,48.1,48,39.4,31.7,29.5,29.8,31,25.8,28.7,31.3,33.5,35.2,36.9,37.6,37.1,36.5,37.5,35.3,33.6,34.9,34.3,33.5,33.5,33.5
44,"BHS","Bahamas",48.5,48.5,48.5,48.5,48.5,44.4,41.6,39.5,39.7,40.4,42.7,45.9,52.1,52.2,48.8,45.5,45,44.4,43.6,41.6,41,42.4,41,41.8,40.1,40.3,44,47.9,47.9,47.9
48,"BHR","Bahrain",12.6,12.6,12.6,12.6,12.6,13.7,22.1,29.5,30.6,32.6,32.8,33.6,27.3,19.8,14.6,9.7,9.5,11.3,10.2,12.9,14.9,21.4,23.2,23.2,20.5,19.8,21.3,24.7,24.7,24.7
50,"BGD","Bangladesh",32.4,32.4,32.4,32.4,32.4,32.2,31.6,31.3,31.8,32.4,31.8,31.1,31.3,31.3,30.9,30.3,29.7,29.5,30.3,31.2,31.7,32.4,33.2,34,32.8,33.4,33.6,34.2,34.2,34.2
52,"BRB","Barbados",31.8,31.8,31.8,31.8,31.8,27.4,23.8,22,26.7,31.4,35.1,39.4,40.5,36.6,34.8,34.8,34.5,38.2,40.5,44.7,47.4,48.9,52.9,53.8,51.7,59,59,56.1,56.1,56.1
112,"BLR","Belarus",43.6,43.6,43.6,43.6,43.6,52.4,52.9,48.4,44.3,41.8,41.2,38.8,37.5,34.8,33.3,33.3,29.3,27.8,26.8,26.6,28.5,30.3,33.3,35,38.4,41.9,42,41.4,41.4,41.4
56,"BEL","Belgium",42.9,42.9,42.9,42.9,42.9,43.8,44.5,45.2,46.3,46.8,47.7,48,50,50,53.5,53.9,56.6,58.4,59,60,59.1,58.2,57.1,54.9,55,54.6,54.2,55.8,55.8,55.8
84,"BLZ","Belize",44.2,44.2,44.2,44.2,44.2,45.1,39.7,34.4,28.2,30.2,30.5,33.1,31.1,32.3,31,31,27.7,30,27.1,31.9,30.9,31.1,31.3,33.7,31.1,31,29.1,32.1,32.1,32.1
204,"BEN","Benin",18.7,18.7,18.7,18.7,18.7,18,22.3,21.9,23.7,25.1,26.6,24.5,21.6,22,20.8,17.8,20.6,21.9,23.4,26.2,26.7,23.9,21.7,20.1,20,18.3,18.4,20.4,20.4,20.4
60,"BMU","Bermuda",48.4,48.4,48.4,48.4,48.4,49.6,48.1,49.9,47.7,45.1,43.1,38.7,32.7,32.3,43.8,44.8,53,56.3,54.4,57.8,58.9,54.5,41.9,29,31.8,35,48.3,62.1,62.1,62.1
64,"BTN","Bhutan",17.8,17.8,17.8,17.8,17.8,16.7,20,24.5,32.5,42.6,43,42.9,42.2,40,39.7,37.6,32.4,27.4,23,21.7,19.2,15.5,13.6,12,16.5,22.7,31.6,31.6,31.6,31.6
68,"BOL","Bolivia",38.7,38.7,38.7,38.7,38.7,44,46.4,41.8,37.2,30.4,27.4,27.2,23.2,21.9,20.8,19.3,22.2,21.5,22.2,22.1,21.2,21,22.5,25.4,28.8,31.7,33.5,35,35,35
70,"BIH","Bosnia and Herzegovina",0,0,0,0,0,0,0,0,0,0,0,6.3,14.1,15,17.8,16.4,14.6,17.3,22.6,28.6,35.9,35.9,37.6,37.8,40.5,41.2,42.2,43.5,43.5,43.5
72,"BWA","Botswana",32.8,32.8,32.8,32.8,32.8,32.2,24.7,22.6,46.9,58.3,61.2,56.3,58.7,35.8,47.6,19.1,0,0,6.4,26.9,46.5,60.6,67.1,63.1,83.5,72.4,35,19.3,19.3,19.3
76,"BRA","Brazil",31.3,31.3,31.3,31.3,31.3,31.7,31.3,31.1,30.8,30.1,30.1,31.6,32.4,33.3,35.4,35.3,35.7,35.1,34.5,32.5,32.2,33.9,35.4,38.3,42.2,44.2,44.6,45,45,45
