"code","iso","country","GTP.ind.1995","GTP.ind.1996","GTP.ind.1997","GTP.ind.1998","GTP.ind.1999","GTP.ind.2000","GTP.ind.2001","GTP.ind.2002","GTP.ind.2003","GTP.ind.2004","GTP.ind.2005","GTP.ind.2006","GTP.ind.2007","GTP.ind.2008","GTP.ind.2009","GTP.ind.2010","GTP.ind.2011","GTP.ind.2012","GTP.ind.2013","GTP.ind.2014","GTP.ind.2015","GTP.ind.2016","GTP.ind.2017","GTP.ind.2018","GTP.ind.2019","GTP.ind.2020","GTP.ind.2021","GTP.ind.2022","GTP.ind.2023","GTP.ind.2024"
4,"AFG","Afghanistan",9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,7.4,8.1,12.3,18.3,27.8,37.1,43.3,48.2,49.5,46.3,46.7,46.7,46.7
8,"ALB","Albania",62.6,62.6,62.6,62.6,62.6,53.8,43.8,39.7,34.9,30.9,27.2,28.1,34.8,41.9,45,46.6,46.9,47.3,44,39.6,40.2,42.2,42.7,45.1,49.1,51.8,53.7,56.3,56.3,56.3
12,"DZA","Algeria",32.4,32.4,32.4,32.4,32.4,35.2,40.1,44.8,46.2,48.6,44.1,40.3,39.6,35.6,34.1,32.8,33,32.8,32.1,31.7,28.7,27.3,26.7,26.4,27.3,31.1,32.7,34.7,34.7,34.7
20,"AND","Andorra",43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,47.3,52.3,57.1,57.1,57.1
24,"AGO","Angola",2.5,2.5,2.5,2.5,2.5,6,13.4,24.1,33.9,36.6,39.3,43.3,45.8,45.8,45.8,44.2,44.4,44.1,42.5,40.8,38,39.7,42.4,47.5,51.3,52.7,54.2,52.9,52.9,52.9
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",28,28,28,28,28,26.6,25.1,23.1,21.7,20.5,19.9,18.5,17.7,18.8,19.6,24.3,29.6,33.2,36.8,39.5,40.7,40,38.9,37.5,34.5,35.1,37.5,39,39,39
32,"ARG","Argentina",34.2,34.2,34.2,34.2,34.2,34,35.3,36.9,36.3,33.9,32.2,29.5,28.1,26.9,28.2,29.7,32.7,36.9,39.9,40.9,41.4,40.4,39.2,38.1,38.6,40.6,39.8,39.1,39.1,39.1
51,"ARM","Armenia",66.6,66.6,66.6,66.6,66.6,61.1,53,41.4,41.7,41,33.8,32.9,27.3,21.5,26.7,30.8,32.2,33.7,36,38.4,38.9,38,36.4,32.8,34.4,37.1,37.7,38.1,38.1,38.1
533,"ABW","Aruba",10,10,10,10,10,0,0,0,0,0,0,0,0,0,16.1,21.3,24.7,39.6,54,67.9,88.5,90.5,90.5,90.8,90.6,74.2,51.7,51.6,51.6,51.6
36,"AUS","Australia",12.6,12.6,12.6,12.6,12.6,9,5.1,4.1,10,9,13.6,14.4,17.2,22,23,25,17.1,13,20.4,20.8,23.1,25.5,23.4,24.3,27.1,33.6,32.8,30.2,30.2,30.2
