"code","iso","country","HFD.ind.1995","HFD.ind.1996","HFD.ind.1997","HFD.ind.1998","HFD.ind.1999","HFD.ind.2000","HFD.ind.2001","HFD.ind.2002","HFD.ind.2003","HFD.ind.2004","HFD.ind.2005","HFD.ind.2006","HFD.ind.2007","HFD.ind.2008","HFD.ind.2009","HFD.ind.2010","HFD.ind.2011","HFD.ind.2012","HFD.ind.2013","HFD.ind.2014","HFD.ind.2015","HFD.ind.2016","HFD.ind.2017","HFD.ind.2018","HFD.ind.2019","HFD.ind.2020","HFD.ind.2021","HFD.ind.2022","HFD.ind.2023","HFD.ind.2024"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.8,1.1,1.3,1.7,1.9,2.2,2.4,2.6,2.8,3,3.1,3.3,3.6,3.6,3.6,3.6
8,"ALB","Albania",8.8,8.7,8.9,9.3,9.7,10.1,10.7,11,11.4,12.1,12.9,14.1,15.6,16.8,18.2,19.3,20.2,21.1,21.9,22.8,23.7,24.5,25.3,26.3,27.1,27.8,27.6,27.6,27.6,27.6
12,"DZA","Algeria",33.3,33.8,34.4,35.3,36,36.9,38,39.2,40.7,42.3,43.9,45.5,47.2,49.1,51.1,52.8,54.2,55.7,57.2,58.6,59.8,61.1,62.2,63.2,64.2,65.1,64.5,64.5,64.5,64.5
20,"AND","Andorra",85.5,85.9,86.4,86.9,87.4,87.9,88.7,89.4,90.1,90.8,91.4,91.9,92.5,93,93.4,93.8,94,94.2,94.4,94.5,94.8,95.1,95.5,95.9,96.3,97,96.8,96.8,96.8,96.8
24,"AGO","Angola",2,2.2,2.5,2.6,2.9,3.2,3.5,3.9,4.3,4.6,5.2,5.6,6.3,6.9,7.5,8.2,8.9,9.8,10.6,11.6,12.2,12.6,13,13.3,13.6,13.9,13.8,13.8,13.8,13.8
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",46.1,47.1,48,48.9,49.7,50.6,51.1,51.6,52,52.4,52.9,53.7,54.3,55.3,56.6,57.3,57.7,58,58.2,58.5,58.9,59.4,60.2,61.2,62.1,63.3,62.7,62.7,62.7,62.7
32,"ARG","Argentina",34.7,35.7,36.9,37.9,39,40,40.5,40.6,40.9,41.5,42.1,42.9,43.7,45.2,46.6,47.8,48.7,49.8,50.7,51.6,52.1,52.2,52.8,53.2,53.4,53.7,54.5,54.5,54.5,54.5
51,"ARM","Armenia",12.1,12,12.3,12.4,12.4,12.6,13,13.9,14.8,16.1,17.3,18.7,20.5,22.4,24.5,26.5,28.1,29.9,31.6,33,34.2,35.3,36.4,37.3,38,38.6,38.5,38.5,38.5,38.5
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
