"code","iso","country","LED.ind.1995","LED.ind.1996","LED.ind.1997","LED.ind.1998","LED.ind.1999","LED.ind.2000","LED.ind.2001","LED.ind.2002","LED.ind.2003","LED.ind.2004","LED.ind.2005","LED.ind.2006","LED.ind.2007","LED.ind.2008","LED.ind.2009","LED.ind.2010","LED.ind.2011","LED.ind.2012","LED.ind.2013","LED.ind.2014","LED.ind.2015","LED.ind.2016","LED.ind.2017","LED.ind.2018","LED.ind.2019","LED.ind.2020","LED.ind.2021","LED.ind.2022","LED.ind.2023","LED.ind.2024"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"ALB","Albania",52.3,50.5,50.2,50.6,50.9,50.8,51.2,50.5,49.5,49.7,50.4,51.9,53.9,54.1,54.6,54.3,54,53.7,53.3,52.9,52.9,52.7,52.8,53.4,54,55,55.2,55.2,55.2,55.2
12,"DZA","Algeria",22.6,23,23.5,24.2,24.2,24.5,24.9,25.2,25.3,25.6,25.9,26.3,26.7,27.1,27.5,27.8,28.1,28.6,29.1,29.6,29.9,30.8,31.2,31.4,31.7,32.2,32.6,32.6,32.6,32.6
20,"AND","Andorra",89.7,89.8,89.9,90,90.1,90.2,91.8,92.9,93.5,94,95.1,95.7,96.6,96.3,96.1,95.7,96,96.5,96.8,97.1,97.5,97.9,98.4,99,100,100,100,100,100,100
24,"AGO","Angola",25.1,25.8,26.1,25.7,25.7,25.9,26.5,27.1,27.4,27.4,28.2,28.5,29.3,29.6,29.9,30.3,30.7,31.1,31.6,32.7,33.1,33.3,33.4,33.5,33.5,33.6,33.8,33.8,33.8,33.8
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",39.8,42.5,43.6,44.5,45.2,46.4,47.1,47.6,48.2,49.3,49.8,50.3,47.7,47.9,49.4,49.7,49.5,49.7,49.6,49.6,49.4,49.1,48.5,49,49.2,51.7,52.1,52.1,52.1,52.1
32,"ARG","Argentina",60.7,61.2,62.1,62.4,62.6,63.8,64,63.9,64.5,65.7,67.1,67.9,68.1,69.1,69.5,69.6,70,70.6,71.4,72.1,71.9,71.3,72.4,73.1,73.6,74.5,76.7,76.7,76.7,76.7
51,"ARM","Armenia",43.2,43.3,44.5,45,44.7,45.3,45.3,45.5,45.4,45.7,46.1,46.6,47.4,47.7,48.4,49.3,50.8,51.9,53.5,54.1,54.6,54.8,55.1,56.1,57,57.1,58.4,58.4,58.4,58.4
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",61.1,62,63.5,64.6,66,67.5,68.8,69.9,71.2,72.7,74.2,75.4,76,76.6,78,79.3,80.6,82.1,82.9,83.5,84.3,85.8,87,88.4,88.5,90.5,90.3,90.3,90.3,90.3
40,"AUT","Austria",70.4,70.2,70.6,70.9,71.7,73.2,74.6,76,77.5,79.2,80.2,80.9,81.2,81.7,81.7,82.4,83.2,83.6,84.1,84.9,85.4,86.5,87.9,88.5,89.7,90.2,92.3,92.3,92.3,92.3
31,"AZE","Azerbaijan",39.3,39.8,40.4,40.7,40.7,40.5,40.9,40.2,39.2,38.8,38.3,38.7,39.4,39.6,40.1,40.5,41.2,41.5,42.2,42.6,43.3,43.7,44,46.2,47.5,48.7,50.4,50.4,50.4,50.4
44,"BHS","Bahamas",48.8,48.6,48.6,49.6,49.7,50.2,48.4,46.8,48.6,48.9,50.9,52.4,53.1,52.4,51.9,51.5,52.2,53.7,54.3,53.2,53.8,53.8,54.8,55.5,56,56.9,57.6,57.6,57.6,57.6
48,"BHR","Bahrain",28.2,28.2,28,28.5,29.4,30,30.7,31.3,30.9,31.4,32.3,34.2,36,37.8,39.3,39.8,41,42.8,45.4,49.5,50.1,50,50.5,51.3,51.7,51.6,51.6,51.6,51.6,51.6
50,"BGD","Bangladesh",19.4,19.8,20.1,20.4,19.7,19.2,19.2,18.7,18.7,19.3,19.4,19,19,19.8,20.5,21.1,23.8,26.2,27.2,27.3,28,28.5,28,28.6,29.3,29.8,30.4,30.4,30.4,30.4
52,"BRB","Barbados",55.4,55.8,56.2,58.1,59.8,60.2,61.5,61.2,60.8,62.1,63.9,63.9,63.9,64.2,65.4,66,66.3,67.1,66.8,66.9,67.2,67.4,67.5,67.4,66.9,68.6,69.5,69.5,69.5,69.5
