"code","iso","country","LEX.ind.1995","LEX.ind.1996","LEX.ind.1997","LEX.ind.1998","LEX.ind.1999","LEX.ind.2000","LEX.ind.2001","LEX.ind.2002","LEX.ind.2003","LEX.ind.2004","LEX.ind.2005","LEX.ind.2006","LEX.ind.2007","LEX.ind.2008","LEX.ind.2009","LEX.ind.2010","LEX.ind.2011","LEX.ind.2012","LEX.ind.2013","LEX.ind.2014","LEX.ind.2015","LEX.ind.2016","LEX.ind.2017","LEX.ind.2018","LEX.ind.2019","LEX.ind.2020","LEX.ind.2021","LEX.ind.2022","LEX.ind.2023","LEX.ind.2024"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0.1,1,1.7,2.5,3.4,4.5,5.6,6.8,8.1,9.3,10.5,11.5,12.3,13.3,14.3,15.2,16.1,17,17.8,18.6,18.6,18.6,18.6
8,"ALB","Albania",31.9,32.6,32.9,33.3,33.6,33.8,34.1,34.4,34.7,36.9,39.2,41.8,44.7,47.8,48.6,49.3,49.9,50.5,51.1,51.9,52.7,53.4,54.1,54.7,55.3,55.6,55.9,55.9,55.9,55.9
12,"DZA","Algeria",31.1,32.2,33.3,34.4,35.4,36.4,37.2,38.1,38.9,39.7,40.4,41,41.6,42.1,42.6,43.1,43.6,43.9,44.1,44.3,44.7,45.2,45.7,46.3,47,47.7,48.3,48.3,48.3,48.3
20,"AND","Andorra",41.9,41.9,41.5,41.2,40.8,40.3,40.1,40.1,40,51.1,62.4,74,85.7,96.9,96.4,95.9,95.5,95.2,95.2,95.4,95.9,96.6,97.5,98.4,99.2,99.5,99.6,99.6,99.6,99.6
24,"AGO","Angola",24.9,25.5,26.1,26.7,27.3,27.9,28.4,29.1,29.7,31.7,33.9,36.3,38.8,41.6,42.7,44,45.4,46.8,48.1,49.3,50.3,51.6,52.8,53.9,55,56.1,57.1,57.1,57.1,57.1
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",34.5,34.9,35.3,35.8,36.6,40.6,44.6,48.5,52.3,56,56.8,57.8,59,60.2,61.1,61.9,62.6,63.2,63.7,64.2,64.6,65.2,65.8,66.5,67.4,67.8,68.2,68.2,68.2,68.2
32,"ARG","Argentina",42.5,46,49.8,53.6,57.3,58,58.7,59.1,59.5,60.1,61,62,62.9,63.8,64.7,65.6,66.8,67.8,68.4,69.1,70.1,71.1,72,72.5,72.9,72.9,72.8,72.8,72.8,72.8
51,"ARM","Armenia",36.7,37.1,37.5,37.9,38.2,38.6,39.2,39.8,40.4,40.9,41.3,43.4,46,49,51.8,54.7,55.5,56.2,56.7,57.2,57.5,57.7,58,58.3,58.8,59,59.2,59.2,59.2,59.2
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",40.9,42.1,43.2,44.3,45.4,46.4,47.4,48.4,49.2,49.6,57.3,65,72.8,81,89.3,89.9,90.4,90.9,91.5,92.1,92.6,93.1,93.6,94.2,94.6,94.5,94.3,94.3,94.3,94.3
40,"AUT","Austria",47.3,47.8,48.3,48.5,48.6,55.8,63.5,71.2,78.7,86,85.9,86,86.3,86.9,87.4,88,88.7,89.3,89.7,90.1,90.4,90.7,91.3,91.9,92.5,92.6,92.6,92.6,92.6,92.6
31,"AZE","Azerbaijan",45.1,44.7,44.1,43.5,43,42.5,42.3,42.3,42.3,42.4,42.9,45.4,48.3,51.1,53.7,56.5,57.3,58,58.7,59.3,59.9,60.3,60.7,61,61.5,61.8,62,62,62,62
44,"BHS","Bahamas",47.4,47.7,47.9,48,47.9,51.3,55.4,60.3,65.9,72,73.4,74.8,76.3,77.6,78.6,79.6,80.4,81,81.4,81.8,82.1,82.3,82.4,82.5,82.7,82.5,82.3,82.3,82.3,82.3
48,"BHR","Bahrain",35.1,35.9,36.8,37.6,38.4,39.1,39.9,40.7,41.6,47.1,52.4,57.6,62.8,68.2,68.6,68.9,69.1,69.5,70.1,70.8,71.7,72.6,73.5,74.5,75.5,76.1,76.5,76.5,76.5,76.5
