"code","iso","country","NDA.ind.1995","NDA.ind.1996","NDA.ind.1997","NDA.ind.1998","NDA.ind.1999","NDA.ind.2000","NDA.ind.2001","NDA.ind.2002","NDA.ind.2003","NDA.ind.2004","NDA.ind.2005","NDA.ind.2006","NDA.ind.2007","NDA.ind.2008","NDA.ind.2009","NDA.ind.2010","NDA.ind.2011","NDA.ind.2012","NDA.ind.2013","NDA.ind.2014","NDA.ind.2015","NDA.ind.2016","NDA.ind.2017","NDA.ind.2018","NDA.ind.2019","NDA.ind.2020","NDA.ind.2021","NDA.ind.2022","NDA.ind.2023","NDA.ind.2024"
4,"AFG","Afghanistan",16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,12.4,9.3,6.8,5.7,12.3,21.6,30.6,40.2,46.1,50.8,50.8,50.8,50.8
8,"ALB","Albania",52.4,52.4,52.4,52.4,52.4,43.3,47.1,49.1,49.3,41.8,33.2,33.8,40.5,48.8,60.8,73.6,85.6,79.6,72.3,65.4,54.1,46.7,42.7,47.3,51.2,63.4,93,100,100,100
12,"DZA","Algeria",50.1,50.1,50.1,50.1,50.1,45.2,38,32.7,23.2,12.9,17,24,26.2,25.3,20.6,17,12.2,10.4,9.4,2.5,5.3,13.9,17.1,24.8,29.5,36.4,42.9,46.1,46.1,46.1
20,"AND","Andorra",50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.5,51.8,58.6,58.6,58.6
24,"AGO","Angola",67.7,67.7,67.7,67.7,67.7,66.9,61.5,49,34.3,22.1,12.7,16.8,20.5,24.1,34.3,42,47.5,54.3,49.2,46.9,42.6,43.3,40.4,47.5,48.2,49.4,47.8,49,49,49
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",21.8,21.8,21.8,21.8,21.8,26.7,30.7,33.7,35,35.6,35.5,32.9,30.6,27.5,23.3,35.4,46.5,51.6,52.1,51.4,51.1,50.9,57.5,69.8,60.8,65,64.3,57.5,57.5,57.5
32,"ARG","Argentina",40.7,40.7,40.7,40.7,40.7,38.9,39.3,39.1,35.2,31.3,29.5,27.3,23.7,25.1,35.7,42.3,49,58.5,58.4,56.9,56.8,49.9,38.5,30.4,29.2,27.5,26.1,27.3,27.3,27.3
51,"ARM","Armenia",100,100,100,100,100,100,100,58.3,41.4,31.2,25.3,0,0,0,0,0,8.7,5.8,6.7,11.4,17.4,0,0,0,0,10.8,29.8,39.2,39.2,39.2
533,"ABW","Aruba",0,0,0,0,0,0,0,6.9,13,16.3,13.4,38,36.1,30,19.2,22.5,43.4,46.8,48.1,47.6,44.6,42.7,47.8,56.6,49.8,47.1,62.7,62.7,62.7,62.7
36,"AUS","Australia",42,42,42,42,42,27.2,10.5,2.7,26,28.6,50.2,60.1,79.5,100,100,100,61.3,20.3,39.7,29.3,40.2,47,37.5,44.4,62.6,100,100,77.7,77.7,77.7
40,"AUT","Austria",61.7,61.7,61.7,61.7,61.7,60.2,55.7,53,54.4,67.6,81,88,93.2,86.8,90.2,87,73,64.5,55.2,53.3,50.7,48.8,48.9,46.2,50.5,53.1,53.6,60.5,60.5,60.5
31,"AZE","Azerbaijan",52.1,52.1,52.1,52.1,52.1,51.1,50.3,38.1,25.3,16.1,9.5,8,7.7,6.6,8.9,14.9,18.6,21.1,24,25.7,22.5,21.7,24.8,21.1,17.6,14.3,12.9,11.3,11.3,11.3
44,"BHS","Bahamas",0,0,0,0,0,0,0,9.7,41.9,59.2,80.9,80.3,71.6,45,44.6,44,38.2,31.4,38.3,38,45.4,47.8,49.5,49.1,60.8,69,69.5,69.4,69.4,69.4
48,"BHR","Bahrain",0.3,0.3,0.3,0.3,0.3,8.5,19.4,19.4,19.2,19.9,18.1,13.2,10.3,3.9,4,9.9,20.9,25.8,28.5,32.1,33.4,33.2,33.9,32.3,34.3,33.7,34.9,35.7,35.7,35.7
50,"BGD","Bangladesh",20.6,20.6,20.6,20.6,20.6,23,24.2,25.5,29.8,33.5,32.6,29.5,29.7,27.3,25.1,23.3,20.3,19.8,23.1,26.5,29,32.9,36.8,35.6,37.1,37.3,33.7,32.7,32.7,32.7
52,"BRB","Barbados",43.1,43.1,43.1,43.1,43.1,46.5,51.5,67,90.1,89.9,88.9,86,77.7,57.3,48.6,40.8,34.1,38.8,42.4,39.4,42.1,44.7,55.8,65.3,69,67.6,62.4,53.8,53.8,53.8
112,"BLR","Belarus",63.2,63.2,63.2,63.2,63.2,63.7,60.5,60.8,56.8,55.3,50.8,46.7,43.6,39.7,36.8,35.7,0.5,0,0,0,0,0,0,0,20.8,54.3,51.3,49.9,49.9,49.9
56,"BEL","Belgium",22.9,22.9,22.9,22.9,22.9,26,32.7,37.9,48.5,58,66.5,68.5,66,56.9,52.5,48.3,46.6,40.3,39.6,40.6,41.6,45.8,48.4,52.3,66.4,64.9,59.1,61.8,61.8,61.8
84,"BLZ","Belize",59.2,59.2,59.2,59.2,59.2,51.7,46.2,5.5,0,0,0,7.3,26.1,46.5,49.8,63.9,71.1,42.7,0,0,0,0,0,0,0,11.1,22.9,42.7,42.7,42.7
204,"BEN","Benin",0,0,0,0,0,0,10.7,16.5,30.8,44.9,52.7,56.2,53,52.9,49.8,41.5,45.5,39.6,37.7,39.7,32.8,27,22.9,19.4,12,10.1,10.8,12.1,12.1,12.1
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
