"code","iso","country","NXA.ind.1995","NXA.ind.1996","NXA.ind.1997","NXA.ind.1998","NXA.ind.1999","NXA.ind.2000","NXA.ind.2001","NXA.ind.2002","NXA.ind.2003","NXA.ind.2004","NXA.ind.2005","NXA.ind.2006","NXA.ind.2007","NXA.ind.2008","NXA.ind.2009","NXA.ind.2010","NXA.ind.2011","NXA.ind.2012","NXA.ind.2013","NXA.ind.2014","NXA.ind.2015","NXA.ind.2016","NXA.ind.2017","NXA.ind.2018","NXA.ind.2019","NXA.ind.2020","NXA.ind.2021","NXA.ind.2022","NXA.ind.2023","NXA.ind.2024"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,30.6,39.6,39.2,34.2,34.2,34.2,34.2
8,"ALB","Albania",72.8,72.8,72.8,72.8,72.8,22.1,0,0,0,0,0,0,22.8,60.3,70.6,88.1,98.9,100,100,88,80.4,78,79.1,78.7,86,100,100,100,100,100
12,"DZA","Algeria",81.1,81.1,81.1,81.1,81.1,80.4,72.5,61.2,50.6,41.4,34.4,26.6,20.3,16.7,12.5,10.5,11.1,6.4,7.1,7.1,9.1,14.1,20.2,28.2,34.4,46.2,54.8,60.7,60.7,60.7
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",58.4,58.4,58.4,58.4,58.4,58.2,54,50.3,38.7,26.6,27.8,21.7,14.2,9,0,0,0,0,0,0,0,0,0,24.4,38.1,66.8,68,69.6,69.6,69.6
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",25.9,25.9,25.9,25.9,25.9,27.9,31.2,32.5,33.6,34,34.6,28.8,26.1,20.9,17.3,16.4,27.5,37.7,39.5,41.8,45.2,52.3,60.4,66.9,68.6,71.5,82.5,84.8,84.8,84.8
32,"ARG","Argentina",27,27,27,27,27,36.4,45.6,57.2,63.7,62.1,60.1,51,39.6,30.3,28.6,25.7,25.3,32,36.7,41,44.9,48.3,50,54,64.4,68.6,68.9,69,69,69
51,"ARM","Armenia",100,100,100,100,100,100,100,81.4,22.9,15.9,8.9,19.4,14.5,14.5,33.5,35.1,35.5,38.4,41.2,40.3,41.7,49.7,46.1,27.7,21.1,20.4,19,18.6,18.6,18.6
533,"ABW","Aruba",19.5,19.5,19.5,19.5,19.5,8.4,0,1.7,0,0,0,22.8,33.1,42.6,50.1,53.4,68,72.7,67.6,60.3,50.6,47,44.7,48.1,47.7,52.9,67.2,67.2,67.2,67.2
36,"AUS","Australia",67,67,67,67,67,65.8,68,70.9,76.9,85.2,88.8,90.3,90,88.4,87.7,86.6,88.7,89.4,91.2,93.1,91.9,93.1,91.5,86.4,85.8,89,93.5,98.2,98.2,98.2
40,"AUT","Austria",74.8,74.8,74.8,74.8,74.8,70.2,61.4,54.9,49,46.8,46.1,44.6,49.9,56,67.8,81.9,98.7,100,100,100,100,100,100,100,100,100,100,100,100,100
31,"AZE","Azerbaijan",94.8,94.8,94.8,94.8,94.8,100,100,100,100,100,86,70.1,66.8,59.3,70.5,71.9,75.1,75.8,70.5,65.8,63.7,61.4,61.3,53.3,55,63.3,63.9,60.3,60.3,60.3
44,"BHS","Bahamas",7.4,7.4,7.4,7.4,7.4,4.1,6.4,15.5,44.7,64.1,79.4,82.8,84.6,73.9,79.5,64,62.6,56.1,63.9,67,70.2,73.2,75.3,78,83.5,72.9,78.3,79.8,79.8,79.8
48,"BHR","Bahrain",37,37,37,37,37,44.9,57.1,59.2,57.4,55.1,44.9,37,33.9,30.7,35.2,43.9,56.6,66.3,76,90.1,84.3,74.9,67,60.3,56.3,56.8,59.8,60.7,60.7,60.7
50,"BGD","Bangladesh",17.6,17.6,17.6,17.6,17.6,23.5,26.5,29.3,33.9,37.9,36,33.3,31.6,29.5,28.6,28.9,24.2,19.8,18.8,16.8,15.1,13.3,12.1,9.9,13.3,22.7,20.6,19.5,19.5,19.5
52,"BRB","Barbados",77.5,77.5,77.5,77.5,77.5,74.2,61,55.6,54,55.8,49.4,52.8,53.9,43,36.4,27.9,28.5,35.7,41,53.9,59.7,69,83.9,90,96.1,88.8,81.7,74.8,74.8,74.8
112,"BLR","Belarus",100,100,100,100,100,100,100,100,100,91.6,78.8,65.3,57.5,47.5,47.7,46.7,49,50.5,56,60.3,69.8,77.6,90.8,92.5,100,100,100,100,100,100
