"code","iso","country","OEB.ind.1995","OEB.ind.1996","OEB.ind.1997","OEB.ind.1998","OEB.ind.1999","OEB.ind.2000","OEB.ind.2001","OEB.ind.2002","OEB.ind.2003","OEB.ind.2004","OEB.ind.2005","OEB.ind.2006","OEB.ind.2007","OEB.ind.2008","OEB.ind.2009","OEB.ind.2010","OEB.ind.2011","OEB.ind.2012","OEB.ind.2013","OEB.ind.2014","OEB.ind.2015","OEB.ind.2016","OEB.ind.2017","OEB.ind.2018","OEB.ind.2019","OEB.ind.2020","OEB.ind.2021","OEB.ind.2022","OEB.ind.2023","OEB.ind.2024"
4,"AFG","Afghanistan",17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.5,16.3,13.9,18.7,18.7,17.9,18.3,17.2,12.8,19.4,23.5,21.1,21.8,18.5,14.6,12,13.8,14.4,18,18,18
8,"ALB","Albania",24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,30.4,21.7,26.8,25.1,24.1,27.8,25,30.9,26.9,25.8,31.2,31.3,29.4,19.2,22.5,16.4,19.4,21.1,25.9,25.9,25.9
12,"DZA","Algeria",23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,27.5,25.4,25.4,23.1,25.4,25.8,29.4,25.5,23.4,25.8,29.8,28.8,31.1,27.8,24.5,18.5,19.7,21.9,18.7,18.7,18.7
20,"AND","Andorra",45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,51.2,41.3,41.5,45.8,47,44,44.9,44.7,42.8,44.5,47.1,46,46.3,42.9,43.8,37.5,45.7,47.7,47.4,47.4,47.4
24,"AGO","Angola",74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,72.8,70.7,72.9,68.7,68.3,70.6,70.6,66.7,69.3,69.5,73,71.8,73.7,71.9,75.6,69.9,71.2,68.3,69.1,69.1,69.1
660,"AIA","Anguilla",40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,39.5,41.4,41.5,44.4,36.4,40.5,44.5,41.2,42.3,38.2,44.3,44.7,47.7,39.5,29.2,33.1,34.6,34.4,35,35,35
28,"ATG","Antigua and Barbuda",41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7,42.4,43,42.3,45,37.8,42.4,47.6,43.9,44.1,40,45.2,45.2,48.9,40.9,30.1,34.3,36,35.6,36.2,36.2,36.2
32,"ARG","Argentina",86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,87.3,77.5,81.8,81.1,76.5,79.5,77.8,79.9,80.6,80.1,81.1,83.7,81.2,77.2,78.9,74.7,68.6,76.8,77,77,77
51,"ARM","Armenia",41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,40.6,37.4,38,40.3,40.7,41.9,40.8,42.8,41,40.9,45.6,43.3,45.2,38.9,35.8,34.7,35.3,34.1,37.3,37.3,37.3
533,"ABW","Aruba",43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,45.1,43,46.9,45.3,41.8,46.7,47.6,44.2,47.9,44.2,47.5,44.7,46.1,41.4,38,39,39.7,43.2,42,42,42
36,"AUS","Australia",81.9,81.9,81.9,81.9,81.9,81.9,81.9,81.9,81.9,83.6,79.5,79.3,77.9,79,80,84.3,78.8,75.2,79,76.5,79,83,77.9,73.9,69.4,72.7,76.7,77.3,77.3,77.3
40,"AUT","Austria",56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,63,55.6,56.4,53.4,53.7,56.5,59.1,57.4,53.3,56.3,59.2,54.5,57.8,49.3,49,44.7,50.8,53.5,54.2,54.2,54.2
31,"AZE","Azerbaijan",47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,48.1,43.2,44.9,45.3,46.3,48.2,48.4,48,44.4,45,47.9,47,50.2,39.2,39.2,35.6,37.2,38.1,39.3,39.3,39.3
44,"BHS","Bahamas",18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,12.1,11.2,11.1,15.7,15.2,17.2,11.3,17.4,14.6,20.2,21.1,24.6,19.3,14.6,12,9.8,12.4,13.7,16.5,16.5,16.5
48,"BHR","Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"BGD","Bangladesh",37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,39,32.1,28.4,37.8,37.5,28.7,37.4,31.3,23.8,33.1,22.9,30.4,34,30.6,21.5,20.4,22.4,20.4,27.3,27.3,27.3
