"code","iso","country","OEC.ind.1995","OEC.ind.1996","OEC.ind.1997","OEC.ind.1998","OEC.ind.1999","OEC.ind.2000","OEC.ind.2001","OEC.ind.2002","OEC.ind.2003","OEC.ind.2004","OEC.ind.2005","OEC.ind.2006","OEC.ind.2007","OEC.ind.2008","OEC.ind.2009","OEC.ind.2010","OEC.ind.2011","OEC.ind.2012","OEC.ind.2013","OEC.ind.2014","OEC.ind.2015","OEC.ind.2016","OEC.ind.2017","OEC.ind.2018","OEC.ind.2019","OEC.ind.2020","OEC.ind.2021","OEC.ind.2022","OEC.ind.2023","OEC.ind.2024"
4,"AFG","Afghanistan",38.2,38.2,38.2,38.2,38.2,38.2,38.2,38.2,38.2,37.4,36.5,34.9,40.9,41.7,42.2,38,36.5,37.2,39.9,45.2,41.6,43.5,38.1,32.1,33,36.2,33.4,37.6,37.6,37.6
8,"ALB","Albania",21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,28.8,17.8,24.4,21.9,20.8,25.1,21.6,29.3,23.9,23.3,29,30.3,27.2,12.8,16.7,9.5,13.6,15.6,21.8,21.8,21.8
12,"DZA","Algeria",15,15,15,15,15,15,15,15,15,24.8,15,18,19.5,20.7,14.2,12.7,20,18.7,12,21.8,21.8,21.7,0,2.3,0,0,2.1,7.8,7.8,7.8
20,"AND","Andorra",50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,57.2,44.5,44.6,49.6,51.9,47.5,49,49,46.5,49.6,52.8,50.8,51.5,48.8,49.9,41.9,52.1,54.5,53.9,53.9,53.9
24,"AGO","Angola",92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,91.1,86.5,90,83.7,85.9,86.7,86.7,81.8,86.1,87.5,91.1,90.5,93.4,90.7,92.4,85,89.8,82.5,84.4,84.4,84.4
660,"AIA","Anguilla",44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,43.3,45.5,45.9,46.3,46.7,47.1,47.6,48,48.4,48.8,49.2,49.6,53.2,43.4,30.8,35.6,37.4,37.1,37.8,37.8,37.8
28,"ATG","Antigua and Barbuda",45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,47.5,47.8,46.4,50.1,41.7,47.2,53.7,49.1,49.5,44.4,50.6,50.4,55,45.4,32.2,37.3,39.4,38.9,39.6,39.6,39.6
32,"ARG","Argentina",100,100,100,100,100,100,100,100,100,100,90.3,94,97.8,87.8,91.6,94,95.3,96.9,94.4,96.6,99.3,94.4,90.2,91,89,78.8,91.6,92.5,92.5,92.5
51,"ARM","Armenia",45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,44.7,41.2,40.8,43.4,44.4,45.4,43.6,46.7,44.8,45.3,50.6,47.4,50.5,43.9,38.4,37.4,38.1,36.8,40.6,40.6,40.6
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,96.7,86.8,88.9,85.9,87.1,88.2,90.1,90.2,86,86.2,84.9,88.1,87.7,85.2,82.7,74.8,77.2,81.6,82.1,82.1,82.1
40,"AUT","Austria",66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,74,64.9,66.7,61.8,62.2,66.8,69.9,66.7,60.6,65.5,68.8,62.1,67.3,54.4,53.7,48.9,57.1,61,61,61,61
31,"AZE","Azerbaijan",58.7,58.7,58.7,58.7,58.7,58.7,58.7,58.7,58.7,60.4,55.2,57,56.7,58.4,60.5,60.6,60.9,56,56.4,59.8,59.3,62.6,49.7,49.8,45.8,47.6,48.9,49.8,49.8,49.8
44,"BHS","Bahamas",13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,3.7,0,0,3.7,7.8,11.5,0,9.6,8,13.6,15,25.5,14.6,4.5,1.9,0,2.2,3.1,8.4,8.4,8.4
48,"BHR","Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"BGD","Bangladesh",43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,45,35.1,34.1,43.8,44.3,35.6,41.9,38,29.4,41.5,28.4,37.3,39.8,38.5,28.8,28.2,32,27.2,35.4,35.4,35.4
52,"BRB","Barbados",53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,58.7,62.1,58.4,57.5,51.9,56.9,67.7,61.1,62.4,54.7,57.1,56.9,64.1,54.2,42.2,48,49.1,48.1,48.8,48.8,48.8
112,"BLR","Belarus",68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,74,69.6,65.2,61.1,58,70.1,67.6,65.4,67.3,65,67.3,57.8,65.7,58.8,60.5,52.6,57.4,66.3,68.2,68.2,68.2
56,"BEL","Belgium",98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.8,91.6,87.5,90.7,87.7,89.2,91.9,89.7,86.7,80.8,81.4,78.5,85.6,74.7,67.6,61.9,58.5,71.8,70.2,70.2,70.2
84,"BLZ","Belize",66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,62.1,61.2,65.7,68,65.6,65.5,65.9,66.5,70.2,71,69.2,68.5,71.5,69.2,61.9,62.3,64.3,69.8,69.6,69.6,69.6
204,"BEN","Benin",77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,74.9,73,69.7,67.6,67.5,71.9,75,68.3,74.4,71.7,74.3,74.5,79.7,73.3,71,66.7,62.4,61.9,68.9,68.9,68.9
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
