"code","iso","country","OZD.ind.1995","OZD.ind.1996","OZD.ind.1997","OZD.ind.1998","OZD.ind.1999","OZD.ind.2000","OZD.ind.2001","OZD.ind.2002","OZD.ind.2003","OZD.ind.2004","OZD.ind.2005","OZD.ind.2006","OZD.ind.2007","OZD.ind.2008","OZD.ind.2009","OZD.ind.2010","OZD.ind.2011","OZD.ind.2012","OZD.ind.2013","OZD.ind.2014","OZD.ind.2015","OZD.ind.2016","OZD.ind.2017","OZD.ind.2018","OZD.ind.2019","OZD.ind.2020","OZD.ind.2021","OZD.ind.2022","OZD.ind.2023","OZD.ind.2024"
4,"AFG","Afghanistan",4.7,4.8,4.7,4.3,3.3,2.9,4,5.4,4.7,4.9,5.1,6,3.9,3.3,4.9,7.5,8.7,8.5,8.4,9.7,9,8.2,7.3,9.7,10.1,10.3,10.3,10.3,10.3,10.3
8,"ALB","Albania",26.3,27.1,27.1,29.7,32.6,36,36.5,33.6,31.6,31.3,32.9,35.3,36.7,38.5,40.4,43.6,44.4,44.2,44.1,44.9,48.6,50.5,52.8,54.1,56.1,59.1,60.2,60.2,60.2,60.2
12,"DZA","Algeria",30.6,31.5,31.9,33.2,29.3,28.8,29.2,30.6,30.7,30.4,32.5,32.8,33,32.8,31.3,30.5,30.4,31.6,30.4,30.1,30.1,31.4,31.6,30.2,30,29.7,29.6,29.6,29.6,29.6
20,"AND","Andorra",26.8,27.2,28.7,29.7,29,28.4,30.7,30.6,31.4,31,31.5,31.6,33.3,33,31.7,30.4,30.9,31.1,31.1,31.6,33,34.6,35.9,34.6,35.5,38.9,39.4,39.4,39.4,39.4
24,"AGO","Angola",18.1,19.9,19.9,19.8,19.5,24.3,25.7,28.4,26.3,21.6,18.2,15.6,18,21.1,23.5,24.4,25.2,27.1,27.7,28.9,30.6,30.5,30.7,31.8,32.4,33,32.7,32.7,32.7,32.7
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",75.3,77.1,76.1,81.1,84.3,95.9,87.8,91.3,90.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
32,"ARG","Argentina",49.7,49.9,51.1,49.1,49.4,51.4,52.3,51.8,51.1,51.3,48.2,47.6,45.8,49.7,49.9,49,46.9,45.4,47.7,48.8,50.8,47.4,51.4,47.8,47.6,47.6,48.6,48.6,48.6,48.6
51,"ARM","Armenia",17.8,19.1,21.6,23.6,22.7,22.7,25,24.5,24.3,24.6,24.9,24.1,22.2,22.8,23.8,27.2,26.2,24.9,23.9,23.6,23.6,26.6,31.4,35.5,35.5,35.3,35.2,35.2,35.2,35.2
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",76,74.5,73.6,73.7,74.8,76.2,71.5,72.3,73.6,80,79.8,79,79.3,80.6,84.4,85.5,85.4,81.1,78.1,77.1,77,75.5,81.7,74.2,72.8,72.7,71,71,71,71
40,"AUT","Austria",40.9,42.2,42,42,40.2,39.9,38.6,35.4,33.9,35.2,38.2,37.9,38.5,40.5,41.8,41.6,41.3,40.5,39.9,39.7,39.6,39.6,40,38,38.2,38.5,39.3,39.3,39.3,39.3
31,"AZE","Azerbaijan",26.4,28.4,30.2,31.6,32.2,33.7,36.9,37.8,38.4,38.9,40.8,40.7,40.1,38.5,39.3,41.2,40.1,39.2,38,38.2,38.2,37,37.2,37.5,37.1,37.4,37.1,37.1,37.1,37.1
44,"BHS","Bahamas",59.5,57.6,54.3,51.7,51.3,54.6,56.9,59.1,58.2,56.8,55.7,54.8,55.4,57.9,56.8,55.9,55.8,57.4,57.5,60.9,61.1,63.1,62.8,62.4,63.4,64.3,65.9,65.9,65.9,65.9
48,"BHR","Bahrain",8.1,8,7.6,6.6,6.5,6.8,8.4,9.2,7.9,7.9,8.7,9.7,8.3,8.5,11,13.9,15,14.8,15.6,17.7,17.1,15.7,15.1,16.3,16,15.8,15.2,15.2,15.2,15.2
50,"BGD","Bangladesh",1.1,1.1,0.4,0.5,0,0.2,0.9,1.5,0.6,0.9,0.9,0.8,0,0,1.4,1.1,1.6,1.8,2.5,3.2,4.3,4.1,3.3,2.6,2.6,2.5,2.4,2.4,2.4,2.4
52,"BRB","Barbados",86.9,93,92.9,94.6,95.6,100,97,99.6,95.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
112,"BLR","Belarus",24.5,25,28,29.5,29.8,29.2,29.1,30.2,33.5,35,36.7,39.6,41.4,44.7,46.8,48.7,48.8,53.8,57.2,60.2,60.6,63.8,68.4,64.7,65.2,65.7,66.3,66.3,66.3,66.3
56,"BEL","Belgium",36.1,37.8,39.5,38.4,40.9,40.8,43.9,35.7,35.2,35.7,38.2,41.2,41.9,44.9,44.2,44.6,46.3,44.4,42.4,42,43.6,45.7,47.5,44.4,44.4,45.5,44.8,44.8,44.8,44.8
84,"BLZ","Belize",46,46.6,46.2,41.8,36.7,37.4,36.9,39.3,38.3,42.5,44.6,44.9,46.7,49.3,52.1,49.6,48.2,44,46.4,47.5,50,48.1,48.3,45.9,45.9,47,46.7,46.7,46.7,46.7
204,"BEN","Benin",35.1,34.8,34.2,34.4,35.5,39.2,41.2,45.4,46.8,46.4,40.6,34,33.3,35.8,39.1,35.8,32.5,30.2,28.3,27.9,27,29.8,30.2,27,26.2,25.2,24.5,24.5,24.5,24.5
60,"BMU","Bermuda",37.8,37.8,37.1,36.4,37.9,40.1,40,39.8,40.8,43.2,43.9,45.2,45.3,46.5,46.2,48,49.1,52.8,53.1,53,50.4,48.9,49.1,52.2,52.8,54.5,54.1,54.1,54.1,54.1
64,"BTN","Bhutan",0,0.1,0,0,0,0.6,2.7,3.6,2.9,2.1,2.6,2.5,0.9,0.7,2.1,3.3,2.5,1.3,1.5,3.4,3.7,1.8,0.3,1.6,1.5,1.7,1.7,1.7,1.7,1.7
68,"BOL","Bolivia",50.6,54.3,60.4,59.6,59.5,62.9,65.5,63.4,61.3,58.4,54.4,52.6,52.7,61.2,62.1,59.1,50.1,45.5,51.5,53,52.6,45.1,45.1,43.3,41.8,40.4,39.2,39.2,39.2,39.2
70,"BIH","Bosnia and Herzegovina",23.5,25.7,26.4,28.7,30.2,32.5,34,32.6,33.3,34.1,36.8,37.3,37.5,39,40.1,39.9,38.6,37.6,37.2,37.6,40.4,41.1,43.1,40,39.5,39.2,40.1,40.1,40.1,40.1
72,"BWA","Botswana",31.4,31.5,31.4,31.5,30.1,32.5,32.9,36.8,36.9,30,25.4,20.8,22.3,24.8,28.7,30.1,28.6,27.1,27.1,29.6,32.5,30.8,29.6,31.3,31.4,31.3,31.3,31.3,31.3,31.3
