"code","iso","country","OZE.ind.1995","OZE.ind.1996","OZE.ind.1997","OZE.ind.1998","OZE.ind.1999","OZE.ind.2000","OZE.ind.2001","OZE.ind.2002","OZE.ind.2003","OZE.ind.2004","OZE.ind.2005","OZE.ind.2006","OZE.ind.2007","OZE.ind.2008","OZE.ind.2009","OZE.ind.2010","OZE.ind.2011","OZE.ind.2012","OZE.ind.2013","OZE.ind.2014","OZE.ind.2015","OZE.ind.2016","OZE.ind.2017","OZE.ind.2018","OZE.ind.2019","OZE.ind.2020","OZE.ind.2021","OZE.ind.2022","OZE.ind.2023","OZE.ind.2024"
4,"AFG","Afghanistan",45.2,45.2,45.2,45.2,45.2,45.2,45.2,45.2,45.2,43.8,44.3,43.1,46.8,45.7,47.2,44.9,43.3,44.5,46,48.8,47.1,47.2,45.1,41.2,43.3,44.4,41.9,44.3,44.3,44.3
8,"ALB","Albania",41,41,41,41,41,41,41,41,41,44.8,39.1,42.4,40.8,40.3,42.7,40.7,44.6,41.8,41.6,44.7,45.1,43.4,36.4,38.8,35,36.8,37.8,40.7,40.7,40.7
12,"DZA","Algeria",34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,39.6,35.1,36.5,37.3,38.3,34.8,34.6,37.8,36.9,34.3,40.1,39.9,40.5,23.5,27.2,24,26.2,27.6,29.7,29.7,29.7
20,"AND","Andorra",55.8,55.8,55.8,55.8,55.8,55.8,55.8,55.8,55.8,60.1,52.2,52.2,55.3,56.7,53.9,54.8,54.8,53.3,55.3,57.1,55.9,56.3,54.5,55.2,50.5,56.7,58.2,57.8,57.8,57.8
24,"AGO","Angola",82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,81.8,80.2,81,77.3,75.3,77.2,76.6,72.4,75,73.4,75.2,73.4,74.6,72.8,75.7,69.3,66.9,66.1,67.5,67.5,67.5
660,"AIA","Anguilla",52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,51.7,53,53.1,55.2,49.5,52.4,55.3,52.9,53.8,50.8,55.2,55.5,57.8,51.8,44.6,47.2,48.3,48.1,48.5,48.5,48.5
28,"ATG","Antigua and Barbuda",53.1,53.1,53.1,53.1,53.1,53.1,53.1,53.1,53.1,54.2,54.3,53.4,55.7,50.7,54,57.9,55.1,55.4,52.3,56.1,55.9,58.8,52.9,45.4,48.2,49.4,49.1,49.5,49.5,49.5
32,"ARG","Argentina",100,100,100,100,100,100,100,100,100,100,92.9,96.5,98.2,91.8,94.6,94.5,96.3,96.9,95.8,97.9,100,97.4,85.4,87.1,84.9,78,87.2,87.3,87.3,87.3
51,"ARM","Armenia",53.7,53.7,53.7,53.7,53.7,53.7,53.7,53.7,53.7,53.5,51.7,51.9,53.3,54.2,54.2,53.2,55.5,54.3,54.9,58.4,56.2,58.5,54.2,50.4,50.5,51.1,49.9,52.1,52.1,52.1
533,"ABW","Aruba",55,55,55,55,55,55,55,55,55,56,54.4,57.4,56.1,53.5,57.2,58,55.3,58.2,55.2,57.8,55.7,56.8,53.2,50.7,51.5,52,54.5,53.5,53.5,53.5
36,"AUS","Australia",91.7,91.7,91.7,91.7,91.7,91.7,91.7,91.7,91.7,92.9,84.3,87,85.6,85,85.2,87.2,86.6,82.3,81.2,79.4,83.5,82.4,75,72.5,65.3,68.4,71.8,72.4,72.4,72.4
40,"AUT","Austria",67.3,67.3,67.3,67.3,67.3,67.3,67.3,67.3,67.3,72.9,66.4,67.4,64.5,64.8,67.3,69.4,67.8,63.9,66.7,69.2,65,68,60.1,60,56.7,61.7,63.9,64,64,64
31,"AZE","Azerbaijan",57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,59,55.3,56.7,56.9,57.4,59,59.7,58.6,55.5,56.5,58.7,58.1,60.6,49.5,49.7,46.8,48.3,48.8,49.8,49.8,49.8
44,"BHS","Bahamas",35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,31,28.9,28,31.9,33.3,34.9,29.7,34.2,33.2,36,36.4,41.3,36.1,31.5,30.3,28.9,30.4,30.8,33.3,33.3,33.3
48,"BHR","Bahrain",2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.8,0,0.7,0.6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"BGD","Bangladesh",51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,53.2,47.4,46.3,52.3,52.6,47.1,51.8,48.5,43.7,50.6,43.3,48.4,50.3,49.2,43.6,42.9,45.1,42.7,47.6,47.6,47.6
52,"BRB","Barbados",57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,61.3,63.6,61.1,60.5,57,60.2,67.5,62.9,63.8,58.7,60.3,60.2,65,58.4,51,54.5,55.2,54.6,55,55,55
112,"BLR","Belarus",69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,73.2,70,66.8,63.8,61.6,70.5,68.4,66.9,68.2,66.8,68.5,61.9,67.3,62.8,63.8,58.8,61.9,67.9,69.3,69.3,69.3
56,"BEL","Belgium",95,95,95,95,95,95,95,95,95,95.3,88.6,84.7,87.5,85,86.1,88.6,86.6,83.9,78.8,79.2,76.7,82.4,74,68.4,64.5,62.1,71.5,70.2,70.2,70.2
84,"BLZ","Belize",66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,64,63.1,66.5,68.3,66.7,66.2,67,66.8,69.1,69.6,68.7,68.3,70.3,68.3,63.3,63.4,64.6,68.6,68.7,68.7,68.7
204,"BEN","Benin",72,72,72,72,72,72,72,72,72,70.2,67.5,65.7,62.1,61.3,68,68.8,64.3,68,65.7,69.3,67,70,64.7,63.4,60,56.4,58,60.3,60.3,60.3
60,"BMU","Bermuda",32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,28.8,27.9,27.5,26.5,30.5,33.2,26.8,32.7,31.2,29.3,32,33.2,35.4,27.5,25,23.4,24.6,28.5,31.5,31.5,31.5
64,"BTN","Bhutan",55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.1,49.1,49.4,52.6,51.9,47.7,50.9,52.4,45.7,54.7,48.8,49.6,51.5,49.9,43.3,44.1,44,43.6,43.8,43.8,43.8
68,"BOL","Bolivia",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
70,"BIH","Bosnia and Herzegovina",53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,59.8,55.2,54.6,53.6,51.6,54.5,54,56.2,53.3,53.8,57.2,56.8,56.5,50.7,51.8,48.2,50,52.3,54.1,54.1,54.1
72,"BWA","Botswana",72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,75.3,71.2,78.5,68.9,68.9,76.5,68.5,69.8,65.1,67.8,72.7,66.4,70.2,69.1,65.9,65.1,67.3,68.2,65.6,65.6,65.6
76,"BRA","Brazil",86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,86.6,87.5,81,83.8,78,79.4,84.9,78.6,81.3,77.4,84.9,81.1,83.1,85,80,80.1,75.5,73.9,77.6,78.9,78.9,78.9
92,"VGB","British Virgin Islands",53,53,53,53,53,53,53,53,53,51.1,53.1,52.9,55.5,49.3,51.9,54.6,52.3,53.4,50.7,55.5,56.3,58,51.2,44.4,46.7,47.5,47.7,48.1,48.1,48.1
96,"BRN","Brunei Darussalam",72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,73.6,69.3,68.2,74.8,76.1,62.7,79.1,74.2,73.3,75.2,72.2,70.9,73.6,76.4,67.3,60.3,73.5,77.1,76.7,76.7,76.7
100,"BGR","Bulgaria",63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,65.8,61.2,62.5,58.9,59.3,63,62,63.6,60.4,59.4,66.3,62.6,62.8,58.9,58.6,55.8,57.3,60,61,61,61
854,"BFA","Burkina Faso",84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.9,82.3,79,78,76.6,79.6,82.8,78,81.8,82.5,82,82.4,87.4,85,82.9,79.4,77.7,77.8,82.2,82.2,82.2
108,"BDI","Burundi",78.3,78.3,78.3,78.3,78.3,78.3,78.3,78.3,78.3,82.2,79.9,85.8,80.4,82.1,81,79.4,80.2,78.3,80.5,87.9,84.3,77.2,85.4,86.5,81.6,79.4,78.9,78.8,78.8,78.8
132,"CPV","Cabo Verde",34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,37.5,35.2,37.3,33.6,37.1,37,39.2,35.3,39.4,36.4,36.8,38.1,38.3,36.7,31.9,31,34.6,33.4,35.7,35.7,35.7
