"code","iso","country","PFL.ind.1995","PFL.ind.1996","PFL.ind.1997","PFL.ind.1998","PFL.ind.1999","PFL.ind.2000","PFL.ind.2001","PFL.ind.2002","PFL.ind.2003","PFL.ind.2004","PFL.ind.2005","PFL.ind.2006","PFL.ind.2007","PFL.ind.2008","PFL.ind.2009","PFL.ind.2010","PFL.ind.2011","PFL.ind.2012","PFL.ind.2013","PFL.ind.2014","PFL.ind.2015","PFL.ind.2016","PFL.ind.2017","PFL.ind.2018","PFL.ind.2019","PFL.ind.2020","PFL.ind.2021","PFL.ind.2022","PFL.ind.2023","PFL.ind.2024"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"DZA","Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,77,77.2,74.7,73.1,71.1,72.9,68.5,65.3,63.3,59.7,57.4,55.7,56.1,56.1,51.9,50.5,50.5,50.5
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"ARG","Argentina",54.6,54.6,54.6,54.6,54.6,54.6,54.6,54.6,54.6,54.6,54.6,54.6,52.8,47.4,48.5,48.6,49.6,48.6,47.2,47.4,50.7,51.1,52.4,62.9,65.9,62.9,63.8,62.7,62.7,62.7
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,93,93.1,93.1,92.6,93.9,98.3,97.5,91.1,90,87.7,86.4,87,93.9,94.8,95.9,97.4,97.4,97.4
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
