"code","iso","country","PSU.ind.1995","PSU.ind.1996","PSU.ind.1997","PSU.ind.1998","PSU.ind.1999","PSU.ind.2000","PSU.ind.2001","PSU.ind.2002","PSU.ind.2003","PSU.ind.2004","PSU.ind.2005","PSU.ind.2006","PSU.ind.2007","PSU.ind.2008","PSU.ind.2009","PSU.ind.2010","PSU.ind.2011","PSU.ind.2012","PSU.ind.2013","PSU.ind.2014","PSU.ind.2015","PSU.ind.2016","PSU.ind.2017","PSU.ind.2018","PSU.ind.2019","PSU.ind.2020","PSU.ind.2021","PSU.ind.2022","PSU.ind.2023","PSU.ind.2024"
4,"AFG","Afghanistan",100,100,100,100,100,98.1,98.1,98.1,98.1,98.1,100,100,100,100,100,100,100,100,100,100,100,100,100,97.2,97.2,97.2,97.2,97.2,97.2,97.2
8,"ALB","Albania",39.2,39.5,40.3,39,38.8,38.4,37.9,36.4,35.5,34.4,33.3,32.8,33.1,33.8,34.5,35.4,35.6,35.7,35.4,35,34.6,34,33.7,34.2,34.7,35.1,36.2,36.2,36.2,36.2
12,"DZA","Algeria",78.5,78.5,74.3,77.7,85.6,81.4,81,88.3,88.3,88.3,96.5,98,100,100,100,100,100,100,100,85.3,85.3,85.3,85.3,85.3,99.8,100,100,100,100,100
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",73,74,75,77.7,80.8,84.5,87.5,92.7,94.5,98.8,100,100,100,100,100,100,91,81.6,81.6,81.3,81.3,84.7,96.3,96.3,97.5,97.5,97.5,97.5,97.5,97.5
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",36.9,37.2,37.5,37.7,37.6,37.8,37.6,37.4,37,37.2,37.2,37.2,37.6,38.3,38.5,39.3,40,40.2,40.5,41.1,40.9,41,41,41,40.7,40.2,39.8,39.8,39.8,39.8
32,"ARG","Argentina",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
51,"ARM","Armenia",58.4,60.8,66.9,71.8,79.3,89.5,93,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",40,39.3,39.5,39.4,40.1,41.8,42.1,42.7,42.3,42.5,42.9,43.9,42.9,44.2,46,46.9,48.3,53.4,56.6,55.8,56.2,55.3,55.1,54.2,52.6,51.2,51.8,51.8,51.8,51.8
40,"AUT","Austria",29.8,30.2,30.7,31.2,31.7,31.9,32.5,33.1,33.5,34.4,35.4,36,36.6,38.1,39.3,39.7,40.5,41,40.1,39.3,39.2,39.4,39.7,40.1,40.1,40.5,40.9,40.9,40.9,40.9
31,"AZE","Azerbaijan",82,84.1,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
44,"BHS","Bahamas",34.5,32.8,31.9,29.7,29.2,29.9,30.6,30.7,31.6,30.7,29.5,29,28.6,28.5,28.3,28.7,29.2,29.7,30.2,31.1,30.8,30.2,29.4,29.2,28.7,29.7,30.8,30.8,30.8,30.8
