"code","iso","country","RCY.ind.1995","RCY.ind.1996","RCY.ind.1997","RCY.ind.1998","RCY.ind.1999","RCY.ind.2000","RCY.ind.2001","RCY.ind.2002","RCY.ind.2003","RCY.ind.2004","RCY.ind.2005","RCY.ind.2006","RCY.ind.2007","RCY.ind.2008","RCY.ind.2009","RCY.ind.2010","RCY.ind.2011","RCY.ind.2012","RCY.ind.2013","RCY.ind.2014","RCY.ind.2015","RCY.ind.2016","RCY.ind.2017","RCY.ind.2018","RCY.ind.2019","RCY.ind.2020","RCY.ind.2021","RCY.ind.2022","RCY.ind.2023","RCY.ind.2024"
4,"AFG","Afghanistan",14.7,15.9,20.1,20.8,19.2,6.3,11.5,28.7,23.7,18.6,32.5,25,35.2,21.3,39.2,37.6,27.1,40.2,40.9,40,42.8,38.5,40,43.8,42.5,38.4,38.4,41.9,41.9,41.9
8,"ALB","Albania",36.2,27.8,36.3,37.2,34.8,42.1,39.3,44.2,40.8,44.8,46.3,47.6,51.3,58.7,62.2,67.1,66.2,68.6,70.2,69,68.9,66.2,68,68.4,71.4,73.8,71.8,73.6,73.6,73.6
12,"DZA","Algeria",11.2,27.8,10.4,10.8,18.4,13.5,18.5,18,31.2,27.5,32.7,33,25.1,20.1,40.2,34,38.5,39.8,44.6,31,31.5,19.5,18.7,48.5,42.5,34.9,32.4,38.7,38.7,38.7
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",7.3,10.4,7.2,12.3,12,16.7,19.3,22.2,19.4,18.8,19.6,19,18.2,27.9,24.3,26.7,24.3,24,28.8,17.7,19.1,11.9,12.4,15.3,15.9,17,17,18.4,18.4,18.4
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1
32,"ARG","Argentina",64.8,61.1,57.2,77.9,73.4,73.3,77.2,79.8,84.1,75,90,88,96.6,93.2,62.2,100,93.3,80.8,90.6,95.6,100,100,100,83.5,100,98.8,95.7,95.3,95.3,95.3
51,"ARM","Armenia",36.8,37.5,22.7,33.8,33.3,21.3,36.1,44.2,29.7,47.9,39.9,25.1,57.3,52.8,49.9,44.3,63.1,59.9,70.7,73.7,72.3,70.6,43.2,59,36.4,45.9,25,46.7,46.7,46.7
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",27.4,47.5,57.1,49,50,52.3,48.3,57,20.1,56.5,42.7,56,19.6,30.2,40.9,41.8,53.8,58.9,50.1,57.9,53,56,75.4,55.2,47.2,45,74.6,84.7,84.7,84.7
40,"AUT","Austria",68.7,63.1,71,70.3,74.4,64,70.5,70.3,62,80.7,75.8,70.6,70.8,84.6,76.7,73.6,88.2,71.5,72.4,89.2,75.1,92.6,77.5,75.1,86.3,91.1,88.9,84.1,84.1,84.1
31,"AZE","Azerbaijan",28,28.8,22.6,21.4,32.2,38.5,46.9,48.6,48.9,49.4,50.1,48.8,51.8,55.1,52.8,38.6,50.2,55.3,56.3,47.2,68.3,64.5,59.9,63.4,73.1,74.6,76.3,74.4,74.4,74.4
44,"BHS","Bahamas",73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3
48,"BHR","Bahrain",57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2
50,"BGD","Bangladesh",43.2,45.3,44.9,48.3,53.6,59.5,58.3,60.4,62.4,62.1,67.9,70.1,76.3,78.6,79.1,82.5,83.9,85.3,87.7,88.5,89.5,90.6,93.2,95.8,96.5,98.9,99.5,100,100,100
52,"BRB","Barbados",71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71
112,"BLR","Belarus",37.3,41.9,37.7,30.3,23.9,33.5,33.1,41.2,45.2,56.7,51.1,49.3,52.3,62.9,57.6,48.6,53.1,56.7,48.7,59.5,58.8,50.7,56.8,43.4,51.3,58.4,48.7,49.2,49.2,49.2
56,"BEL","Belgium",99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6
84,"BLZ","Belize",43.4,53.6,53,55.3,62.1,54.1,59.9,54.8,59.1,53.1,52.8,59.7,62.9,46.8,52.4,66.5,57.3,68.1,71,67.6,54.5,61.3,73.4,67.5,55.8,58.6,72.4,75.5,75.5,75.5
204,"BEN","Benin",47,47.4,44.8,42.8,44.9,44,47,47.8,49.1,51.3,41.2,43.5,47.2,39.8,45.7,39,52.9,42.3,44.7,46.7,40.8,48.5,49.9,52.1,46.9,52,50.9,44.2,44.2,44.2
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",9.7,10.6,11.5,11.5,11,10.3,10,11.8,16.5,33.5,26.8,26.6,22.6,32.2,23,28.5,33.8,34.2,38.3,37.9,39.5,38,38.2,39.1,34.8,42.1,41.2,41.1,41.1,41.1
68,"BOL","Bolivia",43.6,42,41.8,42.3,36.5,45.6,47.8,48.6,58.6,50.6,49.8,50.9,48.7,49.4,61.8,51.1,48.3,63.9,59.8,61.9,69.9,69,57.9,66.7,63.6,62.2,74.9,61.7,61.7,61.7
70,"BIH","Bosnia and Herzegovina",27.7,28.2,30,29.2,32.1,18.2,25.7,33.2,16.7,40.5,38.2,38.4,26.3,40,41.9,33.1,32,22.9,35.9,34.4,32.7,51.4,33.1,54.7,52.8,60.9,41.9,75.8,75.8,75.8
72,"BWA","Botswana",38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5
76,"BRA","Brazil",54.5,54.6,57.6,60.8,62.2,62.2,73,69.3,79.4,69.7,66.2,72.3,82.9,85.8,80.3,90.3,93.1,88.5,95.9,92.9,99.8,91.5,100,100,100,100,100,99,99,99
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",6.3,6.4,6.5,6.6,6.5,6.5,6.4,6.3,6.3,6.2,6.1,7.4,9.5,8.6,8,12.3,22.1,20.1,22.6,25.7,42,27.6,29.1,33.2,34.3,54,47.9,49.4,49.4,49.4
100,"BGR","Bulgaria",44.7,24.6,39.2,35.2,38.3,31.3,40.8,47.9,35.5,66.9,52.8,58.1,33.5,70.4,62.1,72.9,71.1,62.2,81,86.6,78.5,86.8,95,94.1,95.1,74.1,99.9,90.7,90.7,90.7
854,"BFA","Burkina Faso",60.4,66.5,48.5,64.3,65.4,57.2,67.9,65.6,70,66.2,79.7,84.9,63.3,73.2,64.6,69.1,60.5,73.6,71.6,78.4,72.1,67.3,56.1,68.6,68.8,72.1,58.7,67.7,67.7,67.7
108,"BDI","Burundi",21.1,21.8,23.1,21.5,21.2,20.8,21.8,22.8,21.8,21.7,20.3,20.2,21.1,18.2,13.9,14.5,13.1,12.3,24.4,28.4,30.9,34.4,24.7,28.2,25.7,24.9,29.6,30.4,30.4,30.4
132,"CPV","Cabo Verde",36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1
116,"KHM","Cambodia",26.6,27.2,26.6,26.4,30.6,35,34.2,30.3,36.6,33.7,45.1,48,51.2,55.3,58.5,60.2,63.2,66.7,66.8,67.2,68.8,71.8,75.7,76,73.2,74.3,78.6,81.5,81.5,81.5
120,"CMR","Cameroon",27.6,33,30.9,32,47.2,45.4,41.6,37.5,37.8,36.5,48.6,49.9,50.7,49.8,48.5,49.8,49.1,47,50.6,48.3,47.1,46.6,50.2,51.4,79.9,56.3,51,48.4,48.4,48.4
124,"CAN","Canada",76,84.2,74,79.5,90.5,82.9,66.2,62.4,77.3,90.9,97.3,92.2,81.5,100,100,100,100,96.1,100,100,100,100,100,100,100,100,88.2,100,100,100
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8
148,"TCD","Chad",37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8
152,"CHL","Chile",61.7,57.2,64.9,71.3,59.5,64.4,73.2,75.1,75.1,80.1,80.4,81.8,77.3,80.2,75.9,96,100,91,100,92,100,100,100,100,100,100,100,100,100,100
156,"CHN","China",60.7,64.2,64.3,64.7,64.6,62.4,62.6,64.5,62.7,68.5,68.5,70.2,70,73.3,71.7,72.8,75.4,77.7,78.3,78.9,79.1,79.5,80.5,82.3,85.8,85.2,84.8,85.9,85.9,85.9
170,"COL","Colombia",54.4,56.2,59,58.5,60.1,59.8,59.5,66.3,69.9,70.5,71,65.4,67.4,67,68.2,66.3,66.6,64.9,63.9,74.2,71.6,69,65.5,70.6,65.1,74.8,76.3,78.4,78.4,78.4
174,"COM","Comoros",40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",83.1,74.1,84.9,81.5,73.1,75.6,78.5,72.5,73.5,71.4,70,80,78.3,78.4,77.7,70,71.2,76.7,74.1,70.7,66.7,73.7,70.2,71.7,71.4,75.6,82.3,76.7,76.7,76.7
384,"CIV","Cote d'Ivoire",29.5,35.5,34.6,43.4,47.4,47.9,44.2,48.5,49.3,40.6,45.7,41.6,38.8,41.6,40.4,47.2,44.7,49.8,45.7,46,47.3,45.4,44.9,46.2,45.4,46.5,46.6,45.8,45.8,45.8
191,"HRV","Croatia",42.9,42.8,49.3,48.2,45.8,40.9,49.4,56.9,34.4,60.2,58.9,62.6,52.6,78.1,71.6,61.8,62.2,53.2,66.2,72.6,67,84.6,72.4,86.4,86.3,85.5,83.3,71.1,71.1,71.1
192,"CUB","Cuba",29.7,35.8,34.3,32.4,41.9,42.2,41,45.6,50.7,48.2,34.1,42.7,52.7,53.5,40.8,33.7,37.4,55.2,56.6,57.4,56.4,54.7,50.9,52.2,52.9,44.7,38.5,43.2,43.2,43.2
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
