"code","iso","country","RLI.ind.1995","RLI.ind.1996","RLI.ind.1997","RLI.ind.1998","RLI.ind.1999","RLI.ind.2000","RLI.ind.2001","RLI.ind.2002","RLI.ind.2003","RLI.ind.2004","RLI.ind.2005","RLI.ind.2006","RLI.ind.2007","RLI.ind.2008","RLI.ind.2009","RLI.ind.2010","RLI.ind.2011","RLI.ind.2012","RLI.ind.2013","RLI.ind.2014","RLI.ind.2015","RLI.ind.2016","RLI.ind.2017","RLI.ind.2018","RLI.ind.2019","RLI.ind.2020","RLI.ind.2021","RLI.ind.2022","RLI.ind.2023","RLI.ind.2024"
4,"AFG","Afghanistan",76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.1,76,76,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.8,75.8,75.8,75.8,75.7,75.7,75.7,75.7,75.6,75.6,75.6,75.6,75.6
8,"ALB","Albania",72.6,72.6,72.6,72.6,72.6,72.6,72.1,71.7,71.4,71.1,70.9,70.9,70.8,70.7,70.7,70.6,70.6,70.6,70.6,70.6,70.5,70.5,70.5,70.4,70.3,70.3,70.2,70.1,70.1,70
12,"DZA","Algeria",75.2,75.2,75.2,75.2,75.2,75.2,75.1,75.1,75,74.9,74.9,74.8,74.8,74.8,74.7,74.6,74.6,74.5,74.4,74.3,74.3,74.2,74.1,74,74,73.9,73.9,73.8,73.8,73.8
20,"AND","Andorra",88.4,88.4,88.4,88.4,88.4,88.4,88.1,87.9,87.6,87.3,87.2,87.2,87.2,87.1,87.1,87,87,87,87,87,87,87,86.8,86.4,86,85.8,85.7,85.6,85.5,85.5
24,"AGO","Angola",78.2,78.2,78.2,78.2,78.2,78.2,78.2,78.2,78.2,78.2,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78,78,77.9,77.8,77.8,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7
660,"AIA","Anguilla",77.6,77.6,77.6,77.6,77.6,77.6,77.1,76.6,76,75.5,75,74.5,74,73.5,73.1,72.6,72.1,71.6,71.1,70.5,70,69.6,69,68.5,68.1,67.5,67,66.3,65.9,65.3
28,"ATG","Antigua and Barbuda",72.7,72.7,72.7,72.7,72.7,72.7,72.3,72,71.5,71.2,70.8,70.5,70.1,69.7,69.5,69,68.8,68.5,68,67.6,67.3,66.8,66.5,66.2,65.7,65.3,65,64.7,64.3,64
32,"ARG","Argentina",55.2,55.2,55.2,55.2,55.2,55.2,55,55,54.9,54.8,54.7,54.7,54.6,54.5,54.5,54.4,54.4,54.4,54.4,54.4,54.4,54.3,54.3,54.3,54.3,54.2,54.2,54.2,54.2,54.2
51,"ARM","Armenia",55.1,55.1,55.1,55.1,55.1,55.1,55,55,54.8,54.3,53.6,52.9,51.9,51.4,51,50.6,50.4,50.3,50.1,50,49.9,49.6,49.5,49.2,49,48.7,48.6,48.3,48.2,47.9
533,"ABW","Aruba",91.3,91.3,91.3,91.3,91.3,91.3,91.4,91.3,91.4,91.4,91.4,91.5,91.6,91.7,91.8,91.8,91.9,91.9,91.9,91.9,91.9,91.9,92,92,92,92,92,92,92,92.1
36,"AUS","Australia",62.4,62.4,62.4,62.4,62.4,62.4,61.2,60.3,59.3,58.2,57.3,56.4,55.5,54.4,53.7,52.9,51.9,51.2,50.1,48.9,48,47.2,46.2,45.1,44.2,43.5,42.3,41.4,40.5,39.5
40,"AUT","Austria",66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.2,65.8,65.4,65,64.6,64.1,63.7,63.4,63.1,62.8,62.6,62.2,61.8,61.4,61,60.6,60.2,59.8,59.5,59.1
31,"AZE","Azerbaijan",81.5,81.5,81.5,81.5,81.5,81.5,81.2,81.1,80.9,80.8,80.8,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.8,80.8,80.9,80.9,80.9,80.9,80.9,81,80.9,81.1,81.2
44,"BHS","Bahamas",13.9,13.9,13.9,13.9,13.9,13.9,13.6,13.3,12.9,12.6,12.2,11.8,11.5,11.2,10.8,10.6,10.1,9.7,9.2,8.8,8.1,7.5,6.8,6,5.4,4.8,4.3,3.9,3.6,3.1
48,"BHR","Bahrain",35.9,35.9,35.9,35.9,35.9,35.9,34.9,33.9,32.9,31.9,30.9,29.9,29,28.1,27.4,26.6,25.8,24.8,23.6,22.6,21.7,20.9,19.9,18.9,18,17,16.1,15.2,14.4,13.3
50,"BGD","Bangladesh",45.3,45.3,45.3,45.3,45.3,45.3,44,42.7,41.6,40.3,39,37.7,36.3,34.9,33.6,32.2,31,29.6,28.4,26.7,25.4,24.2,22.6,21.3,19.9,18.6,17.1,16.1,14.7,13.2
52,"BRB","Barbados",65.6,65.6,65.6,65.6,65.6,65.6,65.2,64.7,64.2,63.7,63.3,62.9,62.4,61.9,61.5,61,60.7,60.1,59.7,59.3,58.9,58.4,57.8,57.5,57,56.6,56.1,55.7,55.1,54.7
112,"BLR","Belarus",82.9,82.9,82.9,82.9,82.9,82.9,83.3,83.7,84,84.5,84.8,85.2,85.6,86,86.4,86.7,87.1,87.5,88,88.5,88.9,89.4,89.8,90.2,90.6,91,91.3,91.9,92.1,92.4
56,"BEL","Belgium",94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.7,94.5,94.4,94.3,94.1,94,93.9,93.8,93.8,93.8,93.8,93.7,93.7,93.6,93.4,93.3,93.2,93,92.9,92.7
84,"BLZ","Belize",36,36,36,36,36,36,35.5,35,34.5,34.1,33.8,33.6,33.4,33.2,33,32.8,32.7,32.4,32.2,32.1,31.7,31.6,31.4,31.1,30.8,30.7,30.5,30.3,29.9,29.9
204,"BEN","Benin",70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7
60,"BMU","Bermuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,"BTN","Bhutan",42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.2,42.2,42.2,42.2,42.2,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3
68,"BOL","Bolivia",56,56,56,56,56,56,55.8,55.5,55.3,55.1,54.9,54.7,54.5,54.3,54.2,54,53.8,53.6,53.5,53.4,53.2,53,52.9,52.7,52.6,52.4,52.3,52.1,52,51.9
70,"BIH","Bosnia and Herzegovina",65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.6,65.5,65.4,65.3,65.1,65,64.9,64.8,64.7,64.6,64.6,64.6,64.5,64.4,64.3,64.1,64,63.9,63.8,63.6,63.5
72,"BWA","Botswana",92.7,92.7,92.7,92.7,92.7,92.7,92.6,92.6,92.6,92.6,92.5,92.5,92.5,92.4,92.4,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.2,92.2,92.2,92.2,92.2,92.2
