"code","iso","country","SHI.ind.1995","SHI.ind.1996","SHI.ind.1997","SHI.ind.1998","SHI.ind.1999","SHI.ind.2000","SHI.ind.2001","SHI.ind.2002","SHI.ind.2003","SHI.ind.2004","SHI.ind.2005","SHI.ind.2006","SHI.ind.2007","SHI.ind.2008","SHI.ind.2009","SHI.ind.2010","SHI.ind.2011","SHI.ind.2012","SHI.ind.2013","SHI.ind.2014","SHI.ind.2015","SHI.ind.2016","SHI.ind.2017","SHI.ind.2018","SHI.ind.2019","SHI.ind.2020","SHI.ind.2021","SHI.ind.2022","SHI.ind.2023","SHI.ind.2024"
4,"AFG","Afghanistan",100,100,100,100,100,100,100,90.1,84.8,79.8,76.3,74,71.3,68.7,67.8,68.1,67.8,67.8,67.5,68.1,68.1,68.4,68.4,67.8,67,66.4,66.4,66.4,66.4,66.4
8,"ALB","Albania",100,100,100,100,100,100,100,99.4,97.7,94.7,93.9,91.2,90.6,81.6,79.2,78.7,78.4,78.1,77.2,76.6,76,71.1,70.2,59.4,54.7,53.2,53.2,53.5,53.5,53.5
12,"DZA","Algeria",100,100,100,100,100,100,100,99.7,97.7,91.2,89.8,88.9,88,86.3,81.3,78.7,78.1,76.6,76.3,76,76,76,75.7,74.6,74.3,74,74,74,74,74
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",100,100,100,100,100,100,100,97.7,95.9,93.9,93.6,91.8,90.4,89.2,87.4,86,85.1,83.9,82.7,81.9,81.3,80.7,79.5,77.8,75.7,74,72.8,71.6,71.6,71.6
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",100,100,100,100,100,100,100,98,94.2,90.4,87.4,84.8,82.5,78.4,75.4,72.5,69.6,66.7,64.3,62.9,62,60.8,58.5,56.1,52.9,50.9,49.7,48.2,48.2,48.2
51,"ARM","Armenia",100,100,100,100,100,100,100,98.2,97.7,97.1,96.2,95.6,95,94.2,93.6,93,92.4,90.6,89.8,88,87.4,86.3,83.9,82.7,81.6,80.4,80.4,80.4,80.4,80.4
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",100,100,100,100,100,100,100,97.4,94.7,93,91.8,90.4,88.9,88,87.1,85.7,82.7,81.9,81,79.5,78.7,77.5,76,73.4,60.8,52,50.6,50.3,50.3,50.3
40,"AUT","Austria",100,100,100,100,100,100,100,95.3,90.9,80.7,80.1,80.1,79.5,78.4,77.5,75.1,74,73.1,71.6,68.1,67.8,67,66.4,64.3,61.4,59.9,59.9,59.9,59.9,59.9
31,"AZE","Azerbaijan",100,100,100,100,100,100,100,96.5,95,93.9,91.8,90.9,90.1,89.2,87.7,86.8,86,85.4,83.9,81.9,80.1,83.6,82.2,80.7,80.1,80.1,80.1,80.1,80.1,80.1
44,"BHS","Bahamas",100,100,100,100,100,100,100,100,100,99.7,99.7,99.7,99.7,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,98.5,98.5,98.2,98.2,98.2,98.2,98.2,98.2,98.2
48,"BHR","Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"BGD","Bangladesh",100,100,100,100,100,100,100,99.4,98.8,98.2,98,96.8,95.9,95.3,94.4,93.6,92.7,91.8,89.8,87.1,85.7,84.5,83.3,82.5,81.9,80.7,80.4,80.1,80.1,80.1
52,"BRB","Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"BLR","Belarus",100,100,100,100,100,100,100,98.5,97.1,94.7,93.9,92.7,91.8,89.2,88,87.7,87.7,87.4,87.1,86.5,86.5,83.6,82.2,80.7,78.4,78.4,78.1,77.8,77.8,77.8
56,"BEL","Belgium",100,100,100,100,100,100,100,80.7,61.4,47.1,47.1,46.5,45.6,45.3,45.6,45,45,44.4,44.4,44.7,45,45.9,45.9,46.2,46.8,47.1,47.7,48,48,48
84,"BLZ","Belize",100,100,100,100,100,100,100,93,88.6,83.3,76.9,74,65.8,59.1,52.3,43.9,26,17.3,3.2,0,0,0,0,0,0,0,0,0,0,0
204,"BEN","Benin",100,100,100,100,100,100,100,98.5,97.4,96.2,95,94.4,91.2,90.4,88,86.8,83.9,83,82.5,81.6,81.3,81.9,82.2,83,82.2,80.7,80.4,80.4,80.4,80.4
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",100,100,100,100,100,100,100,99.7,99.7,99.7,99.4,99.4,99.4,99.4,99.1,98.5,98,97.4,97.1,95.9,95.3,94.2,93,91.8,90.6,89.2,88.9,87.7,87.7,87.7
