"code","iso","country","SOE.ind.1995","SOE.ind.1996","SOE.ind.1997","SOE.ind.1998","SOE.ind.1999","SOE.ind.2000","SOE.ind.2001","SOE.ind.2002","SOE.ind.2003","SOE.ind.2004","SOE.ind.2005","SOE.ind.2006","SOE.ind.2007","SOE.ind.2008","SOE.ind.2009","SOE.ind.2010","SOE.ind.2011","SOE.ind.2012","SOE.ind.2013","SOE.ind.2014","SOE.ind.2015","SOE.ind.2016","SOE.ind.2017","SOE.ind.2018","SOE.ind.2019","SOE.ind.2020","SOE.ind.2021","SOE.ind.2022","SOE.ind.2023","SOE.ind.2024"
4,"AFG","Afghanistan",72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,71.2,70.6,69.1,67.9,66.5,66.5,65.2,64.6,64.3,63.5,63,62.8,61,61.2,61,60.8,60.3,58.5,58.7,58.7,58.7
8,"ALB","Albania",24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,26.8,26.7,28,30,31.6,34,37.3,35.5,37.4,39,40.9,40.3,42.5,42.3,42.1,43.7,45.6,45.4,44.6,44.6,44.6
12,"DZA","Algeria",42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,40.7,40.2,40.1,40.5,40.6,41.1,41.8,38.5,35.8,36.5,32.9,30.9,29.8,28.7,27.9,27.2,24.7,25.6,24,24,24
20,"AND","Andorra",40.2,40.2,40.2,40.2,40.2,40.2,40.2,40.2,40.2,42,43.2,44,46.9,48.3,50.3,53.5,54,55.4,57.5,57.9,59.1,60.6,62,64.5,65.5,67.7,68.3,67,67,67
24,"AGO","Angola",66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.5,66.6,66.1,64.8,64.7,65.3,64.5,63.2,65.1,63.7,64.4,63,61.5,62.6,61.5,59.6,59.5,59.2,60.3,60.3,60.3
660,"AIA","Anguilla",79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,83.2,79.6,80.3,80.3,84.6,82.9,77.9,82.9,81.5,84.5,83.6,81.7,80.4,84.5,88.1,85.4,85.5,86.9,87.7,87.7,87.7
28,"ATG","Antigua and Barbuda",58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,61.6,57.8,58.4,60.1,63.5,62.7,56.7,60.6,61.5,63,63,61.3,58.2,67,68.3,66.6,67.3,68.2,68.8,68.8,68.8
32,"ARG","Argentina",59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,60.9,61.8,61.5,62.4,61.9,63.7,64.9,65.3,65.6,65.6,66.6,66.5,67.4,67.8,68.1,68.4,66.9,68.2,66.9,66.9,66.9
51,"ARM","Armenia",44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.6,44.1,42,40.5,37.7,37.1,35.8,36.1,35.5,35.6,35.1,35.8,35.4,35.1,36.3,34.6,35.1,35.1,35.2,35.2,35.2
533,"ABW","Aruba",58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,59.9,58.8,60,60.5,62.4,62.1,60.5,61.7,61.7,62,62.8,62.4,60.7,61.2,62.4,61.3,62.7,63,63.5,63.5,63.5
