"code","iso","country","SPI.ind.1995","SPI.ind.1996","SPI.ind.1997","SPI.ind.1998","SPI.ind.1999","SPI.ind.2000","SPI.ind.2001","SPI.ind.2002","SPI.ind.2003","SPI.ind.2004","SPI.ind.2005","SPI.ind.2006","SPI.ind.2007","SPI.ind.2008","SPI.ind.2009","SPI.ind.2010","SPI.ind.2011","SPI.ind.2012","SPI.ind.2013","SPI.ind.2014","SPI.ind.2015","SPI.ind.2016","SPI.ind.2017","SPI.ind.2018","SPI.ind.2019","SPI.ind.2020","SPI.ind.2021","SPI.ind.2022","SPI.ind.2023","SPI.ind.2024"
4,"AFG","Afghanistan",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.6,0.6,0.6,0.6,0.6,0.6,0.6,3.1,3.1,3.1,5.3,9.1,9.1,9.1,9.1,9.1
8,"ALB","Albania",3.6,9.8,10.3,10.3,14,14,14,14.2,14.2,17.2,21.9,31.4,36.1,42.1,42.2,44.2,50.4,52.4,54.4,54.4,54.4,54.4,54.4,56.8,56.8,56.8,56.8,56.8,56.8,56.8
12,"DZA","Algeria",34.1,34.1,34.1,34.1,34.1,34.1,42.5,42.5,44.6,45.5,45.5,45.5,45.5,73.1,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.3,73.8,73.8,73.8,73.8,73.8,73.8
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",4,4,4,4,4,4,4,4,4,4,19.4,19.4,19.4,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.9,19.9,19.9,19.9,19.9,19.9,19.9
32,"ARG","Argentina",15.8,16.7,17.8,17.9,20.6,22.8,24,24.9,26.6,28,28.6,29.1,29.1,29.2,29.8,29.8,29.9,30,30,30.3,30.9,30.9,31.1,31.9,31.9,31.9,32.3,32.9,32.9,32.9
51,"ARM","Armenia",31.3,31.3,31.3,31.3,31.3,31.3,31.3,33.2,33.2,33.2,33.2,33.2,33.2,33.2,37.2,37.3,38.6,38.6,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
