"code","iso","country","TBN.ind.1995","TBN.ind.1996","TBN.ind.1997","TBN.ind.1998","TBN.ind.1999","TBN.ind.2000","TBN.ind.2001","TBN.ind.2002","TBN.ind.2003","TBN.ind.2004","TBN.ind.2005","TBN.ind.2006","TBN.ind.2007","TBN.ind.2008","TBN.ind.2009","TBN.ind.2010","TBN.ind.2011","TBN.ind.2012","TBN.ind.2013","TBN.ind.2014","TBN.ind.2015","TBN.ind.2016","TBN.ind.2017","TBN.ind.2018","TBN.ind.2019","TBN.ind.2020","TBN.ind.2021","TBN.ind.2022","TBN.ind.2023","TBN.ind.2024"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,5.5,5.5,5.5,7.9,11.7,11.7,11.7,11.7,11.7
8,"ALB","Albania",4.4,11.4,11.9,11.9,17.9,17.9,17.9,17.9,18.7,21,26.6,32.7,37.2,45.1,45.1,46,51.2,54.2,55.5,55.5,55.5,55.5,55.5,60.7,60.7,60.7,60.7,60.7,60.7,60.7
12,"DZA","Algeria",0.2,0.2,0.2,0.2,0.2,0.2,3,3,4,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.3,4.3,4.3,4.3,4.3,4.3
20,"AND","Andorra",17.9,17.9,17.9,17.9,17.9,59.7,59.7,59.7,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,89.7,89.7,89.7,89.7,89.7,89.7,89.7,89.7,89.7,89.7,89.7,89.7
24,"AGO","Angola",17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1
660,"AIA","Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"ATG","Antigua and Barbuda",18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,50.7,50.7,50.7,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5
32,"ARG","Argentina",16.9,17.2,17.9,18,19.2,20.6,21.3,21.6,22.5,23.4,23.8,24.1,24.1,24.3,25.6,25.6,25.9,26,26,26.2,26.8,26.8,26.9,27.1,27.1,27.1,27.8,27.9,27.9,27.9
51,"ARM","Armenia",62.2,62.2,62.2,62.2,62.2,62.2,62.3,66.6,66.6,66.6,66.6,66.6,66.7,66.7,76.4,76.4,76.4,76.4,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2,77.2
533,"ABW","Aruba",1.2,1.2,1.2,1.2,1.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2
36,"AUS","Australia",18.5,18.8,19,19.2,19.9,21.3,21.5,26.6,27,27.4,27.9,28.7,31.6,32.2,34.6,35.8,38.5,44.2,50.2,54.7,59.3,61.6,62.3,62.9,63.5,67.1,67.1,67.1,67.1,67.1
40,"AUT","Austria",57.8,62.7,66.7,69.6,70.5,70.9,72.9,77,77.2,78.4,80,83.6,83.7,83.8,84,84.5,85.7,85.7,85.8,85.9,86,86,86,86,86,86.6,86.9,86.9,86.9,86.9
31,"AZE","Azerbaijan",16.5,16.5,16.5,16.5,16.5,16.5,18.3,18.3,23,25.2,25.2,28.8,28.8,29.7,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.4,31.4,31.4,31.4,31.4,31.4,31.4
