"code","iso","country","USD.ind.1995","USD.ind.1996","USD.ind.1997","USD.ind.1998","USD.ind.1999","USD.ind.2000","USD.ind.2001","USD.ind.2002","USD.ind.2003","USD.ind.2004","USD.ind.2005","USD.ind.2006","USD.ind.2007","USD.ind.2008","USD.ind.2009","USD.ind.2010","USD.ind.2011","USD.ind.2012","USD.ind.2013","USD.ind.2014","USD.ind.2015","USD.ind.2016","USD.ind.2017","USD.ind.2018","USD.ind.2019","USD.ind.2020","USD.ind.2021","USD.ind.2022","USD.ind.2023","USD.ind.2024"
4,"AFG","Afghanistan",11.6,11.7,11.4,11.5,11.9,12.2,12.2,12.9,13,13.5,14.2,15.4,16.6,18,19.6,20.7,21.8,22.8,23.1,23.9,24.6,25.1,25.9,27.8,28.6,29.8,31.1,31.1,31.1,31.1
8,"ALB","Albania",49.5,50.7,51.5,52.6,54.5,56.2,57.7,59.3,60.9,62.5,63.8,64.6,65.3,65.9,66.5,66.9,67,67.4,68,68.6,69.1,69.5,69.8,70.4,71.4,72.3,73.2,73.2,73.2,73.2
12,"DZA","Algeria",47.8,48.8,49.5,50.3,51,51.8,52.6,53.4,54.3,55.1,56,56.9,57.9,58.9,59.9,60.8,61.8,62.8,63.3,63.8,64.4,65,66,66.7,67.3,68,68.4,68.4,68.4,68.4
20,"AND","Andorra",91.8,92,92.2,92.5,92.8,93.1,93.4,94,94.2,94.4,94.7,95,95.3,95.6,96,96.6,97.2,97.4,97.5,97.7,98,98.6,99.6,100,100,100,100,100,100,100
24,"AGO","Angola",0.1,0.9,1.3,1.6,2,2.4,3,3.6,4.3,4.7,5.7,5.7,7.1,8.2,9.1,10.1,11.1,12.5,14,15.9,17.3,18.5,19.5,20.7,21.6,22.6,23.5,23.5,23.5,23.5
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",45.3,45.6,46.1,46.9,47.9,48.9,50.1,50.8,51.1,51.2,51,51.2,51.4,51.9,52.5,52.8,53.1,53.4,53.4,53.2,53.6,53.9,54,54.2,54.4,54.8,55.1,55.1,55.1,55.1
32,"ARG","Argentina",48.9,49.5,49.4,50.2,51.4,52.6,53.1,53.3,54.3,55.6,56.8,57.8,58.7,59.5,60.5,61.5,62.3,63.3,63.9,64.5,66,67.6,69.6,72.1,73.4,74.4,75.2,75.2,75.2,75.2
51,"ARM","Armenia",31.4,33.2,34.4,36.3,38.2,40.2,41.7,44,45.7,46.8,48.1,49.3,52.3,53.9,56,58.1,59.3,62.4,64.4,65.8,66.9,66.6,68.6,68.9,69.3,69.9,70.5,70.5,70.5,70.5
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",81,81.7,83.1,84.1,84.5,85.2,85.5,85.6,85.1,84.8,84.9,85.1,86,87.9,89.5,91.2,91.5,92,93.7,94.2,95.1,96.2,97,98,98.5,99.3,99.9,99.9,99.9,99.9
40,"AUT","Austria",73.7,74,74.5,74.8,75,75.2,75.2,74.9,74.4,74.1,74.2,74.8,75.9,77.5,79.2,80.8,82.3,83.6,84.8,86.1,87,87.9,88.8,89.7,90.6,90.8,91.3,91.3,91.3,91.3
31,"AZE","Azerbaijan",24.5,24.8,25.3,25.8,26.4,27.4,29,30.3,31.5,32.6,34,35.4,36.7,37.8,38.8,39.6,40.4,41.1,41.7,42.3,42.8,43.1,43.3,43.6,43.8,44.8,45.1,45.1,45.1,45.1
