"code","iso","country","UWD.ind.1995","UWD.ind.1996","UWD.ind.1997","UWD.ind.1998","UWD.ind.1999","UWD.ind.2000","UWD.ind.2001","UWD.ind.2002","UWD.ind.2003","UWD.ind.2004","UWD.ind.2005","UWD.ind.2006","UWD.ind.2007","UWD.ind.2008","UWD.ind.2009","UWD.ind.2010","UWD.ind.2011","UWD.ind.2012","UWD.ind.2013","UWD.ind.2014","UWD.ind.2015","UWD.ind.2016","UWD.ind.2017","UWD.ind.2018","UWD.ind.2019","UWD.ind.2020","UWD.ind.2021","UWD.ind.2022","UWD.ind.2023","UWD.ind.2024"
4,"AFG","Afghanistan",12.5,12.7,12.3,12.4,12.8,13.1,13.1,13.9,14,14.4,15.2,16.5,17.8,19.3,21,22.1,23.3,24.4,24.7,25.4,26.1,26.7,27.5,29.5,30.4,31.7,33.1,33.1,33.1,33.1
8,"ALB","Albania",49.8,50.9,51.6,52.6,54.4,56,57.2,58.5,59.7,61,62,62.7,63.4,63.9,64.4,64.8,64.8,65.1,65.4,65.8,66,66.2,66.5,66.9,67.9,68.7,69.6,69.6,69.6,69.6
12,"DZA","Algeria",50,50.6,50.9,51.3,51.7,52.1,52.5,53,53.4,53.9,54.5,55,55.6,56,56.5,56.9,57.3,57.7,58,58.3,58.7,59.2,59.8,60.2,60.6,61.1,61.3,61.3,61.3,61.3
20,"AND","Andorra",96.9,97,97.2,97.4,97.7,97.9,98.2,98.2,98.1,98.1,98.1,98.1,98.2,98.2,98.3,98.5,98.7,98.8,98.9,99,99.2,99.8,100,100,100,100,100,100,100,100
24,"AGO","Angola",0,0.6,1.1,1.4,1.8,2.2,2.8,3.4,4.2,4.6,5.6,5.5,7,8,9,9.9,10.9,12.3,13.7,15.5,16.7,17.9,18.9,20,20.8,21.7,22.5,22.5,22.5,22.5
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",48.5,48.8,49.6,50.5,51.7,52.9,54.3,54.9,55,55,54.5,54.4,54.4,54.7,55.1,55.2,55.4,55.5,55.4,54.9,55.3,55.5,55.5,55.6,55.7,56,56.2,56.2,56.2,56.2
32,"ARG","Argentina",50.7,51.2,51.1,51.9,53.1,54.4,54.8,54.6,55.5,56.7,57.4,57.9,58.5,58.9,59.4,59.8,60.5,61.4,61.9,62.5,63.7,65.2,67,69.5,70.6,71.5,72.2,72.2,72.2,72.2
51,"ARM","Armenia",34.9,36.8,38,40.1,42.1,44.2,45.9,48.6,50.7,52.1,53.6,54.9,58.2,60,62.4,64.9,66.2,69.8,72.2,74,75.7,75.2,77.3,77.6,78,78.7,79.4,79.4,79.4,79.4
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",83.9,84.5,85.7,86.6,86.7,87.1,87.3,86.8,86,85.4,85.3,85.2,86.1,88.1,89.6,91.3,91.4,91.8,93.4,93.8,94.7,95.7,96.5,97.4,97.8,98.5,99.2,99.2,99.2,99.2
40,"AUT","Austria",78.5,79.5,80.6,81.5,82.5,83.3,83.9,83.4,82.9,82.5,82.4,82.9,84,85.6,87.4,89,90.5,91.8,93,94.2,95.1,96,96.8,97.7,98.6,98.8,99.2,99.2,99.2,99.2
31,"AZE","Azerbaijan",28.4,28.7,29.2,29.7,30.4,31.4,33,34.5,35.7,36.9,38.3,39.8,41.2,42.4,43.4,44.2,45,45.7,46.3,46.9,47.4,47.7,47.9,48.1,48.4,49.5,49.8,49.8,49.8,49.8
44,"BHS","Bahamas",50.5,51.2,52,53.1,54.3,55.7,57.2,57.8,57.8,57.8,57.6,57.6,57.7,57.9,58.1,58.4,58.3,58.7,58.6,58.2,58.9,59.3,59.9,60.5,61,61.6,61.9,61.9,61.9,61.9
48,"BHR","Bahrain",57.4,58.3,58.9,59.1,59.4,59.5,59.6,59.6,59.7,59.8,60.1,60.5,61,62.2,62.8,62.9,63.7,64.2,64.7,65.3,65.6,65.8,66,66.2,66.4,66.8,67,67,67,67
50,"BGD","Bangladesh",14.8,15.8,16.8,17.8,18.7,19.5,20.3,21.1,21.9,22.7,23.3,23.9,24.5,25.3,26.1,26.8,27.7,28.6,29.2,29.7,29.9,30.1,30.4,30.9,31.5,32.2,32.6,32.6,32.6,32.6
52,"BRB","Barbados",53.9,54,54.9,56.9,57.6,57.8,58.9,58.6,57.7,58.2,57.6,57.6,57.8,57.9,58,58,57.6,58.2,58,57.9,58,58,58.1,58.2,58.2,58.2,58.1,58.1,58.1,58.1
112,"BLR","Belarus",61.4,63.1,63.9,63.6,63.8,65.3,66.5,69.1,70.4,71.5,72.9,74.2,75,75.9,76.4,76.8,76.9,77.2,77.5,77.7,77.9,77.8,77.7,78.1,78.4,79,79.2,79.2,79.2,79.2
