"code","iso","country","VOE.ind.1995","VOE.ind.1996","VOE.ind.1997","VOE.ind.1998","VOE.ind.1999","VOE.ind.2000","VOE.ind.2001","VOE.ind.2002","VOE.ind.2003","VOE.ind.2004","VOE.ind.2005","VOE.ind.2006","VOE.ind.2007","VOE.ind.2008","VOE.ind.2009","VOE.ind.2010","VOE.ind.2011","VOE.ind.2012","VOE.ind.2013","VOE.ind.2014","VOE.ind.2015","VOE.ind.2016","VOE.ind.2017","VOE.ind.2018","VOE.ind.2019","VOE.ind.2020","VOE.ind.2021","VOE.ind.2022","VOE.ind.2023","VOE.ind.2024"
4,"AFG","Afghanistan",39,39,39,39,39,39,39,39,39,41.4,39.9,40.8,38.2,38.9,38.8,38.6,37.6,37.6,36.5,36.6,35.7,39.7,38.4,38.8,37.2,36.9,37,37.1,37.1,37.1
8,"ALB","Albania",46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,50.4,45.1,48.8,47.5,49.5,50,46.3,43.2,40.7,48.9,53.9,45.7,49.3,43.8,46.7,46.4,47.7,47,47.2,47.2,47.2
12,"DZA","Algeria",30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,28.9,30.1,30.2,31.2,34.5,29.7,31.1,28.4,25.2,33.2,28.8,27,29.8,29.1,29.6,30.7,29,29.7,27.9,27.9,27.9
20,"AND","Andorra",42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.7,49.6,42.6,50.1,48.5,43.1,46.9,43,43.3,47,48.8,45.5,43.6,41.5,43.4,43.5,43.5,43.4,43,43,43
24,"AGO","Angola",9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.5,6.6,9.6,7.2,5.5,7.6,2.6,5,4.1,4.3,4.7,3.1,6.1,7.9,7.9,8.7,9.4,9.6,9.8,9.8,9.8
660,"AIA","Anguilla",92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,94.8,92.6,91.8,94.2,95.4,95,92.2,95,94.6,95.3,95.7,94.6,93.8,96.3,96.7,96.4,96.4,96.2,96.9,96.9,96.9
28,"ATG","Antigua and Barbuda",78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,87.5,82.5,75.9,84.2,88.5,85.2,78.7,85.6,86.1,87.3,87.7,85.4,84,90.6,90.4,89.9,90.3,90.2,91,91,91
32,"ARG","Argentina",7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,9.2,19,11,11.1,19.8,15.1,18.9,16.6,13.6,14.2,16.1,14.2,21.9,20.4,16.2,16.1,17.3,17,17.4,17.4,17.4
51,"ARM","Armenia",47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,43.7,47.3,39.1,43.7,44.2,49.5,40.1,45.7,45.5,47.1,41.4,41.4,41.2,35.7,43,42.3,42.5,43.1,43.2,43.2,43.2
533,"ABW","Aruba",72.7,72.7,72.7,72.7,72.7,72.7,72.7,72.7,72.7,72.3,66.3,70.8,70.6,74.1,73.3,66.4,66.4,68.3,69.8,73.8,72.1,61.8,61.2,67.8,65.5,66.8,67.4,66.4,66.4,66.4
36,"AUS","Australia",23,23,23,23,23,23,23,23,23,14.7,11.8,11.9,20.9,21.4,15.6,18.3,17.3,18.6,16.8,15.8,14.8,17,17.9,18.5,18.4,18.9,17.9,18.3,18.3,18.3
40,"AUT","Austria",44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,50.8,51.3,56.1,53.5,48,48.4,52.5,48.9,48.6,50.8,53,47.6,48.9,48.2,49.4,49.9,48.6,49.9,50.2,50.2,50.2
31,"AZE","Azerbaijan",43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,40.2,41.6,34.1,34.4,40.9,41.1,32.5,39,38.1,40.3,37.7,35.5,40.3,39.5,41.7,42.3,41.4,40.8,41.6,41.6,41.6
44,"BHS","Bahamas",76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,79.3,78.3,79.2,78.2,79.8,79.6,76.3,76.8,78.6,79.5,75.8,73.8,77.8,85.3,86.1,85.8,85.1,85.3,86.5,86.5,86.5
48,"BHR","Bahrain",28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,27.8,27.2,25.8,27.3,27.6,28.7,23.1,28.2,26.5,27,26.5,26.1,25,23.5,24.4,25.2,25.1,24.9,22.8,22.8,22.8
50,"BGD","Bangladesh",16,16,16,16,16,16,16,16,16,17.9,17.5,14.6,13.1,17.3,16.7,17,14.3,16.1,16.8,12.6,13.3,15.3,18.6,14.2,15.5,14,13.1,15.8,15.8,15.8
52,"BRB","Barbados",94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.4,91.8,93.6,94.2,94.3,95,92.3,93.5,93.8,94.1,95.4,94.3,92.4,95.8,96.5,95.8,95.8,95.7,96.3,96.3,96.3
112,"BLR","Belarus",65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,66.5,65,66.4,67.6,68.7,65.1,60.4,64.9,65.9,63.6,62.9,62.4,64.3,69.6,65.5,64.9,64.8,64.1,65.2,65.2,65.2
