"code","iso","country","WGI.ind.1995","WGI.ind.1996","WGI.ind.1997","WGI.ind.1998","WGI.ind.1999","WGI.ind.2000","WGI.ind.2001","WGI.ind.2002","WGI.ind.2003","WGI.ind.2004","WGI.ind.2005","WGI.ind.2006","WGI.ind.2007","WGI.ind.2008","WGI.ind.2009","WGI.ind.2010","WGI.ind.2011","WGI.ind.2012","WGI.ind.2013","WGI.ind.2014","WGI.ind.2015","WGI.ind.2016","WGI.ind.2017","WGI.ind.2018","WGI.ind.2019","WGI.ind.2020","WGI.ind.2021","WGI.ind.2022","WGI.ind.2023","WGI.ind.2024"
4,"AFG","Afghanistan",18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
8,"ALB","Albania",52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2
12,"DZA","Algeria",28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28,27.5,27.1,28,27.8,27.8,27.8,27.8
20,"AND","Andorra",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9,99.8,100,99.6,100,100,100,100
24,"AGO","Angola",33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
32,"ARG","Argentina",29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,28.2,29,29,29,29
51,"ARM","Armenia",57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,59.4,60.7,61.6,59.1,61.3,61.3,61.3,61.3
533,"ABW","Aruba",88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4
36,"AUS","Australia",41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41.4,41.5,41.6,41.6,41.6,41.6,41.6,41.6
40,"AUT","Austria",51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.6,47.4,47.4,47.4,47.4,47.4
31,"AZE","Azerbaijan",45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,44.5,43.2,41.2,40.8,40.8,40.8,40.8
44,"BHS","Bahamas",76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4
48,"BHR","Bahrain",60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,59.2,60.9,63.9,63.3,62,62,62,62
50,"BGD","Bangladesh",24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,25.3,25.6,25.6,25.6,25.6
52,"BRB","Barbados",77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,76.1,74.9,69.5,69.4,67.6,67.6,67.6,67.6
112,"BLR","Belarus",40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,42.5,43,43.7,43.4,44,44,44,44
56,"BEL","Belgium",51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.5,51.6,51.6,45.3,45.4,45.4,45.4,45.4
