iso3,year,start_date,new_displacement,hazard_type_name
BGD,2013,2013-07-01,8400,Flood
BGD,2013,2013-06-01,14280,Flood
BGD,2013,2013-03-23,37149,Storm
BGD,2013,2013-05-16,1100000,Storm
CHN,2013,2013-07-09,200,Mass Movement
CHN,2013,2013-01-11,500,Mass Movement
CHN,2013,2013-12-16,2000,Earthquake
CHN,2013,2013-08-30,9000,Earthquake
CHN,2013,2013-04-17,11300,Earthquake
CHN,2013,2013-04-30,17200,Flood
CHN,2013,2013-05-26,19000,Flood
CHN,2013,2013-03-03,21000,Earthquake
CHN,2013,2013-11-22,45000,Earthquake
CHN,2013,2013-12-15,150000,Storm
CHN,2013,2013-11-11,181000,Storm
CHN,2013,2013-08-22,189800,Storm
CHN,2013,2013-07-22,226700,Earthquake
CHN,2013,2013-07-30,354000,Flood
CHN,2013,2013-07-13,500000,Storm
CHN,2013,2013-08-15,513000,Storm
CHN,2013,2013-09-22,586743,Storm
CHN,2013,2013-04-20,694800,Earthquake
CHN,2013,2013-10-07,826000,Storm
CHN,2013,2013-06-01,1576900,Flood
IDN,2013,2013-08-31,5,Flood
IDN,2013,2013-02-05,9,Flood
IDN,2013,2013-08-30,10,Flood
IDN,2013,2013-09-01,12,Flood
IDN,2013,2013-11-19,15,Flood
IDN,2013,2013-12-03,20,Flood
IDN,2013,2013-01-01,22,Flood
IDN,2013,2013-07-26,30,Flood
IDN,2013,2013-06-18,36,Flood
IDN,2013,2013-06-15,47,Flood
IDN,2013,2013-01-01,55,Flood
IDN,2013,2013-02-20,83,Flood
IDN,2013,2013-01-05,85,Flood
IDN,2013,2013-12-05,85,Flood
IDN,2013,2013-01-01,85,Flood
IDN,2013,2013-01-01,88,Flood
IDN,2013,2013-07-13,90,Flood
IDN,2013,2013-07-15,100,Flood
IDN,2013,2013-03-25,115,Mass Movement
IDN,2013,2013-04-09,120,Flood
IDN,2013,2013-04-15,130,Flood
IDN,2013,2013-12-10,141,Flood
IDN,2013,2013-01-01,155,Flood
IDN,2013,2013-07-24,165,Flood
IDN,2013,2013-11-19,190,Flood
IDN,2013,2013-11-15,200,Flood
IDN,2013,2013-12-08,230,Flood
IDN,2013,2013-07-25,238,Flood
IDN,2013,2013-01-27,250,Flood
IDN,2013,2013-07-26,285,Storm
IDN,2013,2013-01-01,300,Flood
IDN,2013,2013-01-01,317,Flood
IDN,2013,2013-11-07,323,Flood
IDN,2013,2013-05-03,350,Flood
IDN,2013,2013-10-05,365,Flood
IDN,2013,2013-05-10,385,Flood
IDN,2013,2013-08-09,400,Flood
IDN,2013,2013-09-04,400,Flood
IDN,2013,2013-10-01,429,Flood
IDN,2013,2013-06-01,448,Flood
IDN,2013,2013-12-16,500,Flood
IDN,2013,2013-03-04,526,Flood
IDN,2013,2013-01-01,590,Flood
IDN,2013,2013-01-01,600,Flood
IDN,2013,2013-05-10,645,Flood
IDN,2013,2013-05-03,750,Flood
IDN,2013,2013-04-12,784,Flood
IDN,2013,2013-03-02,800,Flood
IDN,2013,2013-04-28,810,Flood
IDN,2013,2013-02-26,978,Flood
IDN,2013,2013-02-20,1135,Flood
IDN,2013,2013-01-16,1268,Flood
IDN,2013,2013-01-05,1285,Flood
IDN,2013,2013-07-22,1459,Flood
IDN,2013,2013-02-03,2000,Volcanic activity
IDN,2013,2013-11-18,2000,Flood
IDN,2013,2013-12-16,2500,Flood
IDN,2013,2013-06-01,2500,Flood
IDN,2013,2013-01-16,2623,Flood
IDN,2013,2013-02-17,2660,Flood
IDN,2013,2013-01-01,2828,Flood
IDN,2013,2013-07-24,3136,Flood
IDN,2013,2013-02-18,3500,Flood
IDN,2013,2013-02-21,3625,Flood
IDN,2013,2013-07-28,3700,Flood
IDN,2013,2013-12-05,4140,Flood
IDN,2013,2013-03-16,4365,Flood
IDN,2013,2013-12-20,4490,Flood
IDN,2013,2013-02-14,4819,Flood
IDN,2013,2013-07-25,4850,Flood
IDN,2013,2013-04-19,5200,Earthquake
IDN,2013,2013-07-25,5234,Flood
IDN,2013,2013-06-01,5351,Flood
IDN,2013,2013-06-01,5802,Flood
IDN,2013,2013-09-15,6259,Volcanic activity
IDN,2013,2013-02-21,7000,Flood
IDN,2013,2013-07-04,7000,Flood
IDN,2013,2013-06-22,7500,Earthquake
IDN,2013,2013-07-16,8000,Flood
IDN,2013,2013-05-06,11000,Flood
IDN,2013,2013-05-04,14141,Flood
IDN,2013,2013-04-20,14557,Flood
IDN,2013,2013-12-30,17648,Flood
IDN,2013,2013-11-24,17713,Volcanic activity
IDN,2013,2013-12-30,19126,Volcanic activity
IDN,2013,2013-12-14,20000,Flood
IDN,2013,2013-06-01,46734,Flood
IDN,2013,2013-07-02,53403,Earthquake
IDN,2013,2013-01-17,83075,Storm
IND,2013,2013-11-21,20000,Storm
IND,2013,2013-11-27,26000,Storm
IND,2013,2013-05-01,56400,Earthquake
IND,2013,2013-10-12,1000000,Storm
IND,2013,2013-06-01,1042271,Flood
JPN,2013,2013-08-09,33,Flood
JPN,2013,2013-04-13,69,Earthquake
JPN,2013,2013-09-02,120,Storm
JPN,2013,2013-07-28,456,Flood
JPN,2013,2013-10-16,118309,Storm
JPN,2013,2013-09-13,520000,Storm
KHM,2013,2013-03-13,452,Storm
KHM,2013,2013-09-03,144044,Flood
KOR,2013,2013-03-01,1,Storm
KOR,2013,2013-07-18,1,Flood
KOR,2013,2013-06-17,1,Flood
KOR,2013,2013-07-30,1,Flood
KOR,2013,2013-08-23,5,Flood
KOR,2013,2013-08-29,12,Flood
KOR,2013,2013-07-02,16,Flood
KOR,2013,2013-08-10,33,Flood
KOR,2013,2013-07-07,59,Flood
KOR,2013,2013-07-04,66,Flood
KOR,2013,2013-06-28,113,Flood
KOR,2013,2013-09-13,154,Flood
KOR,2013,2013-08-06,670,Flood
KOR,2013,2013-07-11,1355,Flood
KOR,2013,2013-07-22,1746,Flood
LAO,2013,2013-08-19,450,Flood
LAO,2013,2013-06-24,1458,Storm
LAO,2013,2013-09-17,8000,Storm
LKA,2013,2013-11-21,19,Wildfire
LKA,2013,2013-03-07,20,Wildfire
LKA,2013,2013-12-15,21,Flood
LKA,2013,2013-09-10,47,Flood
LKA,2013,2013-08-31,64,Storm
LKA,2013,2013-06-02,75,Flood
LKA,2013,2013-05-24,78,Mass Movement
LKA,2013,2013-05-13,81,Mass Movement
LKA,2013,2013-10-04,122,Wildfire
LKA,2013,2013-07-01,443,Storm
LKA,2013,2013-06-08,1953,Storm
LKA,2013,2013-08-05,2972,Flood
LKA,2013,2013-02-13,14251,Flood
LKA,2013,2013-05-13,115000,Storm
LKA,2013,2013-01-05,189090,Flood
MMR,2013,2013-09-01,22000,Flood
MMR,2013,2013-10-28,50000,Flood
MMR,2013,2013-07-29,73000,Storm
MMR,2013,2013-05-14,78000,Storm
MYS,2013,2013-12-03,42626,Flood
NPL,2013,2013-06-01,12474,Flood
PAK,2013,2013-04-16,78000,Earthquake
PAK,2013,2013-07-01,123817,Flood
PAK,2013,2013-09-24,205619,Earthquake
PHL,2013,2013-11-05,27,Flood
PHL,2013,2013-05-29,40,Storm
PHL,2013,2013-04-27,45,Storm
PHL,2013,2013-12-11,53,Mass Movement
PHL,2013,2013-02-23,103,Mass Movement
PHL,2013,2013-11-04,148,Storm
PHL,2013,2013-06-27,220,Storm
PHL,2013,2013-02-17,702,Mass Movement
PHL,2013,2013-06-16,835,Storm
PHL,2013,2013-05-03,1075,Storm
PHL,2013,2013-06-01,2578,Earthquake
PHL,2013,2013-05-24,3487,Flood
PHL,2013,2013-01-08,7880,Storm
PHL,2013,2013-01-31,9465,Flood
PHL,2013,2013-01-06,9918,Storm
PHL,2013,2013-09-16,56172,Storm
PHL,2013,2013-08-18,64966,Storm
PHL,2013,2013-10-04,123548,Storm
PHL,2013,2013-08-09,129169,Storm
PHL,2013,2013-02-18,223134,Storm
PHL,2013,2013-10-15,348507,Earthquake
PHL,2013,2013-10-08,405965,Storm
PHL,2013,2013-08-18,1538878,Storm
PHL,2013,2013-11-08,4095280,Storm
PRK,2013,2013-01-15,23000,Flood
PRK,2013,2013-06-21,59000,Flood
THA,2013,2013-04-17,22,Storm
THA,2013,2013-09-11,96,Storm
THA,2013,2013-04-17,224,Storm
THA,2013,2013-04-02,492,Storm
THA,2013,2013-09-23,700,Flood
THA,2013,2013-10-09,1920,Flood
THA,2013,2013-11-20,9828,Flood
TLS,2013,2013-10-17,2,Mass Movement
TLS,2013,2013-06-30,5,Flood
TLS,2013,2013-03-15,5,Wildfire
TLS,2013,2013-04-04,5,Wildfire
TLS,2013,2013-10-16,5,Wildfire
TLS,2013,2013-06-28,5,Wildfire
TLS,2013,2013-05-18,5,Wildfire
TLS,2013,2013-07-03,5,Wildfire
TLS,2013,2013-05-05,5,Wildfire
TLS,2013,2013-05-26,5,Wildfire
TLS,2013,2013-03-31,5,Wildfire
TLS,2013,2013-01-17,5,Storm
TLS,2013,2013-01-07,5,Wildfire
TLS,2013,2013-03-04,5,Wildfire
TLS,2013,2013-03-04,5,Storm
TLS,2013,2013-06-19,11,Wildfire
TLS,2013,2013-01-09,11,Storm
TLS,2013,2013-04-15,16,Wildfire
