iso3,year,Gender Inequality Index,Gross National Income Per Capita,Income Inequality,Life Expectancy at Birth,Country,population_density,infant_mortality_rate,employment_rate
BGD,2013,0.578,4932.186405,30.74995804,69.487,Bangladesh,1202.52086502266,32.7,54.649
BGD,2014,0.569,5205.479375,30.74995804,70.016,Bangladesh,1213.52791733886,31.4,54.308
BGD,2015,0.563,5582.619597,30.74995804,70.543,Bangladesh,1224.42328493508,30.0,53.972
BGD,2016,0.557,5987.015851,35.71949768,71.075,Bangladesh,1235.3993393255,28.6,53.65
BGD,2017,0.541,6228.122571,35.71949768,71.606,Bangladesh,1245.95641852962,27.4,55.778
BGD,2018,0.532,6641.699214,35.71949768,72.122,Bangladesh,1256.22726434662,26.3,56.339
BGD,2019,0.52,7092.492311,35.71949768,72.625,Bangladesh,1266.90523930245,25.4,56.868
BGD,2020,0.5,7256.570492,35.71949768,71.421,Bangladesh,1277.54493354844,24.9,56.598
BGD,2021,0.494,7754.226262,35.71949768,71.103,Bangladesh,1287.99918568026,24.5,57.925
BGD,2022,0.487,8114.366836,35.94155502,74.265,Bangladesh,1300.36002610164,24.4,59.031
BGD,2023,0.487,8497.658639,35.94155502,74.672,Bangladesh,1319.17979689183,24.4,58.987
BRN,2013,0.44325,85387.9719,11.19643116,74.854,Brunei Darussalam,78.026944971537,8.4,61.779
BRN,2014,0.39949999999999997,83238.48088,11.19643116,74.862,Brunei Darussalam,79.0796963946869,8.5,61.421
BRN,2015,0.35575,86007.92843,11.19643116,74.88,Brunei Darussalam,80.1161290322581,8.5,60.608
BRN,2016,0.312,84318.95836,12.12374306,74.905,Brunei Darussalam,81.1316888045541,8.6,59.811
BRN,2017,0.286,83858.37553,12.12374306,74.943,Brunei Darussalam,82.1199240986717,8.6,59.118
BRN,2018,0.286,79230.72402,12.12374306,74.992,Brunei Darussalam,83.0759013282732,8.6,60.653
BRN,2019,0.286,83229.96799,12.12374306,75.049,Brunei Darussalam,84.0,8.5,60.517
BRN,2020,0.276,83430.85014,12.12374306,75.114,Brunei Darussalam,84.896394686907,8.5,59.292
BRN,2021,0.272,79872.07039,12.12374306,74.869,Brunei Darussalam,85.715559772296,8.4,60.761
BRN,2022,0.276,75362.43696,12.12374306,72.917,Brunei Darussalam,86.4079696394687,8.3,60.756
BRN,2023,0.257,75826.87338,12.12374306,75.327,Brunei Darussalam,87.0870967741936,8.2,60.668
BTN,2013,0.43,10324.26436,39.1293335,70.161,Bhutan,19.0275467639111,26.5,63.426
BTN,2014,0.404,10781.65184,39.1293335,70.504,Bhutan,19.2339113781252,25.4,60.963
BTN,2015,0.385,11365.18601,39.1293335,70.797,Bhutan,19.4301230422121,24.4,61.593
BTN,2016,0.363,12043.98898,39.1293335,71.119,Bhutan,19.6063863255034,23.4,61.258
BTN,2017,0.347,12334.453,37.95978928,71.413,Bhutan,19.7759804949664,22.6,60.889
BTN,2018,0.277,12637.89661,37.95978928,71.711,Bhutan,19.920267435763,21.8,60.506
BTN,2019,0.265,13305.30091,37.95978928,72.005,Bhutan,20.0530676455165,21.1,64.559
BTN,2020,0.266,12182.50475,37.95978928,72.253,Bhutan,20.1889355007866,20.3,64.415
BTN,2021,0.266,12664.17093,37.95978928,72.448,Bhutan,20.3314630309386,19.8,65.775
BTN,2022,0.283,13334.54642,28.57549095,72.754,Bhutan,20.4749344520189,19.1,59.342
BTN,2023,0.278,13842.80353,28.57549095,72.975,Bhutan,20.6183796539067,18.5,62.962
CHN,2013,0.217,12724.80478,31.42461777,76.452,China,145.207643927049,9.7,66.751
CHN,2014,0.21,13714.12598,28.86303139,76.714,China,146.125816729087,8.9,66.425
CHN,2015,0.202,14505.20493,30.35230637,76.975,China,146.977949259981,8.2,66.078
CHN,2016,0.192,15406.83992,30.80799866,77.214,China,147.822641376791,7.6,65.739
CHN,2017,0.181,16439.18921,31.23165894,77.235,China,148.720043543977,7.0,65.295
CHN,2018,0.163,17412.53887,31.73748016,77.709,China,149.417194545073,6.4,64.887
CHN,2019,0.159,18413.61937,30.69449997,77.94,China,149.948179684945,6.0,64.307
CHN,2020,0.154,18683.02015,30.56137848,78.019,China,150.305542803154,5.5,62.678
CHN,2021,0.145,20264.56554,30.2875576,78.117,China,150.439753691066,5.1,64.056
CHN,2022,0.138,20888.85431,30.2875576,78.202,China,150.42004812419,4.8,62.523
CHN,2023,0.132,22029.22253,30.2875576,77.953,China,150.264001337848,4.5,62.756
HKG,2013,0.16116666666666668,59980.93693,24.22236443,83.695,"Hong Kong SAR, China",6837.04761904762,6.133333333333334,58.437
HKG,2014,0.19033333333333333,61142.37203,24.22236443,83.927,"Hong Kong SAR, China",6885.2380952381,7.7666666666666675,58.338
HKG,2015,0.2195,62900.52333,24.22236443,84.147,"Hong Kong SAR, China",6944.09523809524,9.4,58.462
HKG,2016,0.24866666666666665,64518.39536,24.08448029,84.38,"Hong Kong SAR, China",6987.2380952381,11.033333333333335,58.349
HKG,2017,0.2778333333333333,67681.99345,24.08448029,84.662,"Hong Kong SAR, China",7041.14285714286,12.666666666666668,58.577
HKG,2018,0.307,69519.03533,24.08448029,84.987,"Hong Kong SAR, China",7097.71428571429,14.3,58.946
HKG,2019,0.3361666666666666,67818.44314,24.08448029,85.263,"Hong Kong SAR, China",7150.38095238095,15.933333333333335,58.245
HKG,2020,0.3653333333333333,64125.19919,24.08448029,84.707,"Hong Kong SAR, China",7124.7619047619,17.56666666666667,55.55
HKG,2021,0.39449999999999996,70450.33815,24.08448029,85.082,"Hong Kong SAR, China",7060.09523809524,19.200000000000003,55.704
HKG,2022,0.42366666666666664,67927.26128,24.08448029,83.485,"Hong Kong SAR, China",6996.28571428571,20.833333333333336,55.353
HKG,2023,0.4528333333333333,69435.75706,24.08448029,85.511,"Hong Kong SAR, China",7177.2380952381,22.46666666666667,55.703
IDN,2013,0.482,9920.760752,25.65043259,69.064,Indonesia,136.271572751061,24.1,63.862
IDN,2014,0.482,10262.76634,25.18886566,69.292,Indonesia,137.882705314833,23.2,63.926
IDN,2015,0.477,10650.62841,25.52736473,69.52,Indonesia,139.438934572699,22.3,63.574
IDN,2016,0.471,11083.03148,24.89160538,69.733,Indonesia,140.945267664402,21.5,63.462
IDN,2017,0.455,11528.33126,24.57862473,69.953,Indonesia,142.393583234045,20.7,64.171
IDN,2018,0.444,12028.82869,24.35676575,70.08,Indonesia,143.781152680745,19.9,64.684
IDN,2019,0.436,12510.5906,23.60615349,70.349,Indonesia,145.132688936836,19.3,65.788
IDN,2020,0.429,12192.41305,23.62862587,68.817,Indonesia,146.371283592869,18.6,64.533
IDN,2021,0.425,12546.96347,23.83100128,67.452,Indonesia,146.235107708626,18.0,63.347
IDN,2022,0.422,13106.56401,23.63562012,70.925,Indonesia,147.330175215419,17.5,64.698
IDN,2023,0.423,13700.12989,23.63562012,71.146,Indonesia,148.57692229227,17.0,64.751
IND,2013,0.55,5687.828662,38.42444611,68.499,India,435.838110245225,40.5,49.257
IND,2014,0.528,6037.901703,38.42444611,68.932,India,441.370107863944,38.5,49.134
IND,2015,0.496,6443.561001,38.42444611,69.326,India,446.666542669658,36.6,48.996
IND,2016,0.484,6894.228147,37.19915009,69.709,India,452.020992940243,34.7,48.846
IND,2017,0.488,7282.890554,37.44141006,70.068,India,457.30592394028,33.0,48.668
IND,2018,0.487,7670.645786,38.81474686,70.415,India,462.351569862673,31.3,48.471
IND,2019,0.464,7895.441397,38.20975876,70.746,India,467.185182245332,29.7,48.881
IND,2020,0.441,7331.951385,39.35733795,70.156,India,471.755150192218,28.2,47.496
IND,2021,0.438,7992.775136,38.85117722,67.282,India,475.652042419085,26.8,49.171
IND,2022,0.427,8475.67988,37.36087036,71.698,India,479.425536881262,25.6,50.981
IND,2023,0.403,9046.756336,37.36087036,72.003,India,483.679010086809,24.5,52.369
JPN,2013,0.128,43921.64278,15.80273819,83.402,Japan,349.643347050754,2.2,56.853
JPN,2014,0.126,44147.97475,17.12347794,83.643,Japan,349.179698216735,2.1,57.31
JPN,2015,0.118,45665.37189,17.12347794,83.883,Japan,348.809327846365,2.0,57.485
JPN,2016,0.104,46232.07854,17.12347794,84.057,Japan,348.631001371742,2.0,58.107
JPN,2017,0.096,46868.46444,17.12347794,84.189,Japan,348.345679012346,1.9,58.738
JPN,2018,0.091,46930.16418,17.12347794,84.289,Japan,347.903978052126,1.9,59.93
JPN,2019,0.082,46914.56326,17.12347794,84.418,Japan,347.415637860082,1.8,60.55
JPN,2020,0.079,45394.73338,17.12347794,84.67,Japan,346.395061728395,1.8,60.207
JPN,2021,0.072,46678.91661,17.12347794,84.55,Japan,344.80546776406,1.8,60.367
JPN,2022,0.062,46656.39246,17.12347794,84.054,Japan,343.278433470508,1.8,60.875
JPN,2023,0.059,47774.60973,17.12347794,84.712,Japan,341.54455749932,1.8,61.265
KHM,2013,0.517,3253.885007,30.26323318,68.755,Cambodia,85.9404486743712,30.8,79.868
